"Potencia MW","Unidades","Región","rca","Tipo","Sistema Eléctrico","estado","Fecha Operación","Coordenada Este","Provincia","Comuna","nombre","Combustible","Coordenada Norte","Uso","Propietario","Datum"
"1,60","1","VIII REGION DEL BIOBIO","NA","BIOGAS","S/I","EN OPERACION","2013","208569,00","BIOBIO","LOS ANGELES","ANCALI 1","BIOMASA","5834520,00","19","AGRICOLA ANCALI LTDA.","WGS84"
"24,00","2","VIII REGION DEL BIOBIO","RCA 125/2008","BIOMASA","SIC","EN OPERACION","2012","124779,00","ARAUCO","ARAUCO","ARAUCO","BIOMASA","5873570,00","19","ARAUCO BIOENERGIA S.A.","WGS84"
"8,00","1","VII REGION DEL MAULE","RCA 244/1996","BIOMASA-PETROLEO N 6","SIC","EN OPERACION","1996","189375,00","TALCA","CONSTITUCION","CELCO","LICOR NEGRO / BIOMASA FORESTAL - PETROLEO DIESEL - FUEL OIL N 6","6085700,00","19","ARAUCO BIOENERGIA S.A.","WGS84"
"13,00","1","VIII REGION DEL BIOBIO","RCA 177/2007","BIOMASA-PETROLEO N 6","SIC","EN OPERACION","2003","227628,00","NUBLE","YUNGAY","CHOLGUAN","BIOMASA","5882430,00","19","PANELES ARAUCO S.A.","WGS84"
"25,00","1","VIII REGION DEL BIOBIO","S/I","BIOMASA","SIC","EN OPERACION","2013","197517,00","BIOBIO","LAJA","CMPC LAJA","BIOMASA","5880780,00","19","CMPC CELULOSA S.A.","WGS84"
"33,00","1","IX REGION DE LA ARAUCANIA","RCA 3825/2009","BIOMASA","SIC","EN OPERACION","2014","193330,00","MALLECO","COLLIPULLI","CMPC PACIFICO","BIOMASA","5811600,00","19","CMPC CELULOSA S.A.","WGS84"
"7,20","1","VIII REGION DEL BIOBIO","S/I","BIOMASA","SIC","EN OPERACION","2014","134668,00","CONCEPCION","SAN PEDRO DE LA PAZ","ENERGIA BIOBIO","BIOMASA","5915620,00","19","ENERGIA BIOBIO LTDA.","WGS84"
"7,10","1","VIII REGION DEL BIOBIO","RCA 275/2012","BIOMASA","SIC","EN OPERACION","2014","165316,00","NUBLE","COELEMU","COELEMU","BIOMASA","5952890,00","19","ENERGIA LEON S.A.","WGS84"
"15,60","1","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","RCA 140/2008","BIOMASA","SIC","EN OPERACION","2014","343191,00","CACHAPOAL","MOSTAZAL","ENERGIA PACIFICO","BIOMASA","6238577,00","19","ENERGIA PACIFICO S.A.","WGS84"
"14,20","2","VIII REGION DEL BIOBIO","RCA 082/2006","BIOMASA","AUTOCONSUMO","EN OPERACION","2008","129685,00","CONCEPCION","CORONEL","ESCUADRON","BIOMASA","5904230,00","19","ELECTRICA NUEVA ENERGIA S.A.","WGS84"
"2,20","1","VIII REGION DEL BIOBIO","NA","BIOMASA","SIC","EN OPERACION","2011","202529,00","BIOBIO","LOS ANGELES","HBS","BIOMASA","5856170,00","19","HBS ENERGIA S.A.","WGS84"
"12,60","2","VIII REGION DEL BIOBIO","RCA 544/1995 / RCA 389/2001","BIOMASA","SIC","EN OPERACION","1995","197334,00","BIOBIO","CABRERO","LAJA","BIOMASA","5880930,00","19","AES GENER","WGS84"
"0,40","1","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","NA","BIOGAS","SIC","EN OPERACION","2014","278484,00","CACHAPOAL","PICHIDEGUA","LAS PAMPAS","BIOGAS","6194430,00","19","BIOENERGIA LAS PAMPAS SPA.","WGS84"
"26,00","1","IX REGION DE LA ARAUCANIA","RCA 34/2010","BIOMASA","SIC","EN OPERACION","2012","197571,00","CAUTIN","LAUTARO","LAUTARO","BIOMASA","5728630,00","19","COMASA S.A.","WGS84"
"6,00","1","VII REGION DEL MAULE","S/I","BIOMASA-PETROLEO N 6","SIC","EN OPERACION","2004","224259,00","CURICO","LICANTEN","LICANTEN","LICOR NEGRO / BIOMASA FORESTAL - FUEL OIL N 6","6124200,00","19","ARAUCO BIOENERGIA S.A.","WGS84"
"2,00","1","XIII REGION METROPOLITANA DE SANTIAGO","RCA 391/2006","BIOGAS","SIC","EN OPERACION","2010","331349,00","CHACABUCO","TILTIL","LOMA LOS COLORADOS","BIOGAS","6352180,00","19","KDM ENERGIA S.A.","WGS84"
"18,20","14","XIII REGION METROPOLITANA DE SANTIAGO","RCA 344/2010","BIOGAS","SIC","EN OPERACION","2011","331328,00","CHACABUCO","TILTIL","LOMA LOS COLORADOS II","BIOGAS","6352067,00","19","KDM ENERGIA S.A.","WGS84"
"11,00","1","VIII REGION DEL BIOBIO","RCA 185/2007","BIOMASA","SIC","EN OPERACION","2011","197642,00","BIOBIO","CABRERO","MASISA","BIOMASA","5894740,00","19","MASISA ECOENERGIA S.A.","WGS84"
"14,00","1","VIII REGION DEL BIOBIO","RCA 76/2005 / RCA 42/2010","BIOMASA","SIC","EN OPERACION","2005","189551,00","NUBLE","RANQUIL","NUEVA ALDEA I (EX ITATA)","BIOMASA","5937250,00","19","PANELES ARAUCO S.A.","WGS84"
"37,00","1","VIII REGION DEL BIOBIO","RCA 157/2006","BIOMASA","SIC","EN OPERACION","2008","188846,00","NUBLE","RANQUIL","NUEVA ALDEA III","BIOMASA","5937030,00","19","ARAUCO BIOENERGIA S.A.","WGS84"
"67,20","1","VIII REGION DEL BIOBIO","RCA 285/2012","BIOMASA","SIC","EN OPERACION","2012","177215,00","BIOBIO","NACIMIENTO","SANTA FE","BIOMASA","5841790,00","19","BIOENERGIA FORESTAL S.A.","WGS84"
"0,40","1","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","RCA 102/2000 / RCA 21/2006 - RCA 12/2008","BIOGAS","SIC","EN OPERACION","2013","289306,00","COLCHAGUA","PALMILLA","SANTA IRENE","BIOGAS","6183204,00","19","BIOENERGIA SANTA IRENE SPA.","WGS84"
"13,80","7","XIII REGION METROPOLITANA DE SANTIAGO","RCA 529/2011","BIOGAS","SIC","EN OPERACION","2014","333381,00","TALAGANTE","TALAGANTE","SANTA MARTA","BIOGAS","6269608,00","19","CONSORCIO SANTA MARTA S.A.","WGS84"
"0,20","1","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","NA","BIOGAS","SIC","EN OPERACION","2013","323175,00","COLCHAGUA","CHIMBARONGO","TAMM","BIOGAS","6161700,00","19","ROBERTO TAMM Y CIA. LTDA.","WGS84"
"8,20","1","XIII REGION METROPOLITANA DE SANTIAGO","RCA 442/2011","BIOGAS","SIC","EN OPERACION","2012","329506,00","TALAGANTE","PADRE HURTADO","TREBAL MAPOCHO","BIOMASA","6287289,00","19","AGUAS ANDINAS","WGS84"
"61,00","1","XIV REGION DE LOS RIOS","RCA 279/1998","BIOMASA-PETROLEO N 6","SIC","EN OPERACION","2004","164824,00","VALDIVIA","MARIQUINA","VALDIVIA","LICOR NEGRO / BIOMASA FORESTAL - FUEL OIL N 6","5613910,00","19","ARAUCO BIOENERGIA S.A.","WGS84"
"22,00","1","VII REGION DEL MAULE","RCA 80/2009","BIOMASA","SIC","EN OPERACION","2013","190085,00","TALCA","CONSTITUCION","VINALES","BIOMASA","6080500,00","19","ARAUCO BIOENERGIA S.A.","WGS84"
