"Nombre Central","Latitud","Longitud","Altitud","-"
"Abanico","-37.3645526373168","-71.4893944928644","0.0",""
"Alfalfal","-33.5012440157738","-70.1926517349399","0.0",""
"Allipén","-38.9987486042993","-72.222957498674","0.0",""
"Alto Renaico","-37.8001554865256","-72.4035982404806","0.0",""
"Ancalí 1","-37.589507","-72.300541","0.0",""
"Angol (Los Sauces)","-37.9658460870347","-72.8268670115531","0.0",""
"Angostura","-37.710261856152","-71.8168594524794","0.0",""
"Antilhue TG","-39.8008711864994","-73.1851765644735","0.0",""
"Antuco","-37.3103219912562","-71.6264162358471","0.0",""
"Arauco","-37.2091968279815","-73.2221786956405","0.0",""
"Auxiliar del Maipo (Caemsa)","-33.6426868526282","-70.6331005689989","0.0",""
"Bio Cruz","-32.848907","-71.226717","0.0",""
"Biomar","-41.7820142449354","-73.4319117749195","0.0",""
"Blanco","-32.9170470642501","-70.3288899893472","0.0",""
"Bocamina","-37.0214779460612","-73.1673118782542","0.0",""
"Bocamina II","-37.0214779460612","-73.1673118782542","0.0",""
"Boquiamargo","-37.8676449390142","-71.6137690540732","0.0",""
"Callao","-40.8878451662473","-72.3382021863851","0.0",""
"Calle Calle","-39.7999211911292","-73.1890721240724","0.0",""
"Campiche","-32.7482937120983","-71.4832965106723","0.0",""
"Candelaria","-34.0338620195692","-70.6138087861992","0.0",""
"Canela","-31.2883408000245","-71.6023399990923","0.0",""
"Canela II","-31.3135987882667","-71.6011438937155","0.0",""
"Canutillar","-41.528051221233","-72.3416577889678","0.0",""
"Cañete","-37.730835593756","-73.3827502499888","0.0",""
"Capullo","-40.8191914547761","-72.3999407492639","0.0",""
"Cardones","-27.4875976444602","-70.3864362073667","0.0",""
"Carena","-33.5285691595675","-70.9528027018602","0.0",""
"Casablanca 1","-33.3262563395352","-71.3922686496623","0.0",""
"Casablanca 2","-33.3262563395352","-71.3922686496623","0.0",""
"CBB-Centro","-34.8666451518324","-71.1431829067897","0.0",""
"Celco","-35.3261515580054","-72.4163457604521","0.0",""
"Cenizas","-27.4809482803274","-70.3897434010101","0.0",""
"Chacabuquito","-32.8534803148911","-70.506138428078","0.0",""
"Chacayes","-34.275558224836","-70.4522666650629","0.0",""
"Chañares","-26.3747649154801","-70.0656616061056","0.0",""
"Chiburgo","-35.6614551050486","-71.3550619101132","0.0",""
"Chiloé","-43.0913834902432","-73.6155206533772","0.0",""
"Cholguán","-37.1648793281731","-72.0674192520172","0.0",""
"Chufken (Traiguén)","-38.2624016479242","-72.6164874987781","0.0",""
"Chuyaca","-40.5786454592474","-73.0884126417848","0.0",""
"Cipreses","-35.7872182087535","-70.8083703955683","0.0",""
"CMPC Pacífico","-37.7917109698227","-72.4841666682625","0.0",""
"CMPC Santa Fe","-37.5150916785272","-72.6565166495585","0.0",""
"CMPC_Laja","-37.2895276471165","-72.7113888908455","0.0",""
"Coelemu","-36.5108061124332","-72.7369243341847","0.0",""
"Colbún","-35.6853402233972","-71.3698510559213","0.0",""
"Colihues","-34.2425145863822","-70.6743617932502","0.0",""
"Collil","-42.5976025719903","-73.9579784475929","0.0",""
"Colmito","-32.9303690473969","-71.4740239252373","0.0",""
"ConCón","-32.9331165332637","-71.4742286586505","0.0",""
"Constitución 1","-35.360394667108","-72.406863054925","0.0",""
"Contra","-40.297515","-72.833332","0.0",""
"Contulmo","-38.0341271219871","-73.2233422133707","0.0",""
"Coronel","-36.967560570722","-73.1685813811627","0.0",""
"Coya","-34.2049221128315","-70.5257055539059","0.0",""
"Curacautín","-38.4528219755657","-71.8194410592165","0.0",""
"Curauma","-33.1291395184336","-71.5569600233754","0.0",""
"Curileufu","-40.3914536110842","-72.5398737210094","0.0",""
"Curillinque","-35.805112587141","-70.9410821354259","0.0",""
"D.de Almagro","-26.3984370793642","-70.0386764331558","0.0",""
"Danisco","-41.7821143078689","-73.4463334749794","0.0",""
"Degañ","-42.1481726609762","-73.715541232698","0.0",""
"Don Walterio","-40.5567630935524","-72.5158665604218","0.0",""
"Dongo","-42.567774","-73.894484","0.0",""
"Donguil","-39.1201109688821","-72.674287159389","0.0",""
"Doña Hilda","-40.3328889026466","-72.0059480326239","0.0",""
"Eagon","-38.5377181607559","-72.4608285172232","0.0",""
"El Arrayan","-40.598140260199","-72.464738141428","0.0",""
"El Canelo","-33.603061","-70.359665","0.0",""
"El Diuto","-37.4228823754152","-72.081752363738","0.0",""
"El Llano","-33.621199519916","-70.5351004748737","0.0",""
"El Manzano","-38.8391600102061","-71.7633366571992","0.0",""
"El Peñón","-30.1418090489047","-71.2295947042348","0.0",""
"El Rincón","-33.5480353075715","-70.5430030465282","0.0",""
"El Salvador","-26.392251645994","-70.0395553044543","0.0",""
"El Tártaro","-32.5684693176536","-70.698845417539","0.0",""
"El Toro","-37.293363214218","-71.4924130087629","0.0",""
"El Totoral","-33.4274216230119","-71.6368780543247","0.0",""
"Emelda","-26.3803180025395","-70.0222496891261","0.0",""
"Energía BíoBío","-36.834801371532","-73.096124410625","0.0",""
"Energía Pacífico","-33.9816729826143","-70.6975599612494","0.0",""
"Ensenada","-41.2718902702482","-72.5407949295986","0.0",""
"Eol Totoral","-31.3255998697746","-71.6110342980511","0.0",""
"Eólica Cuel","-37.5107242454661","-72.4937080098941","0.0",""
"Eólica El Arrayán","-30.5792996148256","-71.6980761082811","0.0",""
"Eolica Lebu","-37.6860721980947","-73.6491305962944","0.0",""
"Eólica Los Cururos","-31.0299492316844","-71.6571055568963","0.0",""
"Eólica Punta Palmeras","-31.2344808907948","-71.6404194618966","0.0",""
"Eólica San Pedro","-42.2703873138525","-73.9400930031873","0.0",""
"Eólica Taltal","-25.0594772115756","-69.8484638640635","0.0",""
"Escuadrón","-36.9349887721803","-73.1556055576739","0.0",""
"Esperanza","-34.2421309573379","-70.6740610339546","0.0",""
"Esperanza","-34.2421309573379","-70.6740610339546","0.0",""
"Estancilla","-33.6597658583119","-70.7125154441781","0.0",""
"Eyzaguirre","-33.6079011333657","-70.510646823112","0.0",""
"Florida","-33.5475821252348","-70.5453536897564","0.0",""
"Guacolda","-28.4673300126817","-71.2572508866268","0.0",""
"Guayacán","-33.6026817713326","-70.3596616979037","0.0",""
"HBS","-37.286379","-72.351036","0.0",""
"Hidrobonito_MC1","-40.9177913311206","-72.4036483550277","0.0",""
"Hidrobonito_MC2","-40.9177913311206","-72.4036483550277","0.0",""
"Horcones TG","-37.2118009390684","-73.2167423436224","0.0",""
