"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"S/I","EDELMAG","EN OPERACION","PUNTA ARENAS","PUNTA ARENAS","GAS NATURAL/DIESEL","10,90","4 (1/2-3-5)","372494,00","19","XII REGION DE MAGALLANES Y ANTARTICA CHILENA","MAGALLANES","EDELMAG S.A.","372494,00","WGS/84"
"RCA 052/2006 RCA 144/2007 RCA 286/2002","EDELMAG","EN OPERACION","PUNTA ARENAS","TRES PUENTES","GAS NATURAL/DIESEL","79,04","8 (7 / 13)","372989,00","19","XII REGION DE MAGALLANES Y ANTARTICA CHILENA","MAGALLANES","EDELMAG S.A.","372989,00","WGS/84"
"S/I","EDELMAG","EN OPERACION","PORVENIR","PORVENIR","GAS NATURAL/DIESEL","17,71","10 (24 / 32)","407963,00","19","XII REGION DE MAGALLANES Y ANTARTICA CHILENA","TIERRA DEL FUEGO","EDELMAG S.A.","407963,00","WGS/84"
"S/I","EDELMAG","EN OPERACION","CABO DE HORNOS","PUERTO WILLIAMS","DIESEL","2,65","6 (34 / 38)","591089,00","19","XII REGION DE MAGALLANES Y ANTARTICA CHILENA","ANTARTICA CHILENA","EDELMAG S.A.","591089,00","WGS/84"
"S/I","EDELMAG","EN OPERACION","NATALES","PUERTO NATALES","GAS NATURAL/DIESEL","10,11","10 (14 / 23)","259797,72","19","XII REGION DE MAGALLANES Y ANTARTICA CHILENA","ULTIMA ESPERANZA","EDELMAG S.A.","259797,72","WGS/84"
"NO APLICA","AYSEN","EN OPERACION","LAGO VERDE","TEHUELCHE","DIESEL","10,11","6","258310,94","19","XI REGION DE AYSEN","COYHAIQUE","EDELAYSEN S.A.","258310,94","WGS/84"
"239","AYSEN","EN OPERACION","CISNES","CHACABUCO","DIESEL","9,10","6","206735,17","19","XI REGION DE AYSEN","AYSEN","EDELAYSEN S.A.","206735,17","WGS/84"
"NO APLICA","AYSEN","EN OPERACION","CISNES","AYSEN TERMICO","DIESEL","1,20","1","207390,05","19","XI REGION DE AYSEN","AYSEN","EDELAYSEN S.A.","207390,05","WGS/84"
"NO APLICA","AYSEN","EN OPERACION","RIO IBANEZ","PUERTO IBANEZ","DIESEL","0,16","1","273846,21","19","XI REGION DE AYSEN","GENERAL CARRERA","EDELAYSEN S.A.","273846,21","WGS/84"
"NO APLICA","AYSEN","EN OPERACION","AYSEN","MANIHUALES","DIESEL","0,83","1","252980,44","19","XI REGION DE AYSEN","AYSEN","EDELAYSEN S.A.","252980,44","WGS/84"
"NO APLICA","PALENA","EN OPERACION","RIO IBANEZ","LA JUNTA","DIESEL","0,29","1","228482,29","19","XI REGION DE AYSEN","GENERAL CARRERA","EDELAYSEN S.A.","228482,29","WGS/84"
"NO APLICA","PALENA","EN OPERACION","COYHAIQUE","PUYUHUAPI","DIESEL","0,29","1","216178,15","19","XI REGION DE AYSEN","COYHAIQUE","EDELAYSEN S.A.","216178,15","WGS/84"
"NO APLICA","AISLADO","EN OPERACION","CHAITEN","SANTA BARBARA","DIESEL","0,22","2","189581,74","19","X REGION DE LOS LAGOS","PALENA","EDELAYSEN S.A.","189581,74","WGS/84"
"NO APLICA","AISLADO","EN OPERACION","LAGO VERDE","AMENGUAL","DIESEL","0,17","2","245743,99","19","XI REGION DE AYSEN","COYHAIQUE","EDELAYSEN S.A.","245743,99","WGS/84"
"NO APLICA","AISLADO","EN OPERACION","LAGO VERDE","TAPERA","DIESEL","0,21","2","289754,21","19","XI REGION DE AYSEN","COYHAIQUE","EDELAYSEN S.A.","289754,21","WGS/84"
"NO APLICA","AISLADO","EN OPERACION","AYSEN","CALETA ANDRADE","DIESEL","0,48","2","146013,63","19","XI REGION DE AYSEN","AYSEN","EDELAYSEN S.A.","146013,63","WGS/84"
"NO APLICA","GENERAL CARRERA","EN OPERACION","PALENA","CHILE CHICO","DIESEL","2,06","6","291094,71","19","X REGION DE LOS LAGOS","PALENA","EDELAYSEN S.A.","291094,71","WGS/84"
"NO APLICA","PALENA","EN OPERACION","PALENA","PALENA","DIESEL","0,58","2","274179,09","19","X REGION DE LOS LAGOS","PALENA","EDELAYSEN S.A.","274179,09","WGS/84"
"NO APLICA","PALENA","EN OPERACION","COCHRANE","FUTALEUFU","DIESEL","0,48","2","267061,34","19","XI REGION DE AYSEN","CAPITAN PRAT","EDELAYSEN S.A.","267061,34","WGS/84"
"NO APLICA","PALENA","EN OPERACION","LAGO VERDE","LAGO VERDE","DIESEL","0,15","1","272460,43","19","XI REGION DE AYSEN","COYHAIQUE","EDELAYSEN S.A.","272460,43","WGS/84"
"SIN RCA","SIC","EN OPERACION","CALBUCO","BIOMAR","DIESEL","2,40","3","131667,31","19","XIV REGION DE LOS LAGOS","LLANQUIHUE","SAGESA","131667,31","WGS/84"
"SIN RCA","SIC","EN OPERACION","CORONEL","BOCAMINA","CARBON","127,00","1","129222,73","19","VIII REGION DEL BIO/BIO","CONCEPCION","ENDESA","129222,73","WGS/84"
"RCA 206/2007","SIC","EN OPERACION","CORONEL","BOCAMINA II","CARBON","350,00","1","129222,73","19","VIII REGION DEL BIO/BIO","CONCEPCION","ENDESA","129222,73","WGS/84"
"RCA 76/2005 / RCA 42/2010","SIC","EN OPERACION","RANQUIL","NUEVA ALDEA III","LICOR NEGRO","65,00","1","188742,47","19","VIII REGION DEL BIO/BIO","NUBLE","CELULOSA ARAUCO Y CONSTITUCION S.A.","188742,47","WGS/84"
"RCA 013/2007","SIC","EN OPERACION","CONSTITUCION","MAULE","DIESEL","6,00","6","190453,68","19","VII REGION DEL MAULE","TALCA","CEN","190453,68","WGS/84"
"RCA 0345/2007","SIC","EN OPERACION","CABRERO","SANTA LIDIA","DIESEL","132,00","1","205230,46","19","VIII REGION DEL BIO/BIO","BIO/BIO","AES GENER","205230,46","WGS/84"
"RCA 76/2005","SIC","EN OPERACION","RANQUIL","NUEVA ALDEA II","GAS NATURAL/DIESEL","11,00","1","188983,22","19","VIII REGION DEL BIO/BIO","NUBLE","ARAUCO","188983,22","WGS/84"
"SIN RCA","SIC","EN OPERACION","HUALPEN","PETROPOWER","PETCOKE","74,09","1","132157,18","19","VIII REGION DEL BIO/BIO","CONCEPCION","PETROPOWER","132157,18","WGS/84"
"SIN RCA","SIC","EN OPERACION","CONTULMO","CONTULMO","DIESEL","0,80","1","129292,26","19","VIII REGION DEL BIO/BIO","ARAUCO","SAGESA","129292,26","WGS/84"
"SIN RCA","SIC","EN OPERACION","CALBUCO","DANISCO","DIESEL","1,60","2","130469,69","19","X REGION DE LOS LAGOS","LLANQUIHUE","SAGESA","130469,69","WGS/84"
"SIN RCA","SIC","EN OPERACION","LAUTARO","EAGON","DIESEL","3,20","4","198339,14","19","IX REGION DE LA ARAUCANIA","CAUTIN","SAGESA","198339,14","WGS/84"
"SIN RCA","SIC","EN OPERACION","LOS ANGELES","JCE","DIESEL","0,80","1","215219,44","19","VIII REGION DEL BIO/BIO","BIO/BIO","SAGESA","215219,44","WGS/84"
"SIN RCA","SIC","EN OPERACION","LEBU","LEBU","DIESEL","3,88","4","87792,48","19","VIII REGION DEL BIO/BIO","ARAUCO","SAGESA","87792,48","WGS/84"
"SIN RCA","SIC","EN OPERACION","LOS ALAMOS","LOS ALAMOS","DIESEL","0,80","1","110051,19","19","VIII REGION DEL BIO/BIO","ARAUCO","SAGESA","110051,19","WGS/84"
"SIN RCA","SIC","EN OPERACION","LOS SAUCES","LOS SAUCES I","DIESEL","1,65","2","163794,26","19","IX REGION DE LA ARAUCANIA","MALLECO","SAGESA","163794,26","WGS/84"
"SIN RCA","SIC","EN OPERACION","LOS SAUCES","LOS SAUCES II","DIESEL","1,65","2","163794,26","19","IX REGION DE LA ARAUCANIA","MALLECO","SAGESA","163794,26","WGS/84"
"SIN RCA","SIC","EN OPERACION","PUERTO MONTT","MULTIEXPORT 1","DIESEL","0,80","1","168129,73","19","X REGION DE LOS LAGOS","LLANQUIHUE","SAGESA","168129,73","WGS/84"
"SIN RCA","SIC","EN OPERACION","PUERTO MONTT","MULTIEXPORT 2","DIESEL","1,60","2","167925,56","19","X REGION DE LOS LAGOS","LLANQUIHUE","SAGESA","167925,56","WGS/84"
