"Propietario","Fecha Operación","Sistema Eléctrico ","Coordenada Este","Coordenada Norte","Datum","Uso","nombre","estado","Región","Provincia","Comuna","Tipo ","Potencia MW","Unidades","rca"
"ENDESA","1948","SIC","279546,00","5861792,00","WGS84","19","ABANICO","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","ANTUCO","HIDROELECTRICA MAYOR A 20 MW","136,00","6","SIN RCA"
"AES GENER","1991","SIC","389218,00","6292506,00","WGS84","19","ALFALFAL","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","CORDILLERA","SAN JOSE DE MAIPO","HIDROELECTRICA MAYOR A 20 MW","178,00","2","SIN RCA"
"HIDROELECTRICA ALLIPEN S.A.","2012","SIC","220888,00","5678430,00","WGS84","19","ALLIPEN","EN OPERACION","IX REGION DE LA ARAUCANIA","CAUTIN","CUNCO","HIDROELECTRICA MENOR A 20 MW","2,60","2","RCA 31/2011"
"ENERNUEVAS","2010","SING","384094,00","7760400,00","WGS84","19","ALTO HOSPICIO","EN OPERACION","I REGION DE TARAPACA","IQUIQUE","ALTO HOSPICIO","HIDROELECTRICA MENOR A 20 MW","1,10","1","NA"
"COLBUN S.A.","23/02/2009","SIC","251710,00","5822338,00","WGS84","19","ANGOSTURA","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","SANTA BARBARA","HIDROELECTRICA MAYOR A 20 MW","323,80","3","RCA 281/2009"
"ENDESA","1981","SIC","267212,00","5867515,00","WGS84","19","ANTUCO","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","TUCAPEL","HIDROELECTRICA MAYOR A 20 MW","320,00","2","SIN RCA"
"CARBOMET ENERGIA S.A.","1961","SIC","348500,00","6276264,00","WGS84","19","AUXILIAR DEL MAIPO (CAEMSA)","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","MAIPO","SAN BERNARDO","HIDROELECTRICA MENOR A 20 MW","5,10","3","NA"
"EDELAYSEN S.A.","1960","AYSEN","209516,00","4968633,00","WGS84","19","AYSEN","EN OPERACION","XI REGION DE AYSEN","AYSEN","CISNES","HIDROELECTRICA MENOR A 20 MW","6,60","3","RCA 131/2013"
"COLBUN S.A.","1993","SIC","375739,00","6357124,00","WGS84","19","BLANCO","EN OPERACION","V REGION DE VALPARAICO","LOS ANDES","SAN ESTEBAN","HIDROELECTRICA MAYOR A 20 MW","53,00","1","S/I"
"ELECTRICA SAN MIGUEL","2014","SIC","270010,00","5805505,00","WGS84","19","BOQUIAMARGO","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","ALTO BIOBIO","HIDROELECTRICA MENOR A 20 MW","1,10","1","NA"
"HIDROCALLAO S.A","2012","SIC","218656,00","5468370,00","WGS84","19","CALLAO","EN OPERACION","X REGION DE LOS LAGOS","OSORNO","PUERTO OCTAY","HIDROELECTRICA MENOR A 20 MW","3,30","2","RCA 301/2010"
"COLBUN S.A.","1990","SIC","221186,00","5397219,00","WGS84","19","CANUTILLAR","EN OPERACION","X REGION DE LOS LAGOS","LLANQUIHUE","COCHAMO","HIDROELECTRICA MAYOR A 20 MW","172,00","2","SIN RCA"
"E.E. CAPULLO S.A.","1995","SIC","213248,00","5475776,00","WGS84","19","CAPULLO","EN OPERACION","X REGION DE LOS LAGOS","OSORNO","PUYEHUE","HIDROELECTRICA MENOR A 20 MW","12,00","1","NA"
"EMPRESA ELECTRICA INDUSTRIAL S.A.","1943","SIC","318654,00","6288398,00","WGS84","19","CARENA","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","MELIPILLA","CURACAVI","HIDROELECTRICA MENOR A 20 MW","10,00","4","NA"
