"Provincia","Propietario","Tipo","Potencia MW","Unidades","rca","estado","Fecha Operación","Coordenada Este","Coordenada Norte","Datum","Uso","Comuna","Región","nombre","Sistema Eléctrico"
"CHANARAL","RTS ENERGIA LTDA.","SOLAR","2,88","1","NA","EN OPERACION","2013","437354,00","7091674,00","WGS84","19","DIEGO DE ALMAGRO","III REGION DE ATACAMA","ESPERANZA","SIC"
"COPIAPO","SUBSOLE ENERGIAS RENOVABLES LTDA.","SOLAR","0,30","1","NA","EN OPERACION","2013","382588,00","6931619,00","WGS84","19","TIERRA AMARILLA","III REGION DE ATACAMA","SOLAR HORNITOS","SIC"
"TAMARUGAL","SELRAY ENERGIAS LTDA.","SOLAR","1,40","1","RCA 074/2012","EN OPERACION","2012","444301,00","7738125,00","WGS84","19","POZO AL MONTE","I REGION DE TARAPACA","LA HUAYCA SPS-1","SING"
"TOCOPILLA","GENERACION SOLAR SPA","SOLAR","68,00","1","RCA 142/2013","EN OPERACION","2015","440571,00","7542664,00","WGS84","19","MARIA ELENA","II REGION DE ANTOFAGASTA","MARIA ELENA","SING"
"EL TAMARUGAL","POZO ALMONTE SOLAR 2","SOLAR","7,50","1","RCA 042/2011","EN OPERACION","2014","421467,00","7758012,00","WGS84","19","POZO ALMONTE","I REGION DE TARAPACA","POZO ALMONTE SOLAR 2","SING"
"EL TAMARUGAL","POZO ALMONTE SOLAR 3","SOLAR","16,00","1","RCA 062/2011","EN OPERACION","2014","421642,00","7760809,00","WGS84","19","POZO ALMONTE","I REGION DE TARAPACA","POZO ALMONTE SOLAR 3","SING"
"COMBARBALA","PSF PAMA S.A.","SOLAR","2,00","1","NA","EN OPERACION","2014","306502,00","6547012,00","WGS84","19","COMBARBALA","IV REGION DE COQUIMBO","PSF CASAS BLANCAS","SIC"
"ELQUI","SOLAIREDIRECT","SOLAR","1,28","1","NA","EN OPERACION","2013","298624,00","6654191,00","WGS84","19","ANDACOLLO","IV REGION DE COQUIMBO","SDGX01","SIC"
"HUASCO","COMMONPLACE ENERGY S.A.","SOLAR","3,00","1","NA","EN OPERACION","2013","313828,00","6777519,00","WGS84","19","VALLENAR","III REGION DE ATACAMA","SOLAR SANTA CECILIA","SIC"
"CHANARAL","ALMEYDA SOLAR SPA","SOLAR","28,10","1","RCA 127/2013","EN OPERACION","2014","398241,00","7081948,00","WGS84","19","DIEGO DE ALMAGRO","III REGION DE ATACAMA","SOLAR DIEGO DE ALMAGRO","SIC"
"COPIAPO","EBCO ENERGIA S.A","SOLAR","3,00","1","NA","EN OPERACION","2014","367713,00","6943227,00","WGS84","19","TIERRA AMARILLA","III REGION DE ATACAMA","SOLAR LAS TERRAZAS","SIC"
"COPIAPO","AMANECER SOLAR SPA","SOLAR","101,00","1","RCA 119/2013","EN OPERACION","2014","383921,00","7000014,00","WGS84","19","COPIAPO","III REGION DE ATACAMA","SOLAR LLANO DE LLAMPOS","SIC"
"LIMARI","PSF LOMAS COLORADAS","SOLAR","2,00","1","NA","EN OPERACION","2014","307273,00","6547980,00","WGS84","19","COMBARBALA","IV REGION DE COQUIMBO","SOLAR PSF LOMAS COLORADAS","SIC"
"COPIAPO","SAN ANDRES SPA","SOLAR","50,60","1","RCA 186/2013","EN OPERACION","2014","389995,00","6984918,00","WGS84","19","COPIAPO","III REGION DE ATACAMA","SOLAR SAN ANDRES","SIC"
"SANTIAGO","COLEGIO ALTAMIRA","SOLAR","0,15","1","NA","EN OPERACION","2014","357100,00","6294539,00","WGS84","19","PENALOLEN","XII REGION METROPOLITANA","SOLAR TECHOS DE ALTAMIRA","SIC"
"ELQUI","ENERGIA TERMICA KALTEMP LTDA.","SOLAR","2,94","1","NA","EN OPERACION","2012","329339,00","6674517,00","WGS84","19","VICUNA","IV REGION DE COQUIMBO","TAMBO REAL","SIC"
