ID	FK_Plant_ID	Unique_Plant_ID	PlantName	Biomass	OtherSolidFuels	LiquidFuels	NaturalGas	OtherGases	SO2	NOx	Dust
1	427	AT0001	Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam GuD	0	0	0	6137.653	0	0	46.91	0
2	528	AT0001	Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam GuD	0	0	0	10482.799	0	0	153.49	0
3	628	AT0001	Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam GuD	0	0	0	10112.002	0	0	128.05	0
4	725	AT0001	Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam GuD	0	0	0	3411.409752	0	0	42.37	0
5	820	AT0001	Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam GuD	0	0	0	521	0	0	6.8	0
6	1	AT0002	EVN, KW Korneuburg				756.209319806889		0	0.0192465	0
7	81	AT0002	EVN, KW Korneuburg				3254.03002562846		0	18.72	0
8	161	AT0002	EVN, KW Korneuburg				2255.05763532135		0	31.65	0
9	241	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	1824.408	0	0	85.91699	0
10	332	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	2529.972	0	0	109.18	0
11	428	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	1511.6	0	0	81.2	0
12	529	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	1628.899	0	0	90.38	0
13	629	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	213.14592	0	0	11.26	0
14	726	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	130.945398479999	0	0	7.9	0
15	821	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	0	0	0	14	0	0	0.9	0
16	242	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	0	0	107.1423	553.896	0	4.17	4.59	1.81
17	333	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	0	0	16.38	325.332	0	0.804	5.02	0.764
18	429	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	0	0	14.9688	458.748	0	0.841	8.603499	1.069
19	530	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	0	0	10.0338	575.3592	0	0.162	10.944	1.223
20	630	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	0	0	1.18146	444.08404	0	0.026	7.828	1.25
21	727	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	0	0	15.7479	1196.421624	0	0.37	23.275	1.682
22	822	AT0003	WIEN ENERGIE GmbH (ehemals Fernwärme Wien GesmbH), Spittelau, Heißwasserkessel 1/2	0	0	11	1303	0	0.303	26.3	1.9
23	243	AT0004	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	37.102932	0	0	8.383	0
24	334	AT0004	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	115.41229	0	0	26.07699	0
25	430	AT0004	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	431.87493	0	0	150.797	0
26	531	AT0004	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	359.3123	0	0	70.235	0
27	631	AT0004	Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	485.30248	0	0	94.862	0
28	728	AT0004	Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	271.837368	0	0	54.773	0
29	823	AT0004	Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 2	0	0	0	121	0	0	23.6	0
30	244	AT0005	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	662.871204	0	0	163.899	0
31	335	AT0005	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	781.2469	0	0	200.625	0
32	431	AT0005	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	661.20112	0	0	63.941	0
33	532	AT0005	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	563.49946	0	0	31.067	0
34	632	AT0005	Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	732.0322	0	0	40.359	0
35	729	AT0005	Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	740.5452	0	0	38.182	0
36	824	AT0005	Gas Connect Austria GmbH, Verdichterstation Baumgarten, Compressor 500	0	0	0	341	0	0	15.7	0
