ID	FK_Plant_ID	Unique_Plant_Id	PlantName	OptOutPlant	CapacityOptedOutMW	HoursOperated	PlantIncludedInNERP
1	1	AT0002	EVN, KW Korneuburg	No			No
2	2	AT0016	Lenzing AG	No			No
3	3	AT0021	Linz Strom GmbH, Nebingerstraße 1	No			No
4	4	AT0023	ESG Linz, Lunzerstr. 90, Gesamtanlage	No			No
5	5	AT0024	Mayr-Melnhof Karton, Frohnleiten	No			No
6	6	AT0025	PF Nettingsdorfer	No			No
7	7	AT0026	PF Nettingsdorfer	No			No
8	8	AT0027	Norske Skog Bruck	No			No
9	9	AT0028	OMV Schwechat	No			No
10	10	AT0029	OMV Schwechat	No			No
11	11	AT0030	OMV Schwechat	No			No
12	12	AT0031	OMV Schwechat	No			No
13	13	AT0033	OMV Schwechat	No			No
14	14	AT0035	Salzburg AG, Elisabethkai 52	No			No
15	15	AT0036	Salzburg AG, Elisabethkai 52	No			No
16	16	AT0037	STW Salzburg, FHKW Nord	No			No
17	17	AT0038	PF Steyrermühl	No			No
18	18	AT0039	PF Steyrermühl	No			No
19	19	AT0044	VA Stahl Donawitz	No			No
20	20	AT0045	VA Donawitz	No			No
21	21	AT0046	PF Hamburger	No			No
22	22	AT0047	WEW, KW Donaustadt	No			No
23	23	AT0054	Biomasseheizkraftwerk Simmering	No			No
24	24	AT0055	PF Pöls	No			No
25	25	AT0059	EVN KG Theiß, Gedersdorf	No			No
26	26	AT0060	EVN, KW Theiß	No			No
27	27	AT0061	EVN KG Theiß, Gedersdorf	No			No
28	28	AT0066	HBW, FHW Süd, Rosiwalgasse 94	No			No
29	29	AT0067	HBW, FWKW Kagran	No			No
30	30	AT0076	PF Neusiedler	No			No
31	31	AT0078	Sappi Gratkorn GmbH	No			No
32	32	AT0079	Sappi Gratkorn GmbH	No			No
33	33	AT0081	STW Klagenfurt, FHKW	No			No
34	34	AT0082	STEWEAG, FHKW Graz	No			No
35	35	AT0084	EVN/VKG, KW Dürnrohr	No			No
36	36	AT0099	KW Schillerstraße 5, Laakirchen	No			No
37	37	AT0201	HBW, FHKW Spittelau	No			No
38	38	AT0204	ZF Agrana, Leopoldsdorf	No			No
39	39	AT0206	OMV Schwechat	No			No
40	40	AT0207	OMV Schwechat	No			No
41	41	AT0209	ZF Agrana, Tulln	No			No
42	42	AT0214	Lenzing AG	No			No
43	43	AT0216	OKA, KW Riedersbach	No			No
44	44	AT0217	HBW, FHKW Arsenal	No			No
45	45	AT0220	PF Hallein	No			No
46	46	AT0221	FHKW Innsbruck, Innrain 96	No			No
47	47	AT0222	Biochemie Kundl	No			No
48	48	AT0224	ÖDK, KW Voitsberg	No			No
49	49	AT0231	CMST, Liebenauer Hauptstr. 317, Graz	No			No
50	50	AT0249	OKA, KW Timelkam	No			No
51	51	AT0248	ZF Agrana, Tulln	No			No
52	52	AT0254	PF Hallein	No			No
53	53	AT0255	ZF Agrana, Hohenau	No			No
54	54	AT0256	ESG Linz, FHKW Mitte, Nebingerstr. 1	No			No
55	55	AT0257	EVN, KG Theiß, Gedersdorf	No			No
56	56	AT0258	FHKW Kirchdorf	No			No
57	57	AT0259	HBW, FHKW Spittelau	No			No
58	58	AT0260	Jungbunzlauer, Pernhofen	No			No
59	59	AT0261	ÖDK, KW St. Andrä	No			No
60	60	AT0262	OKA, KW Riedersbach	No			No
61	61	AT0264	OKA, KW Timelkam	No			No
62	62	AT0263	OMV Schwechat	No			No
63	63	AT0265	PF Patria, Laugenverbr.kessel	No			No
64	64	AT0266	PF Patria, Strahlungskessel	No			No
65	65	AT0267	PF Steyrermühl	No			No
66	66	AT0268	PF Pöls	No			No
67	67	AT0269	PWA Ortmann, SCA Hygiene	No			No
68	68	AT0270	Reststoffverwertung Lenzing	No			No
69	69	AT0271	Sappi Gratkorn GmbH	No			No
70	70	AT0272	Semperit Reifen AG	No			No
71	71	AT0273	STEWEAG, FHKW Mellach	No			No
72	72	AT0274	STEWEAG, KW Neudorf/Werndorf	No			No
73	73	AT0275	STW Salzburg, FHKW Mitte	No			No
74	74	AT0276	STW St.Pölten, FHKW NORD	No			No
75	75	AT0276	VA Stahl, Linz ME 1	No			No
76	76	AT0277	WEW, KW Donaustadt, Primavesigasse	No			No
77	77	AT0278	WEW, KW Leopoldau	No			No
78	78	AT0279	WEW, KW Leopoldau	No			No
79	79	AT0280	WEW, KW Simmering 1/2	No			No
80	80	AT0281	WEW, KW Simmering 3	No			No
81	81	AT0002	EVN, KW Korneuburg	No			No
82	82	AT0016	Lenzing AG	No			No
83	83	AT0021	Linz Strom GmbH, Nebingerstraße 1	No			No
84	84	AT0023	ESG Linz, Lunzerstr. 90, Gesamtanlage	No			No
85	85	AT0024	Mayr-Melnhof Karton, Frohnleiten	No			No
86	86	AT0025	PF Nettingsdorfer	No			No
87	87	AT0026	PF Nettingsdorfer	No			No
88	88	AT0027	Norske Skog Bruck	No			No
89	89	AT0028	OMV Schwechat	No			No
90	90	AT0029	OMV Schwechat	No			No
91	91	AT0030	OMV Schwechat	No			No
92	92	AT0031	OMV Schwechat	No			No
93	93	AT0033	OMV Schwechat	No			No
94	94	AT0035	Salzburg AG, Elisabethkai 52	No			No
95	95	AT0036	Salzburg AG, Elisabethkai 52	No			No
96	96	AT0037	STW Salzburg, FHKW Nord	No			No
97	97	AT0038	PF Steyrermühl	No			No
98	98	AT0039	PF Steyrermühl	No			No
99	99	AT0044	VA Stahl Donawitz	No			No
100	100	AT0045	VA Donawitz	No			No
101	101	AT0046	PF Hamburger	No			No
102	102	AT0047	WEW, KW Donaustadt	No			No
103	103	AT0054	Biomasseheizkraftwerk Simmering	No			No
104	104	AT0055	PF Pöls	No			No
105	105	AT0059	EVN KG Theiß, Gedersdorf	No			No
106	106	AT0060	EVN, KW Theiß	No			No
107	107	AT0061	EVN KG Theiß, Gedersdorf	No			No
108	108	AT0066	HBW, FHW Süd, Rosiwalgasse 94	No			No
109	109	AT0067	HBW, FWKW Kagran	No			No
110	110	AT0076	PF Neusiedler	No			No
111	111	AT0078	Sappi Gratkorn GmbH	No			No
112	112	AT0079	Sappi Gratkorn GmbH	No			No
113	113	AT0081	STW Klagenfurt, FHKW	No			No
114	114	AT0082	STEWEAG, FHKW Graz	No			No
115	115	AT0084	EVN/VKG, KW Dürnrohr	No			No
116	116	AT0099	KW Schillerstraße 5, Laakirchen	No			No
117	117	AT0201	HBW, FHKW Spittelau	No			No
118	118	AT0204	ZF Agrana, Leopoldsdorf	No			No
119	119	AT0206	OMV Schwechat	No			No
120	120	AT0207	OMV Schwechat	No			No
121	121	AT0209	ZF Agrana, Tulln	No			No
122	122	AT0214	Lenzing AG	No			No
123	123	AT0216	OKA, KW Riedersbach	No			No
124	124	AT0217	HBW, FHKW Arsenal	No			No
125	125	AT0220	PF Hallein	No			No
126	126	AT0221	FHKW Innsbruck, Innrain 96	No			No
127	127	AT0222	Biochemie Kundl	No			No
128	128	AT0224	ÖDK, KW Voitsberg	No			No
129	129	AT0231	CMST, Liebenauer Hauptstr. 317, Graz	No			No
130	130	AT0249	OKA, KW Timelkam	No			No
131	131	AT0248	ZF Agrana, Tulln	No			No
132	132	AT0254	PF Hallein	No			No
133	133	AT0255	ZF Agrana, Hohenau	No			No
134	134	AT0256	ESG Linz, FHKW Mitte, Nebingerstr. 1	No			No
135	135	AT0257	EVN, KG Theiß, Gedersdorf	No			No
136	136	AT0258	FHKW Kirchdorf	No			No
137	137	AT0259	HBW, FHKW Spittelau	No			No
138	138	AT0260	Jungbunzlauer, Pernhofen	No			No
139	139	AT0261	ÖDK, KW St. Andrä	No			No
140	140	AT0262	OKA, KW Riedersbach	No			No
141	141	AT0264	OKA, KW Timelkam	No			No
142	142	AT0263	OMV Schwechat	No			No
143	143	AT0265	PF Patria, Laugenverbr.kessel	No			No
144	144	AT0266	PF Patria, Strahlungskessel	No			No
145	145	AT0267	PF Steyrermühl	No			No
146	146	AT0268	PF Pöls	No			No
147	147	AT0269	PWA Ortmann, SCA Hygiene	No			No
148	148	AT0270	Reststoffverwertung Lenzing	No			No
149	149	AT0271	Sappi Gratkorn GmbH	No			No
150	150	AT0272	Semperit Reifen AG	No			No
151	151	AT0273	STEWEAG, FHKW Mellach	No			No
152	152	AT0274	STEWEAG, KW Neudorf/Werndorf	No			No
153	153	AT0275	STW Salzburg, FHKW Mitte	No			No
154	154	AT0276	STW St.Pölten, FHKW NORD	No			No
155	155	AT0276	VA Stahl, Linz ME 1	No			No
156	156	AT0277	WEW, KW Donaustadt, Primavesigasse	No			No
157	157	AT0278	WEW, KW Leopoldau	No			No
158	158	AT0279	WEW, KW Leopoldau	No			No
159	159	AT0280	WEW, KW Simmering 1/2	No			No
160	160	AT0281	WEW, KW Simmering 3	No			No
161	161	AT0002	EVN, KW Korneuburg	No			No
162	162	AT0016	Lenzing AG	No			No
163	163	AT0021	Linz Strom GmbH, Nebingerstraße 1	No			No
164	164	AT0023	ESG Linz, Lunzerstr. 90, Gesamtanlage	No			No
165	165	AT0024	Mayr-Melnhof Karton, Frohnleiten	No			No
166	166	AT0025	PF Nettingsdorfer	No			No
167	167	AT0026	PF Nettingsdorfer	No			No
168	168	AT0027	Norske Skog Bruck	No			No
169	169	AT0028	OMV Schwechat	No			No
170	170	AT0029	OMV Schwechat	No			No
171	171	AT0030	OMV Schwechat	No			No
172	172	AT0031	OMV Schwechat	No			No
173	173	AT0033	OMV Schwechat	No			No
174	174	AT0035	Salzburg AG, Elisabethkai 52	No			No
175	175	AT0036	Salzburg AG, Elisabethkai 52	No			No
176	176	AT0037	STW Salzburg, FHKW Nord	No			No
177	177	AT0038	PF Steyrermühl	No			No
178	178	AT0039	PF Steyrermühl	No			No
179	179	AT0044	VA Stahl Donawitz	No			No
180	180	AT0045	VA Donawitz	No			No
181	181	AT0046	PF Hamburger	No			No
182	182	AT0047	WEW, KW Donaustadt	No			No
183	183	AT0054	Biomasseheizkraftwerk Simmering	No			No
184	184	AT0055	PF Pöls	No			No
185	185	AT0059	EVN KG Theiß, Gedersdorf	No			No
186	186	AT0060	EVN, KW Theiß	No			No
187	187	AT0061	EVN KG Theiß, Gedersdorf	No			No
188	188	AT0066	HBW, FHW Süd, Rosiwalgasse 94	No			No
189	189	AT0067	HBW, FWKW Kagran	No			No
190	190	AT0076	PF Neusiedler	No			No
191	191	AT0078	Sappi Gratkorn GmbH	No			No
192	192	AT0079	Sappi Gratkorn GmbH	No			No
193	193	AT0081	STW Klagenfurt, FHKW	No			No
194	194	AT0082	STEWEAG, FHKW Graz	No			No
195	195	AT0084	EVN/VKG, KW Dürnrohr	No			No
196	196	AT0099	KW Schillerstraße 5, Laakirchen	No			No
197	197	AT0201	HBW, FHKW Spittelau	No			No
198	198	AT0204	ZF Agrana, Leopoldsdorf	No			No
199	199	AT0206	OMV Schwechat	No			No
200	200	AT0207	OMV Schwechat	No			No
201	201	AT0209	ZF Agrana, Tulln	No			No
202	202	AT0214	Lenzing AG	No			No
203	203	AT0216	OKA, KW Riedersbach	No			No
204	204	AT0217	HBW, FHKW Arsenal	No			No
205	205	AT0220	PF Hallein	No			No
206	206	AT0221	FHKW Innsbruck, Innrain 96	No			No
207	207	AT0222	Biochemie Kundl	No			No
208	208	AT0224	ÖDK, KW Voitsberg	No			No
209	209	AT0231	CMST, Liebenauer Hauptstr. 317, Graz	No			No
210	210	AT0249	OKA, KW Timelkam	No			No
211	211	AT0248	ZF Agrana, Tulln	No			No
212	212	AT0254	PF Hallein	No			No
213	213	AT0255	ZF Agrana, Hohenau	No			No
214	214	AT0256	ESG Linz, FHKW Mitte, Nebingerstr. 1	No			No
215	215	AT0257	EVN, KG Theiß, Gedersdorf	No			No
216	216	AT0258	FHKW Kirchdorf	No			No
217	217	AT0259	HBW, FHKW Spittelau	No			No
218	218	AT0260	Jungbunzlauer, Pernhofen	No			No
219	219	AT0261	ÖDK, KW St. Andrä	No			No
220	220	AT0262	OKA, KW Riedersbach	No			No
221	221	AT0264	OKA, KW Timelkam	No			No
222	222	AT0263	OMV Schwechat	No			No
223	223	AT0265	PF Patria, Laugenverbr.kessel	No			No
224	224	AT0266	PF Patria, Strahlungskessel	No			No
225	225	AT0267	PF Steyrermühl	No			No
226	226	AT0268	PF Pöls	No			No
227	227	AT0269	PWA Ortmann, SCA Hygiene	No			No
228	228	AT0270	Reststoffverwertung Lenzing	No			No
229	229	AT0271	Sappi Gratkorn GmbH	No			No
230	230	AT0272	Semperit Reifen AG	No			No
231	231	AT0273	STEWEAG, FHKW Mellach	No			No
232	232	AT0274	STEWEAG, KW Neudorf/Werndorf	No			No
233	233	AT0275	STW Salzburg, FHKW Mitte	No			No
234	234	AT0276	STW St.Pölten, FHKW NORD	No			No
235	235	AT0276	VA Stahl, Linz ME 1	No			No
236	236	AT0277	WEW, KW Donaustadt, Primavesigasse	No			No
237	237	AT0278	WEW, KW Leopoldau	No			No
238	238	AT0279	WEW, KW Leopoldau	No			No
239	239	AT0280	WEW, KW Simmering 1/2	No			No
240	240	AT0281	WEW, KW Simmering 3	No			No
241	241	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	No			No
242	242	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	No			No
243	243	AT0004	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 2	No			No
244	244	AT0005	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 500	No			No
245	245	AT0006	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 600	No			No
246	246	AT0007	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 700	No			No
247	247	AT0008	OMV Gas GmbH, Verdichterstation Grafendorf, Compressor 400	No			No
248	248	AT0009	OMV Gas GmbH, Verdichterstation Grafendorf, Compressor 500	No			No
249	249	AT0010	OMV Gas GmbH, Verdichterstation Grafendorf, Compressor 600	No			No
250	250	AT0014	Jungbunzlauer Austria AG, Werk Pernhofen, Kesselanlage 1	No			No
251	251	AT0015	Jungbunzlauer Austria AG, Werk Pernhofen, Kesselanlage 2	No			No
252	252	AT0016	Lenzing AG, Energie-,Faser-,Zellstoff-u.Papierprod., Gaskessel 1K6	No			No
253	253	AT0021	Linz Strom GmbH, FHKW Mitte, FHKW Mitte GuD1	No			No
254	254	AT0022	Linz Strom GmbH, FHKW Mitte, FHKW Mitte Kamin	No			No
255	255	AT0023	Linz Strom GmbH, FHKW Süd, FHKW Süd	No			No
256	256	AT0024	Mayr-Melnhof Karton Gesellschaft m.b.H., Mayr-Melnhof Karton Gesellschaft m.b.H., 60t/h- Kessel	No			No
257	257	AT0025	Nettingsdorfer Papierfabrik AG &amp; Co KG, Nettingsdorfer Papierfabrik, Gaskessel	No			No
258	258	AT0026	Nettingsdorfer Papierfabrik AG &amp; Co KG, Nettingsdorfer Papierfabrik, Sodakessel 3	No			No
259	259	AT0027	Norske Skog Bruck GmbH, Norske Skog Bruck GmbH, GuD / Kessel 7	No			No
260	260	AT0028	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS07 Platformer &amp; KEP	No			No
261	261	AT0029	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS10 Rohöldestillation 4	No			No
262	262	AT0030	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS11 Ethylenanlage	No			No
263	263	AT0031	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS13 FCC-Anlage	No			No
264	264	AT0033	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS16 Wasserstoffanlage	No			No
265	265	AT0035	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte Gasturbine und Abhitzekessel	No			No
266	266	AT0036	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte Schwerölkessel	No			No
267	267	AT0037	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Nord, HKW Nord Block 1	No			No
268	268	AT0038	UPM Kymmene Austria GmbH, UPM Steyrermühl, GuD-Anlage Gasturbine mit Abhitzekessel	No			No
269	269	AT0039	UPM Kymmene Austria GmbH, UPM Steyrermühl, Kessel K7K8 Steamblockanlage	No			No
270	270	AT0044	voestalpine Stahl Donawitz GmbH &amp; Co KG, voestalpine Stahl Donawitz GmbH &amp; Co KG, Gasturbine und Abhitzekessel (GuD-Anlage)	No			No
271	271	AT0045	voestalpine Stahl Donawitz GmbH &amp; Co KG, voestalpine Stahl Donawitz GmbH &amp; Co KG, Kombikessel Heißdampferzeuger	No			No
272	272	AT0047	WIENSTROM GmbH, WIENSTROM KW Donaustadt Wien, Blockkraftwerk 3	No			No
273	273	AT0048	WIENSTROM GmbH, WIENSTROM KW Simmering Wien, Blockheizkraftwerk 3	No			No
274	274	AT0054	WIENENERGIE Bundesforste Biomasse GmbH & Co KG, BHKW - Wirbelschichtkessel	No			No
275	275	AT0055	Zellstoff Pöls Aktiengesellschaft, Zellstoff Pöls AG, Sulfatlaugenkessel 1 und Steambloc	No			No
276	276	AT0056	Zellstoff Pöls Aktiengesellschaft, Zellstoff Pöls AG, Sulfatlaugenkessel 2	No			No
277	277	AT0057	EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KW Theiß Kombiblock B	No			No
278	278	AT0058	EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Hilfskessel 2+3	No			No
279	279	AT0059	EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Maschine 1	No			No
280	280	AT0060	EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Maschine 2	No			No
281	281	AT0061	EVN AG, EVN AG Kraftwerk Theiß Gedersdorf, KWT Maschine 4	No			No
282	282	AT0062	Fernwärme St. Pölten GmbH, Fernheizwerk NORD, Dampfkesselanlage 3	No			No
283	283	AT0063	Fernwärme St. Pölten GmbH, Fernheizwerk SÜD, Dampfkesselanlage 1-4	No			No
284	284	AT0066	Fernwärme Wien GesmbH, Inzersdorf, Heißwasserkessel 1/2	No			No
285	285	AT0067	Fernwärme Wien GesmbH, Kagran, Heißwasserkessel 1/2/3/5	No			No
286	286	AT0068	Fernwärme Wien GesmbH, Leopoldau, Heißwasserkessel	No			No
287	287	AT0072	OMV Gas GmbH, Verdichterstation Ruden, Compressor 400	No			No
288	288	AT0073	OMV Gas GmbH, Verdichterstation Ruden, Compressor 500	No			No
289	289	AT0074	Mondi Frantschach GmbH, Mondi Frantschach GmbH, CK 3 - Laugenverbrennungskessel	No			No
290	290	AT0075	Mondi Frantschach GmbH, Mondi Frantschach GmbH, RIK - Rindenverbrennungskessel	No			No
291	291	AT0076	Mondi Neusiedler AG, Mondi Neusiedler AG - Hausmening, 100 to-Kessel	No			No
292	292	AT0077	Sappi Austria Produktions-GmbH &amp; Co. KG, Sappi Austria Produktions-GmbH &amp; Co.KG, GuD-Anlage	No			No
293	293	AT0078	Sappi Austria Produktions-GmbH &amp; Co. KG, Sappi Austria Produktions-GmbH &amp; Co.KG, Kessel 11	No			No
