PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023768,Hadjret Ennous,Natural Gas,1200,"Hadjret En-Nouss, Tipaza, Algeria",CCGT,2009,3 blocks of 1+1+1 CCGT,Sharikat Kahraba Hadjret En-Nouss,,"The three GE 9FB gas turbines were manufactured at Greenville S.C., the type A-15 steam turbines and type 450H generators at GE plant in Schenectady",Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.5767,2.0797,Light Fuel Oil/Diesel,,,,,,,,,
1023769,Koudiet Eddraouch,Natural Gas,1200,"Koudiet Eddraouch, El Tarf, Algeria",CCGT,2013,Three 1+1+1 CCGT blocks,Shariket Karhaba Koudiet Eddraouch SpA (SKD),,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.885,8.0778,,,,,,,,,,
1023770,Terga,Natural Gas,1200,"Terga, Oran, Algeria",CCGT,2013,Three 1+1+1 CCGT,Shariket Kahraba Terga JSC,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.4608,-1.22953,,,,,,,,,,
1023771,SKS IPP SNC Lavalin,Natural Gas,815,"Skikda, Algeria",CCGT,2006,2 blocks of 1+1+1 CCGT,"Sharikat Kahraba Skikda (SKS - Skikda Power Co.), SNC-Lavalin",,THe two ST are 195MW each,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.8789,6.9366,,,,,,,,,,
1023772,Marsat,Natural Gas,840,Mers El Hadjad,Sub-critical Thermal,1982-1991,"5 Steam Thermal units, all 168 MW",,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.8,-0.1924,Light Fuel Oil/Diesel,,,,Once Through,Mediterranean Sea,,,,
1023773,Msila 1,Natural Gas,46,"West of Msila City, Msila, Algeria",OCGT,1981-1982,,Sonelgaz Production de lâ€™Electricite,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.70714,4.480437,,,,,,,,,,
1023773,Msila 2,Natural Gas,300,,OCGT,1988-1990,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.70714,4.480437,,,,,,,,,,
1023773,Msila 3,Natural Gas,430,,OCGT,2010,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.70714,4.480437,,,,,,,,,,
1023773,Msila Mobile Gas Turbine,Natural Gas,204,,OCGT,2015,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.70714,4.480437,,,,,,,,,,
1023774,Ras Djinet,Natural Gas,672,"Djinet, Boumerdes, Algeria",Sub-critical Thermal,1986-1987,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.8509,3.6983,Light Fuel Oil/Diesel,,,,Once Through,Mediterranean Sea,,,,
1023775,Jijel,Natural Gas,588,"Port de Djen Djen, Jijel, Algeria",Sub-critical Thermal,1992-1994,3x196,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.8139,5.876,Light Fuel Oil/Diesel,,,,Once Through,Mediterranean Sea,,,,
1023776,Ain Djasser,Natural Gas,520,"Ain Djasser, Batna, Algeria",OCGT,2010-2014,4x154,SociÃ©te AlgÃ©rienne de Production de l\'ElectricitÃ©,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.86655,6.026241,Light Fuel Oil/Diesel,,,,,,,,,
1023777,Arbaa,Natural Gas,560,"Lardaa, Blida, Algeria",OCGT,2010,4x140,Sonelgaz,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.5988,3.1375,Light Fuel Oil/Diesel,,,,,,,,,
1023778,SKB IPP,Natural Gas,484,"Berrouaghia, Medea, Algeria",OCGT,2007,2x242,Sonelgaz Production de l'Electricite,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.1399,2.9296,,,,,,,,,,
1023780,Relizane,Natural Gas,465,"Relizane, Algeria",OCGT,2010,3x155,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.7835,0.54067,Light Fuel Oil/Diesel,,,,,,,,,
1023781,Boutelilis,Natural Gas,450,"Bou Tlelis, Oran, Algeria",OCGT,2016,Two OCGT,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.5658,-0.93858,,,,,,,,,,
1023782,Tiaret,Natural Gas,300,"Tiaret City, Tiaret, Algeria",OCGT,1988-1989,,,,Units 1-4 are Tiaret I and Units 5-7 are Tiaret II,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.3396,1.3562,,,,,,,,,,
1023783,Hamma 2,Natural Gas,418,"Hamma, Alger, Algeria",CCGT,,Two 1+1+1 CCGT,Sonelgaz Production de lâ€™Electricite,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.7489,3.08229,Light Fuel Oil/Diesel,,,,,,,,,
1023784,Kahrama IPP,Natural Gas,345,"Bethioua, Arzew, Oran, Algeria",OCGT,,3 OCGT,,,Desalinization Plant,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.80639,-0.2476,,,,,,,,,,
1023785,F'Krina,Natural Gas,292,"F'Kirina (Ein Beida), Oum el Bouaghi, Algeria",OCGT,,,Sonelgaz Production de lâ€™Electricite,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,35.7666,7.3619,Fuel Oil,,,,,,,,,
1023786,Skikda,Natural Gas,262,"Skikda, Algeria",Sub-critical Thermal,1975,2x131,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,36.88,6.935,Light Fuel Oil/Diesel,,,,Once Through,Mediterranean Sea,,,,
1023787,Tilghemt 1,Natural Gas,200,"Tilrhemt, Laghouat, Algeria",OCGT,1980,2x100,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),,"Adjacent to a solar hybrid PP -- a 130 MW combined cycle, with a 80 MW GT and a 75 MW steam turbine. A 25 MW solar field with 180.000 m2 of parabolic mirrors",Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Algeria,National Grid,33.13187,3.347958,,,,,,,,,,
