PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023001,Biopio (hydro),Hydro,14.6,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-12.47060000000,13.73190000000,,,,,,,,,,
1023002,Biopio,Diesel,22.8,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-12.47060000000,13.73190000000,,,,,,,,,,
1023003,Cambambe,Hydro,180,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-9.75232500000,14.48085300000,,,,,,,,,,
1023004,Capanda,Hydro,520,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-9.79546800000,15.46719100000,,,,,,,,,,
1023005,Cazenga,Natural Gas,132,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-8.83833330000,13.23444440000,,,,,,,,,,
1023006,Huambo,Diesel,16.26,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-12.76000000000,15.75000000000,,,,,,,,,,
1023007,Lobito,Natural Gas,20,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-12.37000000000,13.57000000000,,,,,,,,,,
1023008,Luanda Diesel,Diesel,58,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-8.83833330000,13.23444440000,,,,,,,,,,
1023009,Luanda Refinery,Diesel,18.5,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-8.83833330000,13.23444440000,,,,,,,,,,
1023010,Malongo,Diesel,10,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-5.55000000000,12.20000000000,,,,,,,,,,
1023011,Matala,Hydro,40,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-14.73333330000,15.03333330000,,,,,,,,,,
1023012,Namibe,Natural Gas,11.68,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-15.19611110000,12.15222220000,,,,,,,,,,
1023013,Rio Luachimo,Hydro,16,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-7.30000000000,20.85000000000,,,,,,,,,,
1023014,Xitoto,Diesel,11.34,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,MME,http://www.mme.gov.na/files/pdf/epupa/ch-3-epupa-tech.pdf,,,,,,,Operating,Angola,,-15.33333330000,15.00000000000,,,,,,,,,,
