PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1019151,Werndorf,Oil,246,,Sub-critical Thermal,,,Austrian Thermal power,0,,Energie AG,http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf,ENTSOE (for capacity and generation),,,,,,,,,Austria,,,,,,,,,,,
1019162,Riedersbach,Coal,150,,Sub-critical thermal,1986,,Energie AG Oberösterreich,290.085,,Energie AG,http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Austria,,,,,,,,,,,
1019163,Timelkam,Natural Gas,400,,CCGT,2008,,Energie AG Oberösterreich,452,,Energie AG,http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,58.7,,,,,,,Austria,,,,,,,,,,,
1019149,GDK Mellach,Natural Gas,838,,OCGT,1986,,Verbund,727.746,,Verbund,http://www.verbund.com/pp/en/thermal-power-plant/mellach-district-heating-plant,,,,,,,,,,Austria,,,,,,,,,,,
1019150,Dürnrohr,Coal,392,,Sub-critical Thermal,1987,,Verbund,799.969,To be mothballed in 2017,Verbund,file:///C:/Users/aaron.kressig/Downloads/TAUSCHITZ%20study%20on%20combined%20cycle%20Graz.pdf,,,,,,,,,,Austria,,,,Natural Gas,,,,,,,
1005149,Abwinden-Asten,Hydro,168,,Run-of-River,1980,,Verbund,995,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005150,Altenmarkt,Hydro,26,,Run-of-River,1960,,Verbund,166,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005151,Altenwörth,Hydro,328,,Run-of-River,1976,,Verbund,"1,968",,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005152,Annabrücke,Hydro,90,,Run-of-River,1981,,Verbund,390,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005153,Arnstein,Hydro,30,,Dam with Reservoir,1925,,Verbund,50,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005154,Aschach,Hydro,287,,Run-of-River,1964,,Verbund,"1,686",,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005155,Bischofshofen,Hydro,16,,Run-of-River,1986,,Verbund,70,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005156,Bodensdorf-Mur,Hydro,7,,Run-of-River,1982,,Verbund,34,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005157,Bodensdorf-Paal,Hydro,27,,Dam with Reservoir,1982,,Verbund,86,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005159,Braunau-Simbach,Hydro,100,,Run-of-River,1954,,Verbund,550,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005160,Dionysen,Hydro,16,,Run-of-River,1949,,Verbund,86,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005164,Ering-Frauenstein,Hydro,72,,Run-of-River,1943,,Verbund,434,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005165,Erzbach,Hydro,1,,Run-of-River,1986,,Verbund,6,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005166,Feistritz-Ludmannsdorf,Hydro,88,,Run-of-River,1968,,Verbund,354,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005167,Ferlach Maria Rain,Hydro,75,,Run-of-River,1975,,Verbund,318,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005168,Fisching,Hydro,22,,Run-of-River,1994,,Verbund,74,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005169,Friesach,Hydro,12,,Run-of-River,1998,,Verbund,60,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
1005170,Funsingau,Hydro,25,,Dam with Reservoir,1968,,Verbund,27,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,Austria,,,,,,,,,,,
