PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002277,TIHANGE 3,Nuclear,1045.8,,PWR,1985,,,6995.774,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Belgium,,,,,,,,,,,,
1002223,DOEL 4,Nuclear,1038,,PWR,1985,,,8122.308,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002277,TIHANGE 2,Nuclear,1008,,PWR,1982,,,386.087,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002223,DOEL 3,Nuclear,1006,,PWR,1982,,,69.493,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002221,COO,Hydro,"1,164",,Pumped Storage,1969-1978,,,"1,030.99",,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002275,TIHANGE 1N,Nuclear,962,,PWR,1975,,,"6,151.42",,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002226,DROGENBOS TGV,Natural Gas,465,,CCGT,,,,790.253,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002234,HERDERSBRUG STEG,Natural Gas,465,,CCGT,1998,,,929.103,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002207,Amercoeur 1 R TGV,Natural Gas,451,,CCGT,1994,,,2408.374,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002223,DOEL 1,Nuclear,433,,Nuclear,1975,,,418.119,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002223,DOEL 2,Nuclear,433,,Nuclear,1974,,,3110.965,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002271,T-power Beringen,Natural Gas,422,,CCGT,2011,,,2203.896,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002258,Marcinelle Energie (Carsid),Natural Gas,405,,CCGT,2011,,,1150.449,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002283,Zandvliet Power,Natural Gas,384,,CCGT,2001,,,1969.032,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002264,RINGVAART STEG,Natural Gas,357,,CCGT,1998,,,1591.791,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002267,SAINT-GHISLAIN STEG,Natural Gas,350,,CCGT,2000,,,1328.093,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002288,Zelzate 2 Knippegroen,Natural Gas/Blast Furnace Gas,315,,CCGT,2010,,,2084.472,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002265,RODENHUIZE 4,Biomass,268,,Sub-critical Thermal,,,,1564.944,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002253,LANGERLO 1,Coal,235,,Sub-critical Thermal,1968,,,925.861,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002253,LANGERLO 2,Coal,235,,Sub-critical Thermal,1968,,,842.193,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002260,Northwind,Wind,216,,Offshore Wind,2013,,,842.193,,4C Offshore,http://www.4coffshore.com/windfarms/northwind-belgium-be02.html,,,,,,,,,,Belgium,,51.618606,2.899785,,,,,,,,,
1002274,Thorntonbank - C-Power - Area SW,Wind,177.6,,Offshore Wind,2013,,,582.805,,4C Offshore,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,51.539987,2.921032,,,,,,,,,
1002212,Belwind Phase 1,Wind,171,,Offshore Wind,2010,,,588.189,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002273,Thorntonbank - C-Power - Area NE,Wind,147.6,,Offshore Wind,,,,501.454,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,51.555993,2.968914,,,,,,,,,
1002263,PLATE TAILLE T,Hydro,144,,Pumped Storage,,,,60.539,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002269,Scheldelaan Exxonmobil,Natural Gas,140,,Cogeneration,,,,821.032,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002244,INESCO WKK,Natural Gas,138,,CCGT,,,,695.712,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002210,AWIRS 4,Biomass,95,,Sub-critical Thermal,2005,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002281,Windvision Estinnes WIND,Wind,80,,,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002208,ANGLEUR TG 41,Natural Gas,64,,OCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002208,ANGLEUR TG 42,Natural Gas,64,,OCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002232,HAM31,Natural Gas,58,,OCGT,1993,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002232,HAM32,Natural Gas,58,,OCGT,2006,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002215,Beveren Sleco,Hydro,54,,Waste Incinerator,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002231,HAM-GENT WKK,Natural Gas,52,,CCGT,2006,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002225,DROGENBOS GT0,Natural Gas,48,,OCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002204,Aalst Syral GT,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002248,Jemeppe-sur-Sambre GT1,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002248,Jemeppe-sur-Sambre GT2,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002251,Lanaken Sappi,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002254,LANGERLO 3 REPOWERING,Natural Gas,43,,,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002254,LANGERLO 3 REPOWERING,Natural Gas,43,,,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002255,LANGERLO 4 REPOWERING,Natural Gas,43,,,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002255,LANGERLO 4 REPOWERING,Natural Gas,43,,,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002256,Lillo Degussa GT1,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002261,Oorderen Bayer,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002262,Oud-Lillo Monsanto,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002279,Wilmarsdonk Total GT1,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002279,Wilmarsdonk Total GT2,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002279,Wilmarsdonk Total GT3,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002290,Zwijndrecht Lanxess GT,Natural Gas,43,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002252,LANGERBRUGGE STORA ST 2,Hydro,40,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002285,Zeebrugge 2 Fluxys,Natural Gas,40,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002211,BEERSE TJ,Oil,33.2,,OCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002243,Incinerateur THUMAIDE (IPALLE),Hydro,32,,Waste Incinerator,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002245,Intradel Herstal,Hydro,32,,Waste Incinerator,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002256,Lillo Degussa GT2,Natural Gas,32,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002229,Froidchapelle Wind,Wind,25,,Onshore Wind,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002214,Beveren Ineos Phenolchemie,Natural Gas,22.8,,Cogeneration,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002209,Aspiravi Wuustwezel,Wind,22.1,,Onshore Wind,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002213,Beveren 2 Indaver,Hydro,20,,Waste Incinerator,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002230,Greenpower Oostende,Hydro,20,,Waste Incinerator,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002241,HU LIXHE,Hydro,20,,Barrage with Run of River Generation,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002242,HU MONSIN,Hydro,19.7,,Barrage with Run of River Generation,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002216,Biostoom Oostende,Hydro,19.4,,CCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002206,AALTER TJ,Oil,18.6,,OCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
1002217,BUDA TJ,Oil,18.6,,OCGT,,,,,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,,,,,,,,,,Belgium,,,,,,,,,,,,
