PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1015701,Atikokan,biomass,205,Atikokan,,2012,,Ontario Power Generation,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1015727,Boyle Mill,biomass,64,Boyle,,2001,,Alberta-Pacific Forest Industries,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1015845,Kamloops Mill,biomass,76,Kenora,,2010,,Ontario Power Generation,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1015924,NewPage,biomass,60,New Richmond,,2013,,TransAlta,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1015939,PGP Bio Energy Project,biomass,60,Lac Saint-Jacques,,2009,,Hydro Quebec,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1016007,Skookumchuk Mill,biomass,51,Fort St. John,,1997,,BC Hydro,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1016058,Williams Lake,biomass,68,Chetwynd,,1993,,Finavera Renewables,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1016066,Zellstoff Celgar,biomass,100,King,,2010,,Pristine Power,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1015708,Battle River,coal,370,Battle River,,1969,,ATCO,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
1015717,Belledune,coal,450,Belledune,,1993,,NB Power,,,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,,,,,,,Operational,Canada,,,,,,,,,,,
