PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,
1019369,Penny's Bay,Diesel,300,Hong Kong,OCGT,1992,3x100,CLP Group,,,CLP Group,https://www.clp.com.hk/en/about-clp/power-generation/infrastructure-and-fuel-mix/pennys-bay-power-station,,,,,,,,,Operating,China,,22.320848,114.041878,,,,,
1019372,Coloane A,Diesel,271,Macau,Diesel Engine,1978-1996,"2x24, 2x20, 2x39, 2x56",Companhia de Electricidade de Macau,,,Companhia de Electricidade de Macau,http://www.cem-macau.com/Generation,,,,,,,,,Operating,China,,22.137196,113.580141,,,,,
1000469,Liyuan,Hydro,2400,Jinsha River,Dam with Reservoir,2015,4x600,,,,Alstom,http://news.frbiz.com/liyuan_hydropower_project_in-342698.html,International Rivers,https://www.internationalrivers.org/resources/jinsha-river-dams-3605,,,,,,,Operating,China,,27.676268,100.292265,,,,,
1000558,Huhhot,Hydro,1200,,Pumped Storage,2014,4x300,,,,Alstom,https://web.archive.org/web/20140827071316/http://www.bhidi.com/news_view.asp?id=404,,,,,,,,,Operating,China,,40.984655,111.703727,,,,,
1000534,Zhanghewan,Hydro,1000,Gantao River,Pumped Storage,2009,,,1600,,Asian Development Bank,http://www.adb.org/sites/default/files/projdocs/2002/hebei_zhanghewan.pdf,,,,,,,,,Operating,China,,37.774329,114.05844,,,,,
1000471,Ludila,Hydro,2160,Jinsha River,Dam with Reservoir,2014,,,9957,,Baike,http://baike.baidu.com/view/1237237.htm,,,,,,,,,Operating,China,,26.201206,100.81641,,,,,
1000486,Liujiaxia,Hydro,1225,Huang He,Dam with Reservoir,1968,5,,,Hydro,Baike,http://baike.baidu.com/view/159096.htm,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v2,,,,,,,Operating,China,,35.932917,103.344583,,,Lanzhou,,
1000542,Jilintai,Hydro,460,Kashgar River,Dam with Reservoir,,,,,,Baike,http://baike.baidu.com/view/4269744.htm,,,,,,,,,Operating,China,,43.861356,82.84706,,,,,
1026378,Sheyang Lingang Industrial Area Tidal Flat,Solar,20,,PV,,,"Huadian Shangde Dongtai Solar Power Generation Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1353922882.7/view,,,,,,,,,Operating,China,,33.827,120.4384,,,,,
1026379,Jiangsu Huadian Shangde Dongtai,Solar,20,,PV,,,,,,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1353915097.45/view,,,,,,,,,Operating,China,,32.7978,120.9269,,,,,
1026380,Huadian Gansu Jiayuguan,Solar,10,,PV,,,,,,CDM,https://cdm.unfccc.int/Projects/DB/Germanischer1326463780.86/view,,,,,,,,,Operating,China,,39.7636,98.11243,,,,,
1026381,Wuwei Fengle Phase I,Solar,10,,PV,,,"Chenxu Liangzhou Solar Energy Power Generation Co., Ltd., GPEIC",,,CDM,https://cdm.unfccc.int/Projects/DB/JCI1316144966.51/view,,,,,,,,,Operating,China,,38.0975,102.325,,,,,
1026382,Gansu Wuwei,Solar,10,,PV,,,"CECEP Gansu Wuwei Solar Power Generation Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1354094448.52/view,,,,,,,,,Operating,China,,38.0969,102.297,,,,,
1026383,Dongying,Solar,7,,PV,,,CNPV Dongying Solar Power Company Limited,,,CDM,http://cdm.unfccc.int/Projects/Validation/DB/1XGFBVGX4JSZP2YFKGV4BM5EHD5P8F/view.html,,,,,,,,,Operating,China,,37.4792,118.7538,,,,,
1025936,Everbright Suqian & Huaining Bundled,Solar,10.28,,PV,,,Everbright Photovoltaic Energy (suqian) Limited,,,CDM,https://cdm.unfccc.int/filestorage/Z/O/S/ZOSF3KA06B97ILJDXGQH1P84RY5VEC/5913%20PDD.pdf?t=SUZ8b2o5amRifDDuwTmQIDdkfzkQqA0iWanh,,,,,,,,,Operating,China,,30.7748,116.8009,,,,,
1025937,Hongqiao Railway Station,Solar,6.68,,PV,,,"CECIC Shanghai Solar Energy Power Generation Co., Ltd.",,,CDM,https://cdm.unfccc.int/filestorage/B/2/J/B2JHZD3GNTLI54A69RM0FQ1PECXWKV/PDD.pdf?t=RnZ8b2o5am5jfDAQ83_rIkYbGkVGjaw_yNQV,,,,,,,,,Operating,China,,31.1976,121.3162,,,,,
1025938,Everbright Zhenjiang,Solar,13.3,,PV,,,Everbright Photovoltaic Energy (Zhenjiang) Limited,,,CDM,https://cdm.unfccc.int/filestorage/9/H/P/9HPFY87ZWM0OQUT2R1KEJNI35S4LCA/5945%20PDD.pdf?t=eG58b2o5aXNufDDVnKrWGrO29laR7-6VyKWm,,,,,,,,,Operating,China,,32.1727,119.654,,,,,
1025939,Hanergy Pizhou,Solar,30,,PV,,,Hanergy Pizhou Solar,,,CDM,https://cdm.unfccc.int/filestorage/z/x/WNZ1EDHCV8XU4TB2L7JGR5093FAOK6.pdf/Project%20PDD.pdf?t=Wkx8b2o5aGE3fDBP6G76iTdm6-S_HCgDqmA5,,,,,,,,,Operating,China,,34.4859,117.6497,,,,,
1026001,Shandong Yizhao,Solar,10,,PV,,,"Shandong Yizhao Energy Development Co., Ltd.",,,CDM,http://cdm.unfccc.int/filestorage/n/0/3U7MTDA8OJ29WQI5K1VLSXFBP40CZ6.pdf/CDM-PDD%20for%20project%20activity%20Shandong%20Yizhao%2010MW%20Grid-connected%20Solar%20Power%20Generation%20Project.pdf?t=UmV8b2o5eGtkfDDWd6KvCzmDfpYYCr_y_TRo,,,,,,,,,Operating,China,,34.9672,117.4395,,,,,
1025940,Ningxia Electric Power Group Touying,Solar,10,,PV,,,"Ningxia Electric Power Group Co., Ltd.",,,CDM,https://cdm.unfccc.int/filestorage/f/b/GZ0BEIFX9AWD672JKCNMLU3QHYT84O.pdf/PDD_Touying%20PV.pdf?t=SWV8b2o5c2IxfDAUZL-N2wJq9vA8_TdGJt8L,,,,,,,,,Operating,China,,36.1622,106.1721,,,,,
1025941,Hanergy Gognhe Solar Park,Solar,50,,PV,,,"Hanergy Hainan Prefecture PV Power Co., Ltd.",,,CDM,http://cdm-en.ccchina.gov.cn/newitemall0.aspx?page=2,,,,,,,,,Operating,China,,36.1813,100.6155,,,,,
1026005,Qinghai Gonghe,Solar,30,,PV,,,"Longyuan Kangping Wind Power Co., Ltd.",,,CDM,http://cdm.unfccc.int/filestorage/s/7/ZJ2WA6KV5FP87ISE4G3B9RMN1XOTUH.pdf/PDD_Qinghai%20Gonghe%2030MW%20Solar_07Aug2012%26%2365288%3Bclean%26%2365289%3B.pdf?t=ZWd8b2o5eHRrfDBbdhAYkaOJpDTaahMANcF7,,,,,,,,,Operating,China,,36.189,100.5138,,,,,
1025942,Qinghai Golmud,Solar,20,,PV,,,Longyuan Golmud New Energy Development Company,,,CDM,https://cdm.unfccc.int/filestorage/H/5/B/H5BQXTS9WIC04LEKJV8Y32FZRUN7OP/5379-%20PDD.pdf?t=YzF8b2o5anNtfDD6-yYsPPpQ5ebvTJo8m3OH,,,,,,,,,Operating,China,,36.334,95.22863,,,,,
1025943,Qinghai longyuan Golmud Phase III,Solar,20,,PV,,,"Longyuan Golmud New Energy Development Co., Ltd.",,,CDM,http://cdm.unfccc.int/filestorage/a/6/CF6MIPLXE830KJAQOU4DZT1RHVBYSG.pdf/7888-20121026-PDD.pdf?t=bkZ8b2o5dW9vfDDp6VTxX-1ExMufqSCuQXFF,,,,,,,,,Operating,China,,36.356,95.23952,,,,,
