PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1018559,Amoyá River-La Esperanza,Hydro,80,,Run of the River,,,Isagen S.A.,510,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018560,Calderas,Hydro,26,,Dam,,,Isagen S.A.,269,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018561,Cantral La Tasajera,Hydro,306,,dam,,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018562,Cartagena,Fuel Oil,188,,sub-critical thermal,,,ENDESA,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018563,Central Ayurá,Hydro,57,,Dam wit',,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018564,Central Guadalupe III,Hydro,270,,Dam with Reservoir,,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018565,Central Guatapé,Hydro,560,,Dam,,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018566,Chivor,Hydro,1000,,Dam,,,AES Chivor,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018567,El Quimbo,Hydro,396,,Dam with Reservoir,,,Emgesa,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018568,Gavio,Hydro,1200,,dam,,,Emgesa,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,4.724722,-73.4831,,,,,,,,
1018569,Gecelca 3,Coal,164,,sub-critical thermal,,,Gecelca S.A.,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018570,Guajira,Coal,302,,sub-critical thermal,,,Gecelca S.A.,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018571,Jaguas,Hydro,170,,Dam with Reservoir,,,Isagen S.A.,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018572,La Sierra,Natural Gas,460,,CCGT,,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018573,Miel I,Hydro,396,,Dam,,,Isagen S.A.,308,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018574,Pagua,Hydro,600,,dam,,,Emgesa,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018575,Porce III,Hydro,660,,Dam,,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
