PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1002015,Antonio Guiteras Powerplant,Oil,330,Matanzas,Sub-critical thermal,,,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),23.068706,-81.537887,,,,,Once Through,Bahia de Matanzas,,,,
1002016,Máximo Gómez (Mariel),Oil,450,La Boca,Sub-critical thermal,,"4x100, 1x50",Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),23.019998,-82.750186,,,,,Once Through,Bahia de Mariel,,,,
1002017,10 De Octubre (nuevitas) Powerplant,Oil,280,Nuevitas,Sub-critical thermal,,,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),21.565558,-77.271126,,,,,Once Through,Bahia de Nuevitas,,,,
1002018,Antonio Maceo (rente) Powerplant,Oil,450,Santiago de Cuba,Sub-critical thermal,,3x150,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),19.994514,-75.87058,,,,,Once Through,Bahia de Santiago de Cuba,,,,
1002019,Carlos De Cespedes Powerplant,Oil,382,Cienfuegos,Sub-critical thermal,,,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),22.158947,-80.455233,,,,,Once Through,Bahia de Cienfuegos,,,,
1002020,Lidio Perez (felton) Powerplant,Oil,500,Guatemala,Sub-critical thermal,,,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),20.740778,-75.654973,,,,,Once Through,Bahia de Nipe,,,,
1002022,Santa Cruz,Oil,300,Havanna,Sub-critical thermal,,3x100,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),23.15921,-81.953781,,,,,Once Through,Straits of Florida,,,,
1002023,Boca de Jaruco,Natural Gas,238,Santa Cruz del Norte,CCGT,,,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),23.182187,-82.017094,,,,,Once Through,Straits of Florida,,,,
1002024,Eg Punta Gorda Powerplant,Oil,174.6,"Punta Gorda, Moa",Diesel Engine,,20x8.73,Grupo Electrogeno,,,Association for the Study of the Cuban Economy,http://www.ascecuba.org/c/wp-content/uploads/2014/09/v18-cereijo.pdf,,,,,,,Operating,Cuba,National Electric System (NES),20.637729,-74.881059,,,,,,,,,,
1002025,Gibara,Wind,10.2,Palmira,Onshore Wind,,,Unión Eléctrica,,,CDM,http://cuba.acp-cd4cdm.org/media/280185/3%20pdd%20parque%20eolico%20gibara%202%20version%2001.pdf,,,,,,,Operating,Cuba,National Electric System (NES),21.119438,-76.13744,,,,,,,,,,
1022464,Havana TPP,Oil,500,Havanna,Sub-critical thermal,,"3x100, 1x200",,,,Technoprom,http://www.tpe.ru/upload/iblock/3e4/THERMAL%20POWER%20PLANT.pdf,,,,,,,Operating,Cuba,National Electric System (NES),23.123491,-82.412016,,,,,,,,,,
1002021,Varadero Powerplant,Natural Gas,173,Santa Marta,CCGT,,3x57,Unión Eléctrica,,,Republic of Cuba Power Sector Infrastructure Assesment,http://ctp.iccas.miami.edu/Appendices/Appendix_D_Power/Powerpoint_for_Cereijo_2010a.pdf,,,,,,,Operating,Cuba,National Electric System (NES),23.087937,-81.269535,,,,,Recirculating,Bahia de Cardenas,,,,
