PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1019207,Zlin,Coal,64,,Sub-critical Thermal,1996,,Alpiq Group,140,,Alpiq Group,http://www.alpiq.com/alpiq-group/our-assets/thermal-power-plants/gas-fired-combined-cycle-power-plants/combined-cycle-power-plants.jsp,,,,,,,,Czech Republic,,49.225701,17.655015,,,,,,,,,,
1019206,Kladno,Lignite,404,,Sub-critical Thermal,2000,,Alpiq Group,"1,669",10% biomass,Alpiq Group,http://www.alpiq.com/alpiq-group/our-assets/thermal-power-plants/coal-fired-power-plants/kladno-thermal-power-station.jsp,,,,,,,,Czech Republic,,50.15318,14.12898,,,,,,,,,,
1019208,Kladno (TG6),Natural Gas,110,,CCGT,1999,,Alpiq Group,,,Alpiq Group,http://www.alpiq.com/alpiq-group/our-assets/thermal-power-plants/gas-fired-combined-cycle-power-plants/combined-cycle-power-plants.jsp,,,,,,,,Czech Republic,,50.15341,14.1285,Biomass,,,,,,,,,
1019173,Tusimice,Coal,800,,Sub-critical Thermal,1974-1975,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/tusimice.html,39%,,,,,,,Czech Republic,,50.381036,13.339909,,,,,,,,,,
1019164,Dětmarovice,Coal,800,,Sub-critical Thermal,1976,,CEZ Group,"2,500",,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/detmarovice.html,,,,,,,,Czech Republic,,49.905051,18.467505,,,,,,,,,,
1019166,Ledvice,Coal,640,,Sub-critical Thermal,1969,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/ledvice.html,,,,,,,,Czech Republic,,50.576286,13.780266,,,,,,,,,,
1019172,Trmice,Coal,159,,Sub-critical Thermal,,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/trmice.html,,,,,,,,Czech Republic,,50.645037,13.986478,,,,,,,,,,
1019204,Dlouhé Stráně I,Hydro,650,,Pumped Storage,1996,2x325,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/dlouhe-strane.html,,,,,,,,Czech Republic,,50.085408,17.1794,,,,,,,,,,
1019203,Dalešice,Hydro,480,,Dam with Reservoir,1978-2008,4x112.5,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/dalesice.html,,,,,,,,Czech Republic,,49.124493,16.124212,,,,,,,,,,
1019177,Orlík,Hydro,364,,Dam with Reservoir,1961–1962,4x91,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/orlik.html,,,,,,,,Czech Republic,,49.606646,14.181607,,,,,,,,,,
1019179,Slapy,Hydro,144,,Dam with Reservoir,1954–1955,3x48,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/slapy.html,,,,,,,,Czech Republic,,49.823697,17.434233,,,,,,,,,,
1019176,Lipno I,Hydro,120,,Dam with Reservoir,1959,2x60,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/lipno.html,,,,,,,,Czech Republic,,48.625896,14.303982,,,,,,,,,,
1019202,Štěchovice II,Hydro,45,,,1948-1996,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,49.846486,14.421905,,,,,,,,,,
1019178,Kamýk,Hydro,40,,Dam with Reservoir,1961-2008,4x10,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/kamyk.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019180,Štěchovice I,Hydro,22.5,,Run-of-River,1943–1944,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/stechovice.html,,,,,,,,Czech Republic,,49.846486,14.421905,,,,,,,,,,
1019182,Střekov,Hydro,19.5,,Dam with Reservoir,1936,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019181,Vrané,Hydro,13.8,,Run-of-River,1936-2007,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydraulic-power-plants/vrane.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019191,Práčov,Hydro,10,,,1953,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019184,Hněvkovice,Hydro,9.6,,,1992,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019199,Vydra,Hydro,6,,,1939,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019185,Kořensko I,Hydro,3.8,,,1992,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019192,Pastviny,Hydro,3,,,1938,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019193,Obříství,Hydro,3,,,1995,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019198,Brno Kníničky,Hydro,3,,,1941,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019190,Spálov,Hydro,2.4,,,1926,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019189,Přelouč,Hydro,2,,,1927,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019194,Les Království,Hydro,2,,,1923,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019195,Předměřice nad Labem,Hydro,2,,,1953,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019196,Pardubice,Hydro,2,,,1978,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019197,Spytihněv,Hydro,2,,,1951,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019200,Hracholusky,Hydro,2,,,1964,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019201,Černé jezero I,Hydro,2,,,1930,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019183,Lipno II,Hydro,1.5,,,1957,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019188,Mohelno,Hydro,1.2,,,1977-1999,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019186,Kořensko II,Hydro,1,,,2000,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019187,Želina,Hydro,1,,,1994,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/hydroelectric-power-plants.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019170,Prunéřov,Lignite,"1,490",,Sub-critical Thermal,1968-1982,"5x210, 4x110",CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/prunerov.html,,,,,,,,Czech Republic,,50.417843,13.259198,,,,,,,,,,
1019167,Melnik,Lignite,"1,082",,Sub-critical Thermal,1960-1976,"1x352, 2x110, 1x500",CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/melnik.html,,,,,,,,Czech Republic,,50.57658,13.779761,,,,,,,,,,
1019168,Pocerady,Lignite,"1,000",,Sub-critical Thermal,1970-1977,5x200,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/pocerady.html,,,,,,,,Czech Republic,,50.4278,13.6792,,,,,,,,,,
1019171,Tisová,Lignite,296,,Sub-critical Thermal,1958-1962,"1x112, 1x184",CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/tisova.html,,,,,,,,Czech Republic,,50.1496,12.6108,,,,,,,,,,
1019169,Poříčí,Lignite,165,,Sub-critical Thermal,1958,3x55,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/porici.html,,,,,,,,Czech Republic,,50.5727,15.9634,,,,,,,,,,
1019165,Hodonín,Lignite,105,,Sub-critical Thermal,1958,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/hodonin.html,,,,,,,,Czech Republic,,48.8474,17.1197,,,,,,,,,,
1019205,Počerady,Natural Gas,840,,CCGT,2014,,CEZ Group,,,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/ccgt-power-plants.html,,,,,,,,Czech Republic,,50.4267,13.6747,,,,,,,,,,
1019174,Temelín,Nuclear,"2,133",840,PWR,2002,"1x1,078, 1,055",CEZ Group,"13,213",,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/nuclear-power-plants/temelin.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019175,Dukonavy,Nuclear,"2,040",,PWR,1985-1988,4x510,CEZ Group,"11,727",,CEZ Group,https://www.cez.cz/en/power-plants-and-environment/nuclear-power-plants/dukovany.html,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019225,Plzenska Tepalrenska,Lignite,137,,Sub-Critical Thermal,,,Plzenska Teplarenska,,40% is from biomass,Plzenska Teplarenska,http://www.pltep.cz/index.php?goto=text&sekce=Ar5bXRIQ&tid=5GPLpGs4&lng=cz,,,,,,,,Czech Republic,,,,Biomass,,,,,,,,,
1019222,Chvaletice,Lignite,820,,Sub-Critical Thermal,1979,,Severní Energetická,"4,000",,Severní Energetická,http://www.sev-en.cz/cz/elektrina/download/VZ_7EC_2015_EN.pdf,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019223,Vřesová,Natural Gas,370,,CCGT,1995,,Sokolovska Uhlena,,,Sokolovska Uhlena,https://www.suas.cz/index.php/produkty/elektricka-energie,,,,,,,,Czech Republic,,50.25764,12.6932,,,,,,,,,,
1019224,Komořany,Lignite,210,,Sub-Critical Thermal,1958,,United Energy,,,United Energy,http://www.ue.cz/index.php?option=com_content&view=article&id=16&Itemid=103,,,,,,,,Czech Republic,,50.522,13.5718,,,,,,,,,,
1019226,Kryštofovy Hamry- Přísečnice,Wind,42,,Onshore Wind,2007,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/120,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019227,Horní Loděnice - Lipina,Wind,18,,Onshore Wind,2009,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/121,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019228,Červený kopec - Rejchartice,Wind,13.8,,Onshore Wind,2012,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/122,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019229,Andělka,Wind,12.3,,Onshore Wind,2012,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/123,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019230,Horní Paseky,Wind,10,,Onshore Wind,2012,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/124,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019231,Jinřichovice-Stará,Wind,9.2,,Onshore Wind,2010,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/125,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019232,"Mlýnský vrch, Krásná u Aše",Wind,8,,Onshore Wind,2009,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/126,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019233,Strážní Vrch v Nové Vsi v Horách,Wind,8,,Onshore Wind,2008,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/127,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019234,Rusová-Podmíleská výšina,Wind,7.5,,Onshore Wind,2006,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/128,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019235,Pchery,Wind,6,,Onshore Wind,2008,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/129,,,,,,,,Czech Republic,,,,,,,,,,,,,
1019236,Nové Město - Vrch Tří pánů,Wind,6,,Onshore Wind,2006,,,,,Wind Energy in the Czech Republic,http://www.csve.cz/clanky/aktualni-instalace-vte-cr/130,,,,,,,,Czech Republic,,,,,,,,,,,,,
