PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022044,Herning CHP,Biomass,88,,Sub-critical Thermal,2009,,,,CHP,Dong Energy,http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate,,,,,,,,,,Denmark,,56.1214,9.0068,,,,,,,,,,
1022028,Studstrupvaerket,Biomass/Coal,730,,Sub-critical Thermal,1984-1985,,Dong Energy,1504.4,Unit 3 is coal but is only used in reserve  Unit 4 was Converted from coal to biomass in 2016,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Dong Energy,http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate,,,,,,,,Denmark,,56.25208,10.3423,Biomass,,,,Once Through Cooling,,,,,
1022032,Fynsvaerket,Coal,407.1,,Sub-critical Thermal,,,,882.035,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Denmark,,55.429176,10.410399,,,,,,,,,,
1022026,Avedoerevaerket (Avedøre),Coal,815,,Sub-critical and Super-critical Thermal,1991-1992,,Dong Energy,2113.846,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Dong Energy,http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate,,,,,,,,Denmark,,55.60352,12.4812,Biomass,,,,Once Through Cooling,,,,,
1022027,Asnaesvaerket,Coal,787,,Sub-critical Thermal,"1961, 1981",,Dong Energy,473.852,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Dong Energy,http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate,,,,,,,,Denmark,,55.65987,11.08434,Oil,,,,Once Through Cooling,,,,,
1022031,Enstedvaerket,Coal,626,,Sub-critical Thermal,1979,,Dong Energy,0.3,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Dong Energy,https://web.archive.org/web/20140318061736/http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/ensted_power_station.aspx,,,,,,,,Denmark,,55.0206,9.4419,,,,,,,,,,
1022035,Esbjergvaerket,Coal,377,Esberg,Sub-critical,,,,961.551,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Dong Energy,http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate,,,,,,,,Denmark,,55.4552,8.4544,,,,,Once Through Cooling,,,,,
1022037,Stigsnaesvaerket,Coal,264,,Sub-critical Thermal,1970,,,0,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Dong Energy,https://www.essent.eu/content/Images/90684_04_DONG%20plans%20in%20biomass_Jesper%20Staal.pdf,,,,,,,,Denmark,,55.2079,11.2528,,,,,Once Through Cooling,,,,,
1022042,Randers,Coal,52,,Sub-critical Thermal,,,,,,Dong Energy,http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate,,,,,,,,,,Denmark,,56.4584,10.0475,,,,,,,,,,
1022036,Amagervaerket,Coal,330,,Sub-critical Thermal,1971-1989,"1x70, 1x263",Hofor,851.25,,ENTSOE (capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Denmark,,55.686777,12.627702,,,,,,,,,,
