PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1001978,Itabo 2,Coal,132,,Sub-critical Thermal,,,EGE-Itabo,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.405759,-70.027069,,,,,,,,,,
1001978,Itabo 1,Coal,128,,Sub-critical Thermal,,,EGE-Itabo,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.405759,-70.027069,,,,,,,,,,
1001979,Los Mina 5,Natural Gas,118,,OCGT,,,EGE-Haina,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001979,Los Mina 6,Natural Gas,118,,OCGT,,,EGE-Haina,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001980,Metaldom,Fuel Oil #6,42,,Diesel Engine,,,EGE-Haina,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.436089,-69.947048,,,,,,,,,,
1001981,Palamara,Fuel Oil #6,107,,Diesel Engine,,,Generadora Palarma La Vage,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001983,CEPP 2,Fuel Oil #6,58.1,,Diesel Engine,,,Compania Electrica de San Pedro De Macoris,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001984,La Vega,Fuel Oil #6,92,,Diesel Engine,,,Generadora Palarma La Vage,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001986,Monte Rio,Fuel Oil #6,100.1,,Diesel Engine,,,PVDC,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.350745,-70.833203,,,,,,,,,,
1001987,CESPM 1,Fuel Oil #2,100,,CCGT,,,Complejo Metallurgico Dominicano,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001987,CESPM 2,Fuel Oil #2,100,,CCGT,,,Dominican Power Partners,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001987,CESPM 3,Fuel Oil #2,100,,CCGT,,,EGE-Haina,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001990,Sultana del Este,Fuel Oil #6,85,,Diesel Engine,,,EGE-Haina,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.451546,-69.317156,,,,,,,,,,
1001991,Estrella Del Mar 2,Natural Gas,108,,Diesel Engine,,,Seaboard Transcontinental Capital,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,,,,,,,,,,,,
1001993,AES Andres,Natural Gas,319,,CCGT,,,AES Andres,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.407419,-69.634347,,,,,,,,,,
1001994,Quisqueya 2,Fuel Oil #6,215,,Diesel Engine,,,EGE-Haina,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.493067,-69.350942,,,,,,,,,,
1001994,Quisqueya 1,Fuel Oil #6,215,,Diesel Engine,,,PVDC,,,National Interconnected System of the Dominican Republic,http://www.oc.org.do/INFORMES/Administrativos/InformeAnual.aspx,,,,,,,Operating,Dominican Republic,SENI,18.493067,-69.350942,,,,,,,,,,
