PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1018589,Agoyán,Hydro,156,,,,2,CELEC EP,908.4,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,73.90%,,,Ecuador,,,,,,,,,,,,,,2013
1018590,Alao,Hydro,10,,,,,E.E. Riobamba,69.12,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,80%,,,Ecuador,,,,,,,,,,,,,,2013
1018591,Alvaro Tinajero,Natural Gas,95,,OCGT,,,Electrica de Guayaquil,121.8,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018592,Anibal Santos,Natural Gas,141,,CCGT,,,Electrica de Guayaquil,247,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018594,Calope,Hydro,18,,,,,Enermax,90,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,62.50%,,,Ecuador,,,,,,,,,,,,,,2013
1018595,Catamayo,Diesel,19.74,,Diesel Engine,,,Regional Sur,10,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018596,Central Dr. Enrique García,Natural Gas,102,Guayaquil,OCGT,2004,,Electroguayas,142.9,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,https://www.celec.gob.ec/electroguayas/index.php/generacion/central-enrique-garcia,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018597,Central Santa Elena,Diesel,130,Santa Elena,Diesel Engine,2011-2012,,Electroguayas,486,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,https://www.celec.gob.ec/electroguayas/index.php/generacion/central-santa-elena,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018598,Central Termica Trinitaria,Fuel Oil,133,Guayaquil,Sub-critical Thermal,1994,,Electroguayas,629.48,Water Desalinization Plant,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,-2.25195,-79.910022,,,,,Once Through,Guayaquil Bay,,,,,2013
1018599,Coca Coda Sinclair,Hydro,"1,500",Napo Province,Run-of-river,2010,,Cocasinclair EP ,"8,743",,Agencia de Regulacion y Control de Electricidad,http://www.power-technology.com/projects/coca-codo-sinclair-hydroelectric-project/,,,,,,,,Ecuador,,-0.144316,-77.617026,,,,,,,,,,,2013
