PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm per kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1000099,Abu Kir,Natural Gas,"2,236",West Delta,CCGT,1983-2013,"4x150, 1x311, 1x25, 2x650",,"12,275",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,37.6,235,1016.5,70,62,82.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000077,Abu Sultan,Natural Gas,600,East Delta,Sub-critical thermal,1983-1986,4,,"3,090",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,33.6,260.9,575,61,59,83,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000083,Arish,Natural Gas,66,East Delta,Sub-critical thermal,1995,2,,545,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,35.7,245.7,66,94,94,97.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000104,Assiut,Heavy Fuel Oil,440,Upper Delta,Sub-critical thermal,1966-1967,3x30,,364,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,28.2,311.1,74,56,46,60.5,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000107,Aswan Dam I,Hydro,280,,Dam,1960,7x40,,"1,559",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,,279,64,55,95.2,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000107,Aswan Dam II,Hydro,270,,Dam,1985,4x67.5,,"1,503",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,,270,64,64,83.6,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000076,Ataka,Natural Gas,900,East Delta,Sub-critical thermal,1985-1987,9,,"1,852",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,34,258.1,500,42,23,33.3,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000094,Banha,Natural Gas,750,Middle Delta,CCGT,2014-2015,2,,485,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,32.7,268.4,502,,,,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000070,Cairo North,Natural Gas,"1,500",Cairo,CCGT,2004-2008,2,,"2,196",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,52.8,116,1497,58,58,85.8,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000069,Cairo South,Natural Gas,715,Cairo,CCGT,1965-1994,5,,"2,947",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,40,221,402.5,49,40,77.8,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000068,Cairo West,Natural Gas,"1,360",Cairo,OCGT,1995-2011,4,,"7,957",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,39.3,223,1264,72,67,94.2,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000096,Damanhour,Natural Gas,458,West Delta,CCGT,1985-1995,"1x300, 2x25, 1x58",,"1,681",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,32.2,273.5,452,51,42,64.05,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000075,Damietta,Natural Gas,"1,200",East Delta,CCGT,1989-1993,3,,"8,328",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,45.4,193.5,1111,85,78,96.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000081,Damietta West,Natural Gas,500,East Delta,OCGT,2012,4,,"3,042",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,32.8,267.2,511,68,69,95.8,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000093,El-Atf,Natural Gas,750,Middle Delta,CCGT,2009-2010,3,,"5,938",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,54.6,160.8,812,83,90,95.6,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000097,El-Seiuf,Natural Gas,200,West Delta,OCGT,1981-1984,6x33.3,,302,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,23,381,147,23,17,94.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000071,El-Tebeen,Natural Gas,700,Cairo,Sub-critical thermal,2010,6,,2947,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,204.5,360,93,48,,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000108,Esna,Hydro,86,,Run of River,1993,6x14.28,,535,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,,87,70,71,95,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
