PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000055,Awash II,Hydro,32,Awash River,,1996,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000055,Awash III,Hydro,32,Awash River,,1996,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000056,Beles,Hydro,460,Lake Tana/ Beles,,2010,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000057,Fincha,Hydro,134,Fincha Amerti Nesha River,,1973,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000058,Fincha Amerti Nesha,Hydro,100,Fincha Amerti Nesha,,2011,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000059,Gilgel Gibe I,Hydro,184,Gilgel Gibe River,,2004,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000060,Gilgel Gibe II,Hydro,420,Omo River,,2010,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000061,Koka,Hydro,43.2,Awash River,,1960,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000062,Melka Wekana,Hydro,153,Wadi Shebele,,1983,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000063,Tekeze,Hydro,300,Tekeze River,,2009,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000064,Tis Abay I,Hydro,11.4,Abay (Nile) River,,,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000064,Tis Abay II,Hydro,73,Abay (Nile) River,,,,,,,Africa Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1000065,Adama,Wind,204,Adama,,2012-2015,,,,,Africa's Power Journal,http://www.esi-africa.com/news/153mw-adama-wind-farm-grows-ethiopias-renewable-energy-plan/,,,,,,,Operating,Ethiopia,,8.591301,39.249473,,,,,,,,
1000066,Ashegoda,Wind,120,Tigre Zone,,2011-2012,,,,,World Bank,http://documents.worldbank.org/curated/en/151581468038142238/E43920V10P13360Box382090B00PUBLIC0.docx,,,,,,,Operating,Ethiopia,,,,,,,,,,,
1022986,Gilgel Gibe III,Hydro,"1,870",Omo River,,2015,,,,,Hydro World,http://www.hydroworld.com/articles/2015/10/power-generation-begins-at-1-870-mw-gibe-iii-hydroelectric-project-in-ethiopia.html,,,,,,,Operating,Ethiopia,,6.848159,37.301843,,,,,,,,
1022987,Aluto-Langano,Geothermal,7.3,Arsi,,2013,,,,,World Bank,http://documents.worldbank.org/curated/en/151581468038142238/E43920V10P13360Box382090B00PUBLIC0.docx,,,,,,,Operating,Ethiopia,,7.788623,38.794732,,,,,,,,
