PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002473,Olkiluoto 1,Nuclear,880,Olkiluoto 1,,,,Teollisuuden Voima Oyj,7223.129,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Olkiluoto,Olkiluoto,27160,,,,,,
1002473,Olkiluoto 2,Nuclear,880,Olkiluoto 2,,,,Teollisuuden Voima Oyj,6685.583,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Olkiluoto,Olkiluoto,27160,,,,,,
1002454,Meri-Pori,Coal,565,Meri-Pori,,,,"Fortum Power & Heat , Generation",473.718,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,Heavy distillates,Keilaniementie 1,PL 100,00048 Fortum,,,,,,
1002445,Loviisa Y1,Nuclear,496,Loviisa I,,,,"Fortum Power & Heat , Power",3911.809,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Keilaniementie 1,PL 100,00048 Fortum,,,,,,
1002445,Loviisa Y2,Nuclear,496,Loviisa II,,,,"Fortum Power & Heat , Power",3926.634,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Keilaniementie 1,PL 100,00048 Fortum,,,,,,
1002594,Vuosaari B,Natural Gas,485,Vuosaari B-voimalaitos,CHP,,,Helsingin Energia,2892.226,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,Kampinkuja 2,HELEN,90,,,,,,
1002544,Suomenojan voimalaitos,Coal,358,Suomenojan voimalaitos,CHP,,,Fortum Power and Heat Oy,29.877,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,Natural gas,PL 100,FORTUM,48,,,,,,
1002631,Forssa kt,Oil,332.6,"Varavoimalantie 6, 30420 Forssa",,,,Fingrid Oyj,2.399,,Nord Pool Spot,https://umm.nordpoolspot.com/infra/stations/510,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,PL 530,Helsinki,101,,,,,,
1002349,Ilomantsin pellettitehdas,Peat,2.8,Ilomantsi,CHP,,,Vapo Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,PL 22,Jyväskylä,40101,,,,,,
1002356,Joensuu,Biomass,2.8,Joensuu,CHP,,,UPM-Kymmene Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Peat,Ky-35,Kuusankoski,45700,,,,,,
1002368,Kaaranneskoski,Hydro,2.8,Kaaranneskoski,,,,Tornionlaakson Voima Oy-,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Myllytie 1,Pello,95700,,,,,,
1002322,Haapavesi,Natural Gas,2.7,Forssa,CHP,,,Vapo Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Forest fuelwood,PL 22,Jyväskylä,40101,,,,,,
1002521,Ruusutarhat,Natural gas,2.7,Valkeala,,,,Ruusutarhat Suutari Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,Jyrääntie 400,45100   Kouvola,45100,,,,,,
1002587,Viikinmäki,Biomass,2.7,Viikinmäen jätevedenpuhdistamo,CHP,,,Helsingin Vesi,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,PL 1100,Helsingin kaupunki,99,,,,,,
1002327,Hankosaari 1-2 tv,Wind,2.6,Hangonsaari 1 ja 2,,,,Propel Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 11,Laitila,23801,,,,,,
1002323,Hamari,Hydro,2.5,"Hamari, Ylivieska",,,,Korpelan Voima kuntayhtymä,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 13,Kannus,69101,,,,,,
1002420,Kumpuniemi,Biomass,2.5,Vaneritehtaankatu 1 Suolahti,CHP,,,Kumpuniemen Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 43,Suolahti,44201,,,,,,
1002641,Pettumäen Mylly,Wind,2.5,Pettumäki Teuva,,,,Pettumäen Mylly oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Joentaustantie 291,Teuva,64700,,,,,,
1002652,Sysimylly,Wind,2.5,"Luomankyläntie 591, Luomankylä",,,,Sysituuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Talvitie 333,Luomakylä,61810,,,,,,
1002654,Isonnevanmäki,Wind,2.5,"Isonnevanmäki, Kauhava",,,,Tuuliveikot Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Mattilantie 34,Kortesjärvi,62420,,,,,,
1002487,Patalankoski,Hydro,2.4,Patala,,,,UPM-Kymmene Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Ky-35,Kuusankoski,45700,,,,,,
1002488,Peltokoski,Hydro,2.3,"Peltokoski, Karjaa",,,,Koskienergia Koskivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kotakennääntie 31,Äänekoski,44100,,,,,,
1002617,Tahkoluoto Offshore tv,Wind,2.3,"Pori, Tahkoluodon edusta",,,,Suomen Hyötytuuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 9,Pori,28101,,,,,,
1002382,Kattilakoski,Hydro,2.1,Kattilakoski,,,,Oy HERRFORS Ab,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Storgatan 8,68600 Jakobstad,,,,,,,
1002549,Sänkiaho,Oil,2.1,Sänkiahon 110/ 20 kV sähköasema,,,,Alajärven Sähkö Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kauppakatu 1,Alajärvi,62900,,,,,,
1002405,Kokkola tv 1 ja 2,Wind,2,"Kokkola T1, T2 (á 1 MW)",,,,Innopower Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"Töölönkatu 4, PL40",Helsinki,101,,,,,,
1002421,Kuokkastenkoski,Hydro,2,"Nurmes, Kuokkastenkoski",,,,Pohjois-Karjalan Sähkö Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Rantakatu 29,Joensuu,80100,,,,,,
