PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1023933,Cestas,Solar,301.36417,Cestas,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.724162,-0.815041,,,,,,,,,,
1023934,Les Mées,Solar,95.31534,Les Mées,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.015,6.016763,,,,,,,,,,
1023935,Salles-Curan,Wind,87,Salles-Curan,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.159715,2.829884,,,,,,,,,,
1023936,Épizon,Wind,80,Épizon,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.3735,5.322164,,,,,,,,,,
1023937,Rosières-en-Haye,Solar,78.933,Rosières-en-Haye,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.7867,5.978947,,,,,,,,,,
1023938,Germinon,Wind,75,Germinon,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.8867,4.17862,,,,,,,,,,
1023939,Losse,Solar,67.64936,Losse,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.058258,-0.012998,,,,,,,,,,
1023940,Paris,Biomass,64,Paris,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,,,,,,,,,,,,
1023941,Cormainville,Wind,60,Cormainville,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.120655,1.615964,,,,,,,,,,
1023942,Murat-sur-Vèbre,Wind,59.1,Murat-sur-Vèbre,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.658787,2.87086,,,,,,,,,,
1023943,Massangis,Solar,56.03591,Massangis,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,47.6087,4.011181,,,,,,,,,,
