PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1006154,Zolling,Biomass,528,Zolling,Sub-critical Thermal,1976-2003,"3 units (1x472 (Coal), 1x46 (Oil), 1x10 (Biomass)",GDF SUEZ Energie Deutschland AG,2018.133,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,48.455353,11.799456,Coal,,,,,,,,,
1006151,Zellstoff Stendal GmbH,Biomass,138.9,Arneburg,Sub-critical Thermal,2004-2013,,Zellstoff Stendal GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.72713,12.01115,,,,,,,,,,
1006059,Stora Enso Maxau,Biomass,78,Karlsruhe,Sub-critical Thermal,2010,,Stora Enso Maxau GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,49.0393,8.31134,,,,,,,,,,
1006038,SCA Mannheim,Biomass,59.2,Mannheim,Sub-critical Thermal,1966-2000,,SCA HYGIENE PRODUCTS GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,49.5349,8.46358,,,,,,,,,,
1006110,Biomass Generator #22,Biomass,53.5,Blankenstein,Sub-critical Thermal,1999,,Zellstoff- und Papierfabrik Rosenthal GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.490098,10.412883,,,,,,,,,,
1005597,Biomasse-HKW,Biomass,40,Emlichheim,Sub-critical Thermal,2003-2006,,PN Biomasseheizkraftwerk Emlichheim GmbH & Co. KG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,,,,,,,,,,,,
1006142,Wi-Biebrich,Biomass,31.7,Wiesbaden,Sub-critical Thermal,2003-2006,2 units (6.7 (Biomass) and 25 (Natural Gas),InfraServ GmbH & Co. Wiesbaden KG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,50.040546,8.253248,Natural Gas,,,,,,,,,
1006104,Biomass Generator #15,Biomass,28.4,Buchen,Sub-critical Thermal,2003,,Biomasseheizkraftwerk Odenwald GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,49.515359,9.325151,,,,,,,,,,
1006139,Werkskraftwerk Sappi Ehingen,Biomass,21.2,Ehingen,Sub-critical Thermal,1961-1990,"2 units (8, 13.2)",Sappi Ehingen GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,48.26698,9.72615,,,,,,,,,,
1005599,Biomasse-Verstromungs-Anlage,Biomass,20,Hagen,Sub-critical Thermal,2004,,Mark-E AG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.35,7.45,,,,,,,,,,
1005609,BMK Lünen,Biomass,20,Lünen,Sub-critical Thermal,2006,,STEAG New Energies GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.61403992,7.481253974,,,,,,,,,,
1005656,Emden Biomasse,Biomass,20,Emden,Sub-critical Thermal,2005,,Statkraft Markets GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,53.34217,7.20624,,,,,,,,,,
1005665,ENERTRAG Netz GmbH (UW Bertikow),Biomass,20,Bertikow,Sub-critical Thermal,2003,,ENERTRAG Aktiengesellschaft,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,53.2656,13.95,,,,,,,,,,
1005930,Landesbergen Biomasse,Biomass,20,Landesbergen,Sub-critical Thermal,2005,,Statkraft Markets GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.57703,9.11009,,,,,,,,,,
1005961,Müllverwertung Borsigstraße MVB,Biomass,20,Hamburg,Sub-critical Thermal,2005,,MVB Müllverwertung Borsigstraße GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,53.53188044,10.07459164,,,,,,,,,,
1006106,Biomass Generator #17,Biomass,20,Delitzsch,Sub-critical Thermal,2004,,Danpower Energie Service GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.50703,12.30048,,,,,,,,,,
1006106,Biomass Generator #18,Biomass,20,Delitzsch,Sub-critical Thermal,2003,,BKD Biokraftwerk Delitzsch GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.51521,12.32479,,,,,,,,,,
1006107,Biomass Generator #19,Biomass,20,Eberswalde,Sub-critical Thermal,2006,,,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.851545,13.77806,,,,,,,,,,
1006082,Biomass Generator #4,Biomass,19.9,Horn-Bad Meinberg,Sub-critical Thermal,2000,,GHP Glunz  Holzwerkstoffproduktion GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.88476,8.9567,,,,,,,,,,
1006081,Biomass Generator #3,Biomass,19.7,Heiligengrabe,Sub-critical Thermal,2002,,,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,53.15113,12.37706,,,,,,,,,,
1006088,Biomass Generator #9,Biomass,18.8,Oberrot,Sub-critical Thermal,2000,,EnBW Klenk Holzenergie GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,49.011491,9.67177,,,,,,,,,,
1005660,Energieanlage 3,Biomass,18.6,Heiligengrabe,Sub-critical Thermal,2002,,Kronoply GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,53.148966,12.379742,,,,,,,,,,
1006109,Biomass Generator #21,Biomass,18.3,Beeskow,Sub-critical Thermal,2001,,,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.18269,14.25841,,,,,,,,,,
1005600,Biomasseheizkraftwerk Piesteritz,Biomass,18.1,Wittenberg/ Piesteritz,Sub-critical Thermal,2009,,Stadtwerke Leipzig GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.87118977,12.61849718,,,,,,,,,,
1005602,Biomassekraftwerk Bischofferode,Biomass,18.1,Bischofferode,Sub-critical Thermal,2006,,Stadtwerke Leipzig GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.48993,10.41307,,,,,,,,,,
1005651,Egger Kraftwerk Briilon 1,Biomass,18,Brilon,Sub-critical Thermal,1990,,Egger Kraftwerk Brilon GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.40667,8.60115,,,,,,,,,,
1005613,BMKW Mannheim,Biomass,17.9,Mannheim,Sub-critical Thermal,2003,,MVV Energie AG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,49.51644467,8.460246482,,,,,,,,,,
1005594,BioEnergie Park Klarsee,Biomass,17.8,Krackow,Sub-critical Thermal,2006,,Geno Bioenergie Leasingfonds Erste GmbH & Co. KG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,,,,,,,,,,,,
1005610,BMKW Bergkamen,Biomass,17.7,Bergkamen,Sub-critical Thermal,2005,,RWE Energiedienstleistungen GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.63701,7.61876,,,,,,,,,,
1005612,BMKW Königs Wusterhausen,Biomass,17.1,Königs Wusterhausen,Sub-critical Thermal,2003,,MVV Energie AG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.30479,13.63603,,,,,,,,,,
1006136,Werkskraftwerk Sappi Alfeld 1,Biomass,16.8,Alfeld,Sub-critical Thermal,1988,,Sappi Alfeld GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.984761,9.822831,,,,,,,,,,
1005766,HHKW Berlin-Neukölln,Biomass,16.5,Berlin,Sub-critical Thermal,2005,,RWE Energiedienstleistungen GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.42529,13.517308,,,,,,,,,,
1006121,UTB,Biomass,16,Baruth/Mark,Sub-critical Thermal,2002,,Pfleiderer Baruth GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,52.07778,13.51725,,,,,,,,,,
1006080,Biomass Generator #2,Biomass,15.7,Giengen,Sub-critical Thermal,2004,,Biomasse Heizkraftwerk Herbrechtingen GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,48.62833,10.20078,,,,,,,,,,
1005922,KWK Neumarkt,Biomass,15.6,Neumarkt i.d. Oberpfalz,Sub-critical Thermal,1997,,Pfleiderer Neumarkt GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,49.26133,11.4516,,,,,,,,,,
1005607,BMHKW-BinderHolz,Biomass,15.1,Kösching,Sub-critical Thermal,2007,,BinderHolz Deutschland GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,48.79123,11.50679,,,,,,,,,,
1005593,Bio HKW Herbrechtingen,Biomass,14,Herbrechtingen,Sub-critical Thermal,2004,,Biomasse-Heizkraftwerk-Herbrechtingen GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,48.628498,10.200853,,,,,,,,,,
1005608,BMHKW-RE Recklinghausen,Biomass,14,Recklinghausen,Sub-critical Thermal,2004,,Ã–kotech Ingenieurgesellschaft mbh,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.604008,7.250848,,,,,,,,,,
1006087,Biomass Generator #8,Biomass,14,Liebenscheid,Sub-critical Thermal,2006,,Biomasse HKW Siegerland GmbH & Co.KG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,50.70213,8.0732,,,,,,,,,,
1006117,UPM Schwedt,Biomass,13.3,Schwedt,Sub-critical Thermal,2009,,UPM GmbH Werk Schwedt,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,53.08672,14.31935,,,,,,,,,,
1005595,BioHKW I,Biomass,13.2,Ulm,Sub-critical Thermal,2003,"2 units (8.7, 4.5)",Fernwärme Ulm GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,48.39704,9.96484,,,,,,,,,,
1006089,Biomass Generator #10,Biomass,12.9,Saalburg-Ebersdorf,Sub-critical Thermal,2008,,Klausner Holz Thüringen GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,50.49776,11.65616,,,,,,,,,,
1005611,BMKW Flörsheim Wicker,Biomass,12.6,Flörsheim Wicker,Sub-critical Thermal,2003,,MVV Energie AG,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,50.022602,8.377209,,,,,,,,,,
1006108,Biomass Generator #20,Biomass,12.6,Elsterwerda,Sub-critical Thermal,2004,,Danpower GmbH,,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,operating,Germany,,51.46616,13.50464,,,,,,,,,,
