PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,
,,,15274.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019438,Monastiri I,Wind,6,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019439,Voskero,Wind,6,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019440,Kouloukonas,Wind,5,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026621,DIDIMOS LOFOS,Wind,26,Evros,Onshore Wind,2005,,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=4b05f806-1cbf-4aa4-b3e9-00a780fc0e5d&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,41.055665,25.98112,,,,,,,,,,,
1026622,TSOUKA TSOUGARI,Wind,12,Evia,Onshore Wind,2000,16,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.271291,24.236589,,,,,,,,,,,
1026623,KREKEZA MOUGOLIOS,Wind,12,Viotia,Onshore Wind,2011,6,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.158175,23.584312,,,,,,,,,,,
1026624,Chonos,Wind,4.5,Lasithi,Onshore Wind,2006,6,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,35.213168,26.226487,,,,,,,,,,,
1026625,DERVENI-MIKRO DERVENI-SLIVA,Wind,24,Evros / Region of East Macedonia and Thrace,Onshore Wind,2015,12,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=a79cea9c-acfe-4705-b1f7-21db0e40e9ff&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,37.479095,23.12761,,,,,,,,,,,
1026626,GOURI MELES,Wind,32.2,Mandra Idillia/ Attica Prefecture,Onshore Wind,2014,11,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=ca636671-633e-442f-a6f1-3ca8d8256446&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.211782,23.427796,,,,,,,,,,,
1026627,TSIKNA PRINIAS PROFITIS ILIAS PYRGARI,Wind,11.2,Evia,Onshore Wind,2001,17,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=3a45cd7b-b8c9-4893-bfc2-4d24069c1e4e&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.286335,24.238636,,,,,,,,,,,
1019392,Polyphyto,Hydro,124,Aliakmon Polyphyto,Earthfill dam with Reservoir,1974,,,413,,"Global Water System Project (for name, location, and age)",http://sedac.ciesin.columbia.edu/data/collection/grand-v25,"Large Dam Database in Greece (location, capacity, fuel, plant type)",http://users.itia.ntua.gr/nikos/dams/list%20of%20dams/LIST%20OF%20DAMS.htm,,,,,,,Operating,Greece,,40.30125,22.100417,,,,,Kozani,,,,4008,Point,4009
1026628,Chlyos,Wind,11.7,Evros,Onshore Wind,2014,5,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019398,Ilarionas,Hydro,154,,Dam with Reservoir,2011,,,,,"Global Water System Project (for name, location, and age)",http://sedac.ciesin.columbia.edu/data/collection/grand-v30,Hydro World,http://www.hydroworld.com/index/display/article-display/5776147171/articles/hrhrw/News/Greek_firm_orders_turbine-generators_for_154-MW_Ilarionas.html,,,,,,,Operating,Greece,,40.0966,21.8039,,,,,,,,,,,
