PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1020246,Paksi Atomerőmű,Nuclear,1886.8,,,,,,59546.865,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,46.57386,18.85356,,,,,,,,,,
1020247,Tiszai Erőmű,Natural Gas,864,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.91777,21.07838,,,,,,,,,,
1020248,Mátrai Erőmű,Lignite,851.6,,,,,,16557.264,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.78858,20.06602,,,,,,,,,,
1020249,Dunamenti Erőmű,Natural Gas,840.7,,,,,,2342.443,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,,,,,,,,,,,,
1020250,Gönyűi Erőmű,Natural Gas,426.6,,,,,,3850.476,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.7384,17.8033,,,,,,,,,,
1020251,Alpiq Csepel Erőmű,Natural Gas,401,,,,,,1912.482,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.428,19.0525,,,,,,,,,,
1020252,Oroszlányi Erőmű,Lignite,220,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.5017,18.2701,,,,,,,,,,
1020253,Kelenföldi Erőmű,Natural Gas,173,,,,,,820.506,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.4624,19.0563,,,,,,,,,,
1020254,Lőrinci Gázturbinás Erőmű,Oil,170,,,,,,13.042,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,47.71644,19.67779,,,,,,,,,,
1020255,MVM szabályozási központ,Natural Gas,128,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,,,,,,,,,,,,
1020256,Litéri Gázturbinás Erőmű,Oil,120,,,,,,0.001,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,,,,,,,,,,,,
1020257,Sajószögedi Gázturbinás Erőmű,Oil,120,,,,,,5.016,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Hungary,,,,,,,,,,,,,
