PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1019939,ASHOKNAGAR MILL,Biomass,17,Maharashtra,,,,Ashok Ssk ltd,,,Ashok Ssk ltd,ASHOK SSK LTD,,,,,,,,India,,19.586682,74.706067,,,,,recirculating,,,,,
1019922,KOLLEGAL SUGAR,Biomass,16,Karnataka,,,,Bannari Sugars ltd,,,Bannari Sugars ltd,BANNARI AMMAN SUGARS LTD,,,,,,,,India,,12.10561,76.76056,,,,,recirculating,,,,,
1019911,CORE GREEN SUGAR,Biomass,24,Karnataka,,,,Core Fuels ltd,,,Core Fuels ltd,CORE GREEN SUGAR & FUELS LTD,,,,,,,,India,,16.547136,77.082515,,,,,recirculating,,,,,
1019985,SHIROL MILL,Biomass,36,Maharashtra,,,,Datta Ssk ltd,,,Datta Ssk ltd,DATTA SSK LTD,,,,,,,,India,,16.749338,74.58537,,,,,recirculating,,,,,
1019950,DAUND SUGAR,Biomass,30,Maharashtra,,,,Daund Sugar ltd,,,Daund Sugar ltd,DAUND SUGAR LTD,,,,,,,,India,,18.427097,74.63385,,,,,recirculating,,,,,
1019914,DAVANGERE MILL,Biomass,24,Karnataka,,,,Davangere Co ltd,,,Davangere Co ltd,DAVANGERE SUGAR CO LTD,,,,,,,,India,,14.327699,75.880828,,,,,recirculating,,,,,
1019938,ARVINDNAGAR SUGAR,Biomass,10,Maharashtra,,,,Dr Ssk ltd,,,Dr Ssk ltd,DR BABASAHEB AMBEDKAR SSK LTD,,,,,,,,India,,18.084452,76.185138,,,,,recirculating,,,,,
1019954,PARBHANI GANGAKHED,Biomass,30,Maharashtra,,,,Gangakhed Energy ltd,,,Gangakhed Energy ltd,GANGAKHED SUGARS & ENERGY LTD,,,,,,,,India,,18.905653,76.728229,,,,,recirculating,,,,,
1019925,KUNDARGI MILL,Biomass,16.5,Karnataka,,,,Gem Sugars ltd,,,Gem Sugars ltd,GEM SUGARS LTD,,,,,,,,India,,16.265119,75.530243,,,,,recirculating,,,,,
1019920,KCSF SANGUR,Biomass,18,Karnataka,,,,Gm Energy ltd,,,Gm Energy ltd,GM SUGARS & ENERGY LTD,,,,,,,,India,,14.775317,75.313131,,,,,recirculating,,,,,
1019974,NAGPUR GMT,Biomass,10,Maharashtra,,,,Gmt Pvt ltd,,,Gmt Pvt ltd,GMT MINING & POWER PVT LTD,,,,,,,,India,,21.058185,79.484983,,,,,recirculating,,,,,
1019932,SAMEERWADI MILL,Biomass,24,Karnataka,,,,Godavari Mills ltd,,,Godavari Mills ltd,GODAVARI SUGAR MILLS LTD,,,,,,,,India,,16.391758,75.04106,,,,,recirculating,,,,,
1019903,JAISALMER GODAWARI,Biomass,50,Rajasthan,,,,Godawari Energy ltd,,,Godawari Energy ltd,GODAWARI GREEN ENERGY LTD,,,,,,,,India,,27.600954,72.22418,,,,,,,,,,
1019961,KOLHAPUR HEMARUS,Biomass,20,Maharashtra,,,,Hemarus Technologies ltd,,,Hemarus Technologies ltd,HEMARUS TECHNOLOGIES LTD,,,,,,,,India,,16.032741,74.458331,,,,,recirculating,,,,,
1019905,BAGALKOT ICP,Biomass,28,Karnataka,,,,Indian Power ltd,,,Indian Power ltd,INDIAN CANE POWER LTD,,,,,,,,India,,16.280441,75.225002,,,,,recirculating,,,,,
1019958,HAPURI MILL,Biomass,24,Maharashtra,,,,Jawahar Ssk ltd,,,Jawahar Ssk ltd,JAWAHAR SSK LTD,,,,,,,,India,,16.603779,74.404456,,,,,dry,,,,,
1019981,SANGLI KRANTI,Biomass,19.7,Maharashtra,,,,Kranti Ssk ltd,,,Kranti Ssk ltd,KRANTI SSK LTD,,,,,,,,India,,17.135394,74.427182,,,,,recirculating,,,,,
1019963,KOLHAPUR KUMBHI,Biomass,17.5,Maharashtra,,,,Kumbhi Ssk ltd,,,Kumbhi Ssk ltd,KUMBHI KASARI SSK LTD,,,,,,,,India,,16.688979,74.120148,,,,,dry,,,,,
