PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1002813,Aghada,Natural Gas,528.0,,,,"1x258, 3x90",ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef47,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002814,Aghada CCGT,Natural Gas,435.0,,CCGT,,,ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef96,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002815,Ardnacrusha,Hydro,86.0,,,,4x21.5,ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef43,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002818,Contour Global unit 1,Natural Gas,9.0,,,,3x3,Contour Global,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef105,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002820,Cushaling,Distillate,116.0,,,,2x58,Edenderry,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef101,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002821,Dublin Bay Power,Natural Gas,415.0,,,,,Synergen,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef92,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002822,Edenderry,Oil,117.6,,,,,Edenderry,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef40,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002823,Erne,Hydro,65.0,,,,"2x10, 2x22.5",ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef51,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002824,Great Island,Oil,216.0,,,,"1x54, 1x49, 1x113",Endesa,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef55,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002825,Huntstown,Natural Gas,343.0,,,,,Viridian,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef95,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002826,Huntstown Phase II,Natural Gas,404.0,,,,,Viridian,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef94,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002829,Lee,Hydro,27.0,,,,"15, 4, 8",ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef58,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002830,Liffey,Hydro,38.0,,,,"2x15, 2x4",ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef61,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
