PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1008371,Dorad,Natural Gas,840,,CCGT,2014,,Dorad Energy Limited,,,Dorad Energy Limited,https://www.dorad.co.il/about/,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008362,Rutenberg,Coal,"2,250",,Sub-critical thermal,1991-2001,,Israel Electric corporation,"16,444",,Israel Electric Corporation,https://www.iec.co.il/en/ir/documents/stat2010.pdf,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008358,Haifa,Natural Gas,282,,CCGT,1961,,Israel Electric corporation,1391,Converted from oil fired in 2013,Israel Electric Corporation,https://www.iec.co.il/international/main.html#!/contents/67,,,,,,,Operating,Israel,Israeli National Grid,,,Fuel Oil,,,,,,,
1008359,Reading,Natural Gas,428,,CCGT,1970,,Israel Electric corporation,1999,Converted from oil-fired in 2013,Israel Electric Corporation,https://www.iec.co.il/en/ir/documents/stat2010.pdf,,,,,,,Operating,Israel,Israeli National Grid,,,Fuel Oil,,,,,,,
1008360,Eshkol,Natural Gas,"1,432",,CCGT,1977-2004,,Israel Electric corporation,4997,Converted from oil fired in 2013,Israel Electric Corporation,https://www.iec.co.il/en/ir/documents/stat2010.pdf,,,,,,,Operating,Israel,Israeli National Grid,31.838773,34.655148,Fuel Oil,,,,,,,
1008363,Alon Tavor,Natural Gas,365,,CCGT,2003-2008,"373, 240",Israel Electric corporation,,,Israel Electric Corporation,https://www.iec.co.il/international/main.html#!/contents/67,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008364,Ramat Hovav,Natural Gas,"1,067",,CCGT,1999-2010,"335, 4x118, 260",Israel Electric corporation,,,Israel Electric Corporation,https://web.archive.org/web/20131204104927/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Tzafit&ibpZone=Tzafit&,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008365,Tzafit,Natural Gas,355,,CCGT,1999-2006,"235, 120",Israel Electric corporation,,,Israel Electric Corporation,https://web.archive.org/web/20131204104927/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Tzafit&ibpZone=Tzafit&,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008366,Gezer,Natural Gas,744,,CCGT,2007,2 units,Israel Electric corporation,,,Israel Electric Corporation,https://web.archive.org/web/20131204103746/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Gezer&ibpZone=Gezer&,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008368,Haifa (CCGT),Natural Gas,720,,CCGT,2010,,Israel Electric corporation,,,Israel Electric Corporation,https://www.iec.co.il/international/main.html#!/contents/67,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008370,Hagit,Natural Gas,"1,255",,CCGT,1994-2010,"2(330), 339, 256",Israel Electric corporation,,,Israel Electric Corporation,https://web.archive.org/web/20131204103107/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Hagit&ibpZone=Hagit&,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008373,Eliat,Natural Gas,35,,OCGT,1996,1 units,Israel Electric corporation,,,Israel Electric Corporation,https://web.archive.org/web/20131204111256/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=GasTurbines&ibpZone=GasTurbines&,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1008374,Atarot,Natural Gas,70,,OCGT,1997,2 units,Israel Electric corporation,,,Israel Electric Corporation,https://web.archive.org/web/20131204111256/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=GasTurbines&ibpZone=GasTurbines&,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
1026453,Bror Hayil Solar Power Plant,Solar,8.7,,PV,2013,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,31.5557,34.65448,,,,,,,,
1026454,Caesarea - Best Carton Solar Power Plant,Solar,1.5,,PV,2013,,Energix Renewable Energies Limited,,,Energix,http://www.energix-group.com/Best-Carton/,,,,,,,Operating,Israel,,32.4723,34.94534,,,,,,,,
1026455,Ein Evrona Solar Power Plant,Solar,6,,PV,,,Solaer,,,Solaer,https://www.google.com/maps/d/embed?mid=1bXiXRcLRnBCUfpkHM2J5EVryhG4&ll=31.06035315253383%2C35.02284616406246&z=8,,,,,,,Operating,Israel,,29.624,34.98209,,,,,,,,
1026456,Gevulot Solar Power Plant,Solar,8.5,,PV,2014,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,31.205,34.46161,,,,,,,,
1026457,Neot Semadar Solar Power Plant,Solar,7.9,,PV,2014,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,30.0492,35.047,,,,,,,,
1026458,Ramat Hovav Solar Power Plant,Solar,37.5,,PV,2014,,Energix Renewable Energies Limited,,,Energix,http://www.energix-group.com/Energix-Neot-Hovav/,,,,,,,Operating,Israel,,31.145,34.75533,,,,,,,,
1026459,Talmei Bilu Solar Power Plant,Solar,10,,PV,2013,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,31.4262,34.64014,,,,,,,,
1026460,Talmei Elihayu Solar Power Plant,Solar,10,,PV,2013,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,31.2152,34.45311,,,,,,,,
1026461,Talmei Yosef Solar Power Plant,Solar,9,,PV,2014,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,31.1922,34.36819,,,,,,,,
1026462,Lahav,Solar,3.2,,PV,2014,,Belectric GmbH,,,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,Operating,Israel,,,,,,,,,,,
1026463,Meitarim,Solar,5,,PV,2015,,Energix Renewable Energies Limited,,,Energix,http://www.energix-group.com/Meitarim/,,,,,,,Operating,Israel,,31.3663,35.00463,,,,,,,,
,,,12540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008361,Orot Rabin,Coal,"2,590",,Sub-critical thermal,1984-1996,,Israel Electric corporation,"18,945",,Israel Electric Corporation,https://www.iec.co.il/en/ir/documents/stat2010.pdf,,,,,,,Operating,Israel,Israeli National Grid,,,,,,,,,,
