PowerWatch ID,Name,Fuel,Capacity (MW),Location,Generator Technology,Comissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Operational Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1023917,Old Harbour,Heavy Fuel Oil,223,Old Harbour Bay,Sub-critical Thermal,1968-1973,,Jamaica Public Service Company,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,17.9006,-77.1071,,,,,,,,,,,2016
1023917,Old Harbour,Heavy Fuel Oil,124.5,Old Harbour Bay,Sub-critical Thermal,1995-2006,,Jamaica Energy Partners,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,17.9006,-77.1071,,,,,,,,,,,2016
1023918,Hunts Bay,Diesel,122.5,78 Marcus Garvey Drive,Diesel Generator,1992,,Jamaica Public Service Company,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,17.975,-76.8176,,,,,,,,,,,2016
1023919,Bogue,Natural Gas,120,"Bogue Industrial Estate, Montego Bay",CCGT,1972-1991,3,Jamaica Public Service Company,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,18.4524,-77.9183,,,,,,,,,,,2016
1023920,West Kingston,Diesel,65,,Diesel Generator,2013,,Jamaica Energy Partners,,,Jamaica Energy Partners,http://www.jamenergy.com/index.php/projects/kingston,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,17.9731,-76.8057,,,,,,,,,,,2016
1023921,Rockfort,Diesel,64,102 Windward Road,Diesel Generator,1997,,Jamaica Private Power Company,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,17.9701,-76.7519,,,,,,,,,,,2016
1023922,Manchester,Wind,38.7,"Wigton, Manchester",Onshore Wind,2004-2011,23x.9,Wigton Wind Farm Ltd.,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,17.9193,-77.5343,,,,,,,,,,,2016
1023923,Clarendon,Heavy Fuel Oil,11,,Sub-critical Thermal,1972,,Jamaico,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,,,,,,,,,,,,,2016
1023924,Maggotty Hydro,Hydro,6.4,Maggotty District,Run of River,1959,,Jamaica Public Service Company,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,18.1598,-77.7609,,,,,,,,,,,2016
1023925,Lower White River,Hydro,4.8,Exchange District,Run of River,1952,,Jamaica Public Service Company,,,Jamaica Public Service Company,https://www.jpsco.com/about-jps/how-we-serve-you/,World Watch Institute,http://www.worldwatch.org/system/files/Jamaica-Sustainable-Energy-Roadmap-InclAppendices-112013.pdf,,,,,,,Operating,Jamaica,Jamaica National Grid,18.4122,-77.0696,,,,,,,,,,,2016
