PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1020064,Shinchi,Bituminous Coal,2000,Shinchi-machi,Super-critical,1994-1995,,SOMA KYODO POWER CO,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,Operating,Japan,,37.8427,140.9456,OIL,,,,,,,,,
1020077,Sakata Kyodo,Bituminous Coal,700,Sakata-shi,Sub-Critical Thermal,1977,,SAKATA KYODO ELECTRIC POWER CO,,,Tohuku,http://www.tohoku-epco.co.jp/ir/report/annual_report/pdf/ar2015.pdf,,,,,,,Operating,Japan,,38.9686,139.8322,OIL,,,,Once Through,Sea of Japan,,,,
1020076,Wakayama,Blast Furnace Gas,147,Wakayama-shi,CCGT,2011,,WAKAYAMA KYODO POWER CO INC,,,Wakayama Kyodo Power Company,,,,,,,,Operating,Japan,,34.239748,135.128003,COG/OIL,,,,,,,,,
1020067,Kimitsu,Blast Furnace Gas,300,Kimitsu City,CCGT,1970-2012,,KIMITSU COOP THERMAL POWER,,,Hitachi,https://www.mhps.com/en/company/network/work/takasago/history.html,,,,,,,Operating,Japan,,35.36186983,139.8651195,COG/OIL,,,,,,,,,
1020075,Chiba Kawatetsu,Blast Furnace Gas,400,Chiba-shi,,2002,,JFE Steel Corporation East Japan Works,,,JFE Steel Corporation East Japan Works,http://www.jfe-steel.co.jp/products/energy/index.html,,,,,,,Operating,Japan,,35.571293,140.087851,NONE,,,,,,,,,
1020074,Mizushima MKK,Blast Furnace Gas,613.75,Kurashiki-shi,,1970,,SETOUCHI JOINT THERMAL POWER,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,Operating,Japan,,,,OIL,,,,,,,,,
1020072,Oita Thermal Power Plant,Blast Furnace Gas,657,Oita-shi,,1971-2015,,OITA CO-OPERATIVE THERMAL POWE,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,Operating,Japan,,,,COG/OIL,,,,,,,,,
1020068,Kashima Kyodo,Blast Furnace Gas,1000,Kashima-shi Kashima-gun,,1973,"2x350, 1x300",KASHIMA KYODO ELEC POWER CO,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,Operating,Japan,,35.94144,140.688792,COG/OIL,,,,,,,,,
1000637,Hekinan,Coal,"4,100",,,,,Chubu,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,Natural Gas,,,,,,,,,
1000669,Tachibanawan,Coal,"2,100",,,,,EPDC,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000618,Haramachi,Coal,"2,000",,,,,Tohoku,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000670,Matsuura,Coal,"2,000",,,,,EPDC,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000652,Maizuru,Coal,"1,800",,,,,Kansai,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1020046,Nakoso,Coal,1700,,Sub-critical Thermal,,"2x250, 2x600",Joban Joint Power Company,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000616,Tomato-atsuma,Coal,"1,650",,,,,Hokkaido,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000666,Reihoku,Coal,"1,400",,,,,Kyushu,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1020065,Shinko Kobe,Coal,1400,Kobe-shi,Super-critical,2002,,KOBELCO POWER KOBE INC,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,Operating,Japan,,34.7032,135.24,,,,,,,,,,
1000671,Takehara,Coal,"1,300",,,,,EPDC,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000620,Noshiro,Coal,"1,200",,,,,Tohoku,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000646,Nanaoota,Coal,"1,200",,,,,Hokuriku,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,37.0664,137.004,,,,,,,,,,
1000647,Tsuruga,Coal,"1,200",,,,,Hokuriku,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000672,Isago Shin,Coal,"1,200",,,,,EPDC,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000635,Hitachinaka,Coal,"1,000",,,,,Tokyo,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000660,Misumi,Coal,"1,000",,,,,Chugoku,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000661,Shin Onoda,Coal,"1,000",,,,,Chugoku,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1000673,Matsushima,Coal,"1,000",,,,,EPDC,,,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,,,,,,,,Japan,,,,,,,,,,,,,
1020089,Hirohata,Coal,380,Himeji City,,1999,,NIPPON STEEL & SUMITOMO METAL,,,NIPPON STEEL & SUMITOMO METAL,http://www.midrex.com/assets/user/media/DFM2007SPDecember.pdf,,,,,,,Operating,Japan,,34.785394,134.6214,,,,,,,,,,
1020078,Oita IPP,Coal,300,,,2002,,NS ENERGY,,,NIPPON STEEL & SUMITOMO METAL,http://www.nssmc.com/en/ir/library/pdf/nscguide2012_e_81.pdf,,,,,,,Operating,Japan,,,,BFG,,,,,,,,,
1020087,Yawata,Coal,137,Kitakyushu City,Sub-Critical Thermal,1999,,NS ENERGY,,,NIPPON STEEL & SUMITOMO METAL,http://www.nssmc.com/en/ir/library/pdf/nscguide2012_e_81.pdf,,,,,,,Operating,Japan,,33.876924,130.795229,,,,,Once Through,Hibiki-nada Sea,,,,
1020088,Kamaishi,Coal,136,Kamaishi City,,2000,,NIPPON STEEL & SUMITOMO METAL,,,NIPPON STEEL & SUMITOMO METAL,http://www.nssmc.com/en/ir/library/pdf/nscguide2012_e_81.pdf,,,,,,,Operating,Japan,,,,,,,,,,,,,
1020154,Muroran,Coal,100,Muroran City,PV,2001,1053,NIPPON STEEL & SUMITOMO METAL,,,NIPPON STEEL & SUMITOMO METAL,http://www.nssmc.com/en/ir/library/pdf/nscguide2012_e_81.pdf,,,,,,,Operating,Japan,,,,,,,,,,,,,
1020035,Tachibana-wan,Coal,700,,Sub-critical Thermal,,,Shikoku,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020037,Matsuura,Coal,700,,Sub-critical Thermal,,,Kyushu,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020032,Toyama Shinminato,Coal,500,,Sub-critical Thermal,,2x250,Chugoku,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020041,Takasago,Coal,500,,Sub-critical Thermal,,2x250,J-Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020049,Sumitomo Metals Kashima Thermal,Coal,475,,Sub-critical Thermal,,,Nippon Steel &Sumitomo Metal,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020039,Kin,Coal,440,,Sub-critical Thermal,,2x220,Okinawa,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020036,Saijo,Coal,406,,Sub-critical Thermal,,"1x156, 1x250",Shikoku,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020038,Karita,Coal,360,,Sub-critical Thermal,,,Kyushu,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
