PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1023213,Sogrinsk,Coal,75,,,1961,,AES Sogrinsk CHP,,,AES Group,http://aes-group.kz/eng/about/business/7736/,,,,,,,Operating,Kazakhstan,,50.029214,82.76994,,,,,,,,
1023214,Ust-Kamenogorsk CHP,Coal,252.5,,,,,Aes,,,AES Group,http://aes-group.kz/eng/about/business/7737/,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023215,Astana 2,Coal,360,,,,,Astana Energo Service OAO,,,Astana Energo Service OAO,http://www.aes.kz/node/2102,,,,,,,Operating,Kazakhstan,,51.189235,71.509907,,,,,,,,
1023216,Atyrau,Natural Gas,300,,,1963,,Atryau Heat and Power Station JSC,,,Atryau Heat and Power Station JSC,http://www.ahps.kz/en/about-the-company/,,,,,,,Operating,Kazakhstan,,47.081773,51.942246,,,,,,,,
1000293,Pavlodar TPP-1,Coal,350,,CHP,1959,,Aluminum of Kazakhstan,,2,Central Asian Electric Power Corporation,http://caepco.kz/assets/files/go_caepco_2015_en.pdf,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000288,Aksu Power Plant,Coal,"2,450",Pavlodar,Sub-Critical Thermal,1968-2013,6,Eurasian Energy Corporation,,4,Kazakhmys,http://kazakhmys.kz/en/map/,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000291,Karaganda GRES-2,Coal,608,Karaganda,Sub-Critical Thermal,1996,,IPC,,5,Kazakhmys,http://kazakhmys.kz/en/map/,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000299,Karaganda TETS 1,Coal,475,,,2002,,IPC,,,Kazakhmys,http://kazakhmys.kz/en/map/,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023217,Zhezkagan CHPS,Coal,227,,,,,,,,Kazakhmys,http://kazakhmys.kz/en/map/,,,,,,,Operating,Kazakhstan,,47.785326,67.744437,,,,,,,,
1023572,Burnoy Solar,Solar,50,,,2015,,,,,Ministry of Energy of the Republic of Kazakhstan,http://en.energo.gov.kz/index.php?id=4619,,,,,,,Operating,Kazakhstan,,42.711158,70.820296,,,,,,,,
1000290,MAEK-Kazatoprom TPP-2,Coal,630,,,,,,,7,Invest KZ,http://www.investkz.com/en/journals/42/12.html,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000290,MAEK-Kazatoprom TPP-3,Coal,625,,,,,,,,Invest KZ,http://www.investkz.com/en/journals/42/12.html,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000293,Pavlodar TPP-3,Coal,505,,CHP,,,Pavlodenergo,,,Central Asian Electric Power Corporation,http://caepco.kz/assets/files/go_caepco_2015_en.pdf,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000294,Petropavlovsk TPP-2,Coal,455,,,,,,,,Central Asian Electric Power Corporation,http://caepco.kz/assets/files/go_caepco_2015_en.pdf,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023218,Kumkol,Natural Gas,100,,,2004,,PetroKazakhstan,,,PetroKazakhstan,http://www.petrokazakhstan.kz/eng/pages/extractive_subdivision.html,,,,,,,Operating,Kazakhstan,,46.42586,68.70068,,,,,,,,
1023219,Ridder,Coal,59,,,1956,,,,,Ridder Tets AO,https://www.emis.com/Ridder_Tets_AO__Риддер_Тэц_АО__en_2608599.html,,,,,,,Operating,Kazakhstan,,50.354659,83.488417,,,,,,,,
1000286,LLP Ekibastuz GRES-1,Coal,"4,000",,Sub-Critical Thermal,1974,8,Group Kasakhmys,,3,Samruk Energy,http://www.samruk-energy.kz/en/group/llp-ekibastuz-sdps-1,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000287,JSC Ekibastuz GRES-2,Coal,"1,600",Lake Shandaksor,,1990-2013,3,Inter RAO UES,,6,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-ekibastuz-sdps-2,,,,,,,Operating,Kazakhstan,,,,,,,,Once-Through,Lake Shandaksor,,
1000292,Almaty TPP-2,Coal,510,,,,,,,,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-almaty-power-plants,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000295,Shulbinskaya HPP,Hydro,720,,,1987,6,AES,,1,AES Group,http://aes-group.kz/eng/about/business/7735/,,,,,,,Operating,Kazakhstan,,50.399,81.069,,,,,,,,
1000296,JSC Bukhtarminskaya,Hydro,675,,,,,,,,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-bukhtirma-hpp,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1000298,Ust-Kamenogorsk HPP,Hydro,331,,,1952,4,AES,,,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-ust-kamenogorsk-hpp,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023210,Aktobe,Natural Gas,88,,,,,,,,Samruk Energy,http://www.samruk-energy.kz/en/se/jsc-aktobe-chp,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023211,Shardara,Hydro,100,Syrdarya River,Run of the River,1967,4,,377,,Samruk Energy,http://www.samruk-energy.kz/en/group/shardarinsk-hpp,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023212,Moynak,Hydro,300,,,2012,,,1027,,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-moynak-hpp,,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023220,Almaty CHP-3,Coal,173,,Sub-critical Thermal,,,Samruk Energy,,,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-almaty-power-plants,,,,,,,Operating,Kazakhstan,,43.421,77.0073,,,,,,,,
1023221,Almaty CHP-1,Coal,145,,Sub-critical Thermal,,,Samruk Energy,,,Samruk Energy,http://www.samruk-energy.kz/en/group/jsc-almaty-power-plants,,,,,,,Operating,Kazakhstan,,43.28089,76.931,,,,,,,,
1000297,Kapchagan,Hydro,364,,,,,,,,World Energy Organization,https://www.worldenergy.org/data/resources/country/kazakhstan/hydropower/,,,,,,,Operating,Kazakhstan,,43.9226,77.09776,,,,,,,,
1000289,OJSC Zhambyl GRES,Coal,"1,230","Taraz City, 080005",Sub-Critical Thermal,1967-1976,6,JSC Samruk Energy,,,Samruk Energy,"http://www.theasset.com/storage/File/2011/Kaz/Presentation%20by%20Samruk%20Energy,%20Saltanat%20Shunayeva,%20managing%20director.pdf",,,,,,,Operating,Kazakhstan,,,,,,,,,,,
1023222,Pavlodar CHP-2,Coal,100,,,,,Central Asian Electric Provider,,CHP,Central Asian Electric Power Corporation,http://caepco.kz/assets/files/go_caepco_2015_en.pdf,,,,,,,,,,,,,,,,,,,
