PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000039,Gitaru,Hydro,225,Tana River,Dam on river with reservoir,1978,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000040,Kamburu,Hydro,94.2,Tana River,Dam on river with reservoir,1974,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000041,Kiambere,Hydro,168,Tana River,Dam on river with reservoir,1987,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000042,Kindaruma,Hydro,64,Tana River,Dam on river with reservoir,1968,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000043,Masinga,Hydro,40,Tana River,Dam on river with reservoir,1980,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000044,Sang'oro,Hydro,21,Sondu River,Dam on river with reservoir,2012,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000045,Sondi Miru,Hydro,60,Sondu River,Dam on river with reservoir,2008,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000046,Tana,Hydro,20,Tana River,Dam on river with reservoir,2011,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000047,Turkwel,Hydro,106,Suam River,Dam on river with reservoir,1990,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000048,Olkaria I,Geothermal,45,Hell's Gate National Park,Flash,1981-1985,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000048,Olkaria II,Geothermal,150,Hell's Gate National Park,Flash,2000-2010,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000048,Olkaria III,Geothermal,140,Hell's Gate National Park,Flash,2003-2016,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000049,Nairobi South Gas Turbine,Natural Gas,354,Nairobi,OCGT,,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000050,Kipevu I,Diesel,74,,OCGT,2011,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000051,Kipevu II,Diesel,74.5,3 kms south of Changamwe,Diesel Engine,2001,,Kenya Electric Generating Company,,,Wartsila,http://www.wartsila.com/resources/customer-references/view/kipevu-ii-iii-kenya,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000052,Kipevu III,Heavy Fuel Oil,120,,Diesel Engine,1999,,Kenya Electric Generating Company,,,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000053,Ngong,Wind,25,,Onshore Wind,,,Kenya Electric Generating Company,,,Coast Week,http://www.coastweek.com/3730-latest-news-Kenya-Electricity-Generating-Company-adds-20MW-to-ngong-wind-farm.htm,,,,,,,Operating,Kenya,South African Grid,,,,,,,,,,
1000054,Lake Turkana,Wind,310,2018,Onshore Wind,,375x.85,Lake Turkana Wind Power Ltd.,,,Lake Turkana Wind Power,http://ltwp.co.ke/,,,,,,,Under Construction,Kenya,South African Grid,2.644679,36.737762,,,,,,,,
1023223,Embakasi,Diesel,60,,Diesel Engine,2006,,Kenya Electric Generating Company,,,Kenya Electric Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,,,,,,,,,,,,,,,,,,,
