PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Latitude,Longitude,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1008691,Shuwaikh,Natural Gas,252,,OCGT,2007,6 x 42,29.3499,47.93927,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Oil,,,,Once Through,Persian Gulf,,,,
1008688,Shuiba North,Natural Gas,875,,CCGT,2009-2010,"3 x 220, 1 x 215.5",29.0352,48.1527,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008687,Shuiba SPSS,Natural Gas,720,,Sub-critical Thermal,1970-1974,6 x 120,29.032,48.155,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008689,Doha East,Natural Gas,1050,,Sub-critical Thermal,1977-1979,7 x 150,29.3672,47.79635,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008689,Doha East,Natural Gas,108,,OCGT,1971,6 x 18,29.3672,47.79635,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008690,Doha West,Natural Gas,"2,400",,Sub-critical Thermal,1983-1984,8 x 300,29.3676,47.78359,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008690,Doha West,Natural Gas,143,,OCGT,2008,5 x 28.2,29.3676,47.78359,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008685,Az Zour South Thermal,Oil,2400,,Sub-critical Thermal,1987-1989,,28.7103,48.37426,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008685,Az Zour South OCGT,,110,,OCGT,1987-1988,4 x 27.75,28.7103,48.37426,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008685,Az Zour South CCGT,,1600,,CCGT,2004-2008,"2 x 280, 8 x 130",28.7103,48.37426,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008685,Az Zour South OCGT,,825,,OCGT,2008,5 x 165,28.7103,48.37426,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008685,Az Zour South CCGT II,,870,,CCGT,2013-2015,"2 x 185, 2 x 250",28.7103,48.37426,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1023728,Az Zour North,,1100,,CCGT,,,28.7169,48.36778,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008692,Sabiya,Oil,2400,,Sub-critical Thermal,1998-200,8 x 300,29.5704,48.16839,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008692,Sabiya SBPS,Natural Gas,250,,OCGT,2009,6 x 41.7,29.5704,48.16839,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008692,Sabiya SBS,Natural Gas,250,,OCGT,2007,4 x 62.5,29.5704,48.16839,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008692,Sabiya OCGT,Natural Gas,1320,,OCGT,2011,6 x 220,29.5704,48.16839,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008692,Sabiya GT,Natural Gas,500,,OCGT,2015,2x 250,29.5704,48.16839,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
1008692,Sabiya OCGT II,Natural Gas,646.5,,OCGT,2012,3x215.5,29.5704,48.16839,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,,,,,Once Through,Persian Gulf,,,,
