PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1001049,Houay Ho,Hydro,157,Attapeu Province,Dam with reservoir,1999,,Suez Energy,450,,Department of Energy Business,http://www.poweringprogress.org/index.php?option=com_content&view=article&id=109:houay-ho-150mw--21-mw&catid=128:operational-projects&Itemid=73,,,,,50%,,Operating,Laos,,18.2606,104.5625,,,,,,,,
1001053,Nam Theun 2,Hydro,"1,070",Khammoun Province,Dam with reservoir,2010,,EDF,"6,000",,Department of Energy Business,http://www.poweringprogress.org/index.php?option=com_content&view=article&id=104:nam-theun-2-1070mw&catid=128:operational-projects&Itemid=73,,,,,85%,,Operating,Laos,,18.4375,102.947,,,,,,,,
1001057,Theun Hinboun,Hydro,280,Bolikhamzay Province,Dam with reservoir,2012,,Electricite de Laos (EDL),"3,003",,Department of Energy Business,http://www.thpclaos.com/index.php?lang=en,,,,,,,Operating,Laos,,18.20981,104.5389,,,,,,,,
1001059,Nam Ngum 2,Hydro,615,,Dam with Reservoir,2011,,,"2,300",,Department of Energy Business,http://www.poweringprogress.org/index.php?view=article&catid=129%3Aproject-under-construction&id=271%3Anam-ngum-2-615mw&option=com_content&Itemid=74,,,,,,,Operating,Laos,,18.9213,102.7404,,,,,,,,
1001059,Nam Ngum 5,Hydro,120,,Dam with Reservoir,2012,,SinHydro,507,,Department of Energy Business,http://www.poweringprogress.org/index.php?option=com_content&view=article&id=106:nam-ngum-5-120mw&catid=128:operational-projects&Itemid=73,,,,,,,Operating,Laos,,19.339419,102.610715,,,,,,,,
1001050,Nam Leuk,Hydro,60,Nam Ngum,Dam with reservoir,2000,2x30,Electricite de Laos (EDL),,134 resettled due to project,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=31,,,,,48%,,Operating,Laos,,18.31486,102.32505,,,,,,,,
1001051,Nam Ngum 1,Hydro,155,,Dam with reservoir,1990,,Electricite de Laos (EDL),"1,025",,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=30,,,http://www.edlgen.com.la/en/page.php?post_id=34,,,,Operating,Laos,,15.491874,106.278808,,,,,,,,
1001052,Nam Song,Hydro,45,,Run-of-river,1991,"3x13, 2x3",Electricite de Laos (EDL),,,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=36#,,,,,,,Operating,Laos,,,,,,,,,,,
1001054,Namkhan 2,Hydro,40,,Run-of-River,1992,,Electricite de Laos (EDL),139,,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=32,,,,,,,Operating,Laos,,,,,,,,,,,
1001055,Nan Mang 3,Hydro,40,Vientiane Province,Dam with reservoir,2011,1,Electricite de Laos (EDL),13,,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=32,,,,,43.25%,,Operating,Laos,,18.299723,102.403342,,,,,,,,
1001056,Selabam,Hydro,5,,Run-of-River,1970,,Electricite de Laos (EDL),25,,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=35,,,,,57%,,Operating,Laos,,,,,,,,,,,
1001058,Xeset 1,Hydro,45,,Run-of-River,1990,,,180,,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=33,,,,,,,Operating,Laos,,15.5034,106.2764,,,,,,,,
1001058,Xeset 2,Hydro,76,,Run-of-River,1991,2x38,Suez de Energia,309,,EDL- Generation Public Company,http://www.edlgen.com.la/page.php?lang=en&post_id=34,,,,,46.49%,,Operating,Laos,,,,,,,,,,,
1022391,Hongsa,Lignite,"1,878",Xaignabouri,Sub-critical Thermal,2016,,Hongsa Power Company Limited,,,Lao Energy,http://www.laoenergy.la/pageMenu.php?id_menu=47,,,,,,,Operating,Laos,,19.6912838,101.2782168,,,,,,,,
1026796,Nam Lik 1-2,Hydro,100,,Dam with reservoir,2010,,Nam Lik 1-2 Power Company Limited,,,CDM,https://cdm.unfccc.int/Projects/DB/Germanischer1335441117.9/view,,,,,,,Operating,Laos,,18.79421,102.1162,,,,,,,,
1026797,Nam Long,Hydro,5,,Dam with reservoir,,,Electricite de Laos (EDL),,,CDM,https://cdm.unfccc.int/Projects/DB/JACO1404873850.35/view,,,,,,,Operating,Laos,,20.923923,100.897904,,,,,,,,
1026798,Nam Nga,Hydro,14.5,,Run-of-River,,,Electricite de Laos (EDL),62.59,,CDM,https://cdm.unfccc.int/Projects/DB/CEC1356084291.13/view,,,,,,,Operating,Laos,,20.182778,101.933824,,,,,,,,
1026799,Nam Ngiep 3A,Hydro,44,,Dam with reservoir,,,Phongsubthavy Road and Bridge Construction Company Ltd.,,,CDM,https://cdm.unfccc.int/Projects/DB/JACO1391045293.61/view,,,,,,,Operating,Laos,,19.28849,103.341684,,,,,,,,
1026800,Nam Pha Gnai,Hydro,19.2,,Run-of-River,,,Nam Pha Gnai Hydropower Company Ltd.,,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1451527911.4/view,,,,,,,Operating,Laos,,19.013298,102.873255,,,,,,,,
1026801,Nam Samoy,Hydro,5,,Run-of-River,,,"Nam Samoy Hydropower Co., Ltd.",28,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1437628107.49/view,,,,,,,Operating,Laos,,19.295388,102.344052,,,,,,,,
1026802,Nam Sana,Hydro,14,,Dam On River,,,Electricite de Laos (EDL),,,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1419890397.72/view,,,,,,,Operating,Laos,,19.204662,102.310886,,,,,,,,
1026803,Nam Sim,Hydro,9.36,,Dam on River,,,Electricite de Laos (EDL),,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1358418951.2/view,,,,,,,Operating,Laos,,20.345696,104.381314,,,,,,,,
1026804,Xe Namnoy 2 - Xe Katam !,Hydro,15,,,,,"SV Group Co., Ltd.",83,,CDM,https://cdm.unfccc.int/Projects/DB/JACO1395210120.64/view,,,,,,,Operating,Laos,,15.1217,106.6067,,,,,,,,
1026805,Xekaman 3,Hydro,250,,Dam with Reservoir,2012,,Xekaman  3 Power Company Limited,977.5,,CDM,https://cdm.unfccc.int/Projects/DB/SQS1324398658.36/view,,,,,,,Operating,Laos,,15.375547,107.406355,,,,,,,,
1026806,Xenamnoy 1,Hydro,14.8,,,,,Phongsubthavy Road and Bridge Construction Company Ltd.,85,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1427857785.1/view,,,,,,,Operating,Laos,,15.149966,106.710318,,,,,,,,
