PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023661,Deir Ammar,Natural Gas,470,North Lebanon,CCGT,1998,"2x150, 1x170",,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,34.46503676,35.894179,Diesel,,,,Once Through,Sea Water,,,,
1023662,Zahrani,Natural Gas,470,,CCGT,1998,"2x150, 1x170",,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.4960898,35.33797,Diesel,,,,Once Through,Sea Water,,,,
1023663,Zouk 1,Residual Oil,153.6,,Sub-critical Thermal,1984,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.969,35.604,,,,,Once Through,Sea Water,,,,
1023663,Zouk 2,Residual Oil,153.6,,Sub-critical Thermal,1985,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.969,35.604,,,,,Once Through,Sea Water,,,,
1023663,Zouk 3,Residual Oil,153.6,,Sub-critical Thermal,1986,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.969,35.604,,,,,Once Through,Sea Water,,,,
1023663,Zouk 4,Residual Oil,182,,Sub-critical Thermal,1987,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.969,35.604,,,,,Once Through,Sea Water,,,,
1023664,Jieh 1,Residual Oil,65,,Sub-critical Thermal,1971,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.647475,35.399601,,,,,Once Through,Sea Water,,,,
1023664,Jieh 2,Residual Oil,65,,Sub-critical Thermal,1971,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.647475,35.399601,,,,,Once Through,Sea Water,,,,
1023664,Jieh 3,Residual Oil,72.5,,Sub-critical Thermal,1980,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.647475,35.399601,,,,,Once Through,Sea Water,,,,
1023664,Jieh 4,Residual Oil,72.5,,Sub-critical Thermal,1981,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjK2LCH27rQAhWi4IMKHaveBssQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=4btV4UcwDLWqm3YlUx2keg&bvm=bv.139250283,d.eWE",,,,,,,Operating,Lebanon,,33.647475,35.399601,,,,,Once Through,Sea Water,,,,
