PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023828,West Tripoli,Heavy Fuel Oil,65,,,1976,,General Electricity Company of Libya,,,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.8251,12.9739,,,,,,,,محطة غرب طرابلس,,
1023828,West Tripoli,Heavy Fuel Oil,120,,,1980,,General Electricity Company of Libya,,,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.8251,12.9739,,,,,,,,محطة غرب طرابلس,,
1023829,Derna Steam Station,Heavy Fuel Oil,65,,Sub-critical Thermal,1985,,General Electricity Company of Libya,,,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.781,22.5874,,,Derna,,Once Through Cooling,Mediterranean Sea,,محطة درنة البخارية,,
1023824,South Tripoli,Natural Gas,100,,,1994,,General Electricity Company of Libya,,,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.776,13.0983,Light Fuel Oil,,Tripoli,,Dry Cooling,,,محطة جنوب طرابلس,,
1023824,South Tripoli,Natural Gas,47,,,2016,,General Electricity Company of Libya,,,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.776,13.0983,Light Fuel Oil,,Tripoli,,Dry Cooling,,,محطة جنوب طرابلس,,
1023832,Al Khums,Natural Gas,130,,,1995,,General Electricity Company of Libya,,Temporarily decommissioned due to rebel activity. Came back online July 2016,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.6204,14.33119,Light Fuel Oil,,,,Once Through Cooling,Mediterranean Sea,,محطة آل الخمس الطاقة,,
1023832,Al Khums,Natural Gas,130,,,1995,,General Electricity Company of Libya,,Temporarily decommissioned due to rebel activity. Came back online July 2016,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.6204,14.33119,Light Fuel Oil,,,,Once Through Cooling,Mediterranean Sea,,محطة آل الخمس الطاقة,,
1023832,Al Khums,Natural Gas,130,,,1995,,General Electricity Company of Libya,,Temporarily decommissioned due to rebel activity. Came back online July 2016,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.6204,14.33119,Light Fuel Oil,,,,Once Through Cooling,Mediterranean Sea,,محطة آل الخمس الطاقة,,
1023832,Al Khums,Natural Gas,130,,,1995,,General Electricity Company of Libya,,Temporarily decommissioned due to rebel activity. Came back online July 2016,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.6204,14.33119,Light Fuel Oil,,,,Once Through Cooling,Mediterranean Sea,,محطة آل الخمس الطاقة,,
1023832,Al Khums,Light Fuel Oil,120,,,1982,,General Electricity Company of Libya,,Temporarily decommissioned due to rebel activity. Came back online July 2016,Arab Union of Electricity,http://www.auptde.org/PublicationsFile.aspx?lang=en&CID=855,,,,,,,Operating,Libya,,32.6204,14.33119,Natural Gas,,,,Once Through Cooling,Mediterranean Sea,,محطة آل الخمس الطاقة,,
