PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023092,Ambohimanambola,Diesel,19.71,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-19.80000000000,46.61666670000,,,,,,,,,,
1023093,Andekaleka,Hydro,58,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-18.79417200000,48.61934000000,,,,,,,,,,
1023094,La Mandraka,Hydro,24,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-18.92127000000,47.92947500000,,,,,,,,,,
1023095,Tamatave,Natural Gas,16.59,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-18.16666670000,49.38333330000,,,,,,,,,,
1023096,Toliary (Tulear),Natural Gas,12.98,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-23.35000000000,43.66666670000,,,,,,,,,,
1023097,Antelomita,Hydro,8.9,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-19.01194100000,47.70334200000,,,,,,,,,,
1023098,Ambatovy,Coal,120,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-18.853,48.313,,,,,,,,,,
1023099,Mandroseza,Diesel,40,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-18.84910700000,47.48074600000,,,,,,,,,,
1023100,Majunga,Diesel,13,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Madagascar,,-15.70204300000,46.40268000000,,,,,,,,,,
1026779,Sahanivotry,Hydro,16.5,,Run of River,,,HYDELEC Madagascar SA,,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1269612670.69/view,,,,,,,,,Operating,Madagascar,,-20.20025,47.132829,,,,,,,,,,
1026780,Tsiazompaniry,Hydro,5.25,,Run of River,,,HENRI FRAISE FILS & CIE,,,CDM,https://cdm.unfccc.int/Projects/DB/RINA1323809385.82/view,,,,,,,,,Operating,Madagascar,,-19.247804,47.833878,,,,,,,,,,
