PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000270,Gantisan (SESB),Diesel,38,Sabah,Diesel Generator,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000271,TSH Bio Energy (IPP),Biomass,14,Sabah,Sub-Critical Thermal,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000272,Patau-Patau (SESB),Natural Gas,112,Sabah,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000273,Tenom Pangi,Hydro,66,Sabah,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000274,Tawau Power Station (SESB),Diesel,64,Sabah,Diesel Generator,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000275,Serudong Power,Oil,36,Sabah,Diesel Generator,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000276,MIRI,Natural Gas,79,Sarawak,OCGT,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000277,Mukah,Coal,270,Sarawak,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000278,Tun Abdul Rahman,Oil,114,Sarawak,Diesel Generator,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000279,Sejingkat (including PPLS),Coal,210,Sarawak,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000236,SG.Piah Upper,Hydro,14.6,Peninsular Malaysia,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000280,Batang Al,Hydro,103,Sarawak,Dam,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000237,Temenggor,Hydro,348,Peninsular Malaysia,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000281,TG. Kidurong,Natural Gas,192,Sarawak,OCGT,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000238,Pergau,Hydro,600,Peninsular Malaysia,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000282,Sarawak Power Generation,Natural Gas,337,Sarawak,OCGT,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000239,Kenyir,Hydro,400,Peninsular Malaysia,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000283,Hulu Terengganu,Hydro,250,,Dam,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
1000240,Jor,Hydro,100,Peninsular Malaysia,,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,,,,,,,Operating,Malaysia,,,,,,,,,,,
