PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023112,Belle Vue,Biomass,70,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.06670900000,57.59819000000,,,,,,,,,,
1023113,Champagne Mauritius,Hydro,30,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.36549600000,57.67816500000,,,,,,,,,,
1023114,Ctds,Coal,35,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.47999954220,57.54999923710,,,,,,,,,,
1023115,Deep River,Biomass,24.65,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.27527780000,57.75666670000,,,,,,,,,,
1023116,Ferney,Hydro,10,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.36111110000,57.69777780000,,,,,,,,,,
1023117,Fort George,Oil,137.424,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.14575000000,57.49280000000,,,,,,,,,,
1023118,Fort Victoria,Oil,50.38,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.16340000000,57.47700000000,,,,,,,,,,
1023119,Fort William Ceb,Oil,150,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.15222220000,57.47833330000,,,,,,,,,,
1023121,Mda Mill,Biomass,11.2,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-21.32000000000,55.47000000000,,,,,,,,,,
1023122,Medine Mill,Biomass,13,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.26128400000,57.39364500000,,,,,,,,,,
1023123,Mon Loisir,Biomass,12,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.03277780000,57.61916670000,,,,,,,,,,
1023124,Mon Tresor,Biomass,12.5,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.44666670000,57.67166670000,,,,,,,,,,
1023125,Nicolay,Oil,84.64,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.16666670000,57.52500000000,,,,,,,,,,
1023126,Savannah Estate,Coal,105,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.47280800000,57.62741700000,,,,,,,,,,
1023127,St Louis,Oil,76.992,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.17000007630,57.50000000000,,,,,,,,,,
1023128,Tamarin Falls,Hydro,11.383,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.34245500000,57.46137200000,,,,,,,,,,
1023129,Union St Aubin,Coal,14.7,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.50790200000,57.54257400000,,,,,,,,,,
1023130,Bambous,Solar,15,,,,,Sarako Energy,,,Sarako,http://www.sarako.mu/en/media.html,,,,,,,,,Operating,Mauritius,,-20.26161700000,57.43182200000,,,,,,,,,,
1023120,Fuel,Biomass,39.7,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Mauritius,,-20.212010,57.691731,,,,,,,,,,
