PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1016103,Río Escondido (José López Portillo),Coal,1200,Río Escondido,Sub-critical Thermal,,,,9357,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,89,,Operating,Mexico,,,,,,Río Escondido,,,,,,,,2007
1016104,Carbón II,Coal,1400,Nava,Sub-critical Thermal,,,,9023,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,73.6,,Operating,Mexico,,28.4625,-100.694,,,Nava,,,,,,,,2007
1016105,Cerro Prieto,Geothermal,720,Mexicali,Flash,,,,5521,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,87.5,,Operating,Mexico,,,,,,Mexicali,,,,,,,,2007
1016124,Humeros,Geothermal,66.8,Chignautla,Flash,,,,292,26.8 MW added in 2015,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,83.2,,Operating,Mexico,,,,,,Chignautla,,,,,,,,2007
1016132,Tres Vírgenes,Geothermal,10,Comondú,Flash,,,,37,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,42,,Operating,Mexico,,,,,,Comondú,,,,,,,,2007
1016118,Azufres,Geothermal,243,Cd. Hidalgo,Condensing,,,,1449,53 MW unit addition in 2015,CFE,http://www.cfe.gob.mx/inversionistas/informacionareguladores/Documents/Informe%20Anual/Informe-Anual-2015-CFE-Acc.pdf,,,,,87.3,,Operating,Mexico,,,,,,Cd. Hidalgo,,,,,,,,2015
1016067,Angostura (Belisario Domínguez),Hydro,900,V. Carranza,,,,,2415,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,30.6,,Operating,Mexico,,,,,,V. Carranza,,,,,,,,2007
1016068,Chicoasén (Manuel Moreno Torres),Hydro,2400,Chicoasén,,,,,5543,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,26.4,,Operating,Mexico,,16.9417,-93.1009,,,Chicoasén,,,,,,,,2007
1016069,Malpaso,Hydro,1080,Tecpatán,,,,,2862,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,30.3,,Operating,Mexico,,,,,,Tecpatán,,,,,,,,2007
1016070,Peñitas,Hydro,420,Ostuacán,,,,,1374,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,37.3,,Operating,Mexico,,,,,,Ostuacán,,,,,,,,2007
