PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023668,A. EL HANSALI,Hydro,92,,Dam with Reservoir,2003,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.6935,-5.8883,,,,,,,,,,
1023669,AFOURER,Hydro,92,,Dam with Reservoir,1955,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.2076,-6.5318,,,,,,,,,,
1023670,Ain Beni Mathar Centrale Thermosolaire (CCGT),Natural Gas,450,,CCGT,2009,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.0705,-2.1049,,,,,,,,,,
1023670,Ain Beni Mathar Centrale Thermosolaire (CSP),Solar,22,,CSP,2009,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.0705,-2.1049,,,,,,,,,,
1023671,AIT MESSAOUD,Hydro,6.4,,,2003,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023672,Al wahda,Hydro,240,,Dam with Reservoir,1998,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.5983,-5.199,,,,,,,,,,
1023673,Allal Al Fassi,Hydro,240,,,1994,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.9307,-4.67813,,,,,,,,,,
1023674,ALMASSIRA,Hydro,128,,Dam with Reservoir,1980,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.4756,-7.6374,,,,,,,,,,
1023675,BINE EL OUIDANE,Hydro,135,,Dam with Reservoir,1955,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.107,-6.464,,,,,,,,,,
1023676,Central Termique de Kenitra,Fuel Oil,300,,OCGT,1979,4,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.286,-6.5618,,,,,,,,,,
1023677,Centrale a cycle combine de Tahaddart,Natural Gas,394,,CCGT,2005,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.589,-5.9868,,,,,,,,,,
1023678,Centrale Diesel de Laayoune,Diesel,21,,Diesel Engine,1992,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023679,Centrale Diesel de Tantan,Diesel,116.9,,OCGT,2009,7,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,28.469,-11.339,,,,,,,,,,
1023680,Centrale Solaire Noor Ouarzazate 1,Solar,160,,CSP,2016,2,,,Contains Molten Salt Energy Storage technology,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,31.0404,-6.84486,,,,,,,,,,
1023681,Centrale Thermique de Jerada,Coal,165,,Sub-critical Thermal,1971-1972,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.3096,-2.1908,,,,,,,,,,
1023682,Centrale Thermique de Jorf Lasfar (JLEC),Coal,1320,,Sub-critical Thermal,1994-2001,4,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.1048,-8.6367,,,,,,,,,,
1023682,Centrale Thermique de Jorf Lasfar (JLEC) Extension,Coal,700,,Super-critical Thermal,2014,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.1048,-8.6367,,,,,,,,,,
1023683,Centrale Thermique de Mohammedia,Fuel Oil,300,,Sub-critical,1982,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.682,-7.435,,,,,,,,,,
1023683,Centrale Thermique de Mohammedia II,Coal,300,Casablanca,Sub-critical,1985,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.682,-7.435,,,,,Once Through,Mediterranean Sea,,,,
1023684,Centrale Turbine a' Gaz de Laayoune,Fuel Oil,99,,OCGT,2007,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023683,Centrale Turbine a' Gaz de Mohammedia,Fuel Oil,99,,OCGT,1992,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.682,-7.435,,,,,,,,,,
1023685,Centrale Turbine a' Gaz de Tit-Me (Casablanca),Fuel Oil,198,,OCGT,1994,6,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.541,-7.502,,,,,Dry Cooling,,,,,
1023683,Centrale Turbine a' Mohammedia,Oil,300,,Sub-critical Thermal,2009,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.682,-7.435,,,,,,,,,,
1023686,Centrale Turbine a` Gaz de Agadir,Oil,40,,Sub-critical,1974-1977,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023687,Centrale Turbine a` Gaz de Tanger,Oil,40,,Sub-critical,1975-1977,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023688,Centrale Turbine a` Gaz de Tetouan,Oil,99,,OCGT,1994-1995,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.5699,-5.4633,,,,,,,,,,
