PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000038,Federal Ministry of Energy Wind Farm,Wind,10,,Onshore Wind,,37 x .275,,,,ECREE,http://www.ecowrex.org/news/katsina-state-will-be-home-first-nigerian-wind-farm,,,,,,,,Nigeria,,,,,,,,,,,
1000025,Calabar,Natural Gas,561,,Open Cycle,,5x112,Calabar Generation Company,,,Nidel Power,https://web.archive.org/web/20131103224627/http:/www.nidelpower.com/main/calabar,,,,,,,,Nigeria,,5.070154,8.339405,,,,,,,,
1000026,Ihovbor,Natural Gas,450,,Open Cycle,,4x112,,,,Nidel Power,https://web.archive.org/web/20131103223838/http:/www.nidelpower.com/main/ihovbor,,,,,,,,Nigeria,,,,,,,,,,,
1000027,Gbarain,Natural Gas,225,,Open Cycle,,2x112,Gbarain Generation Company,,,Nidel Power,https://web.archive.org/web/20131002035726/http:/www.nidelpower.com/main/gbarain,,,,,,,,Nigeria,,,,,,,,,,,
1000028,Sapele,Natural Gas,450,,Open Cycle,,4x112,Ihovbor Generating Company,,,Nidel Power,https://web.archive.org/web/20131103223738/http:/www.nidelpower.com/main/sapele,,,,,,,,Nigeria,,,,,,,,,,,
1000030,Alaoji,Natural Gas,"1,074",,Combined Cycle,,"4x126 (GT), 2x285 (ST)",,,,Nidel Power,https://web.archive.org/web/20131103224412/http:/www.nidelpower.com/main/alaoji,,,,,,,,Nigeria,,,,,,,,,,,
1000031,Olorunsogo II,Natural Gas,750,,Combined Cycle,,4 x112 (GT) 2x112 (ST),,,,Nidel Power,https://web.archive.org/web/20131103224542/http:/www.nidelpower.com/main/olorunsogo,,,,,,,,Nigeria,,6.898201,3.204074,,,,,,,,
1000032,Omotosho II,Natural Gas,500,,Open Cycle,,4x112,,,,Nidel Power,https://web.archive.org/web/20131103224542/http:/www.nidelpower.com/main/olorunsogo,,,,,,,,Nigeria,,,,,,,,,,,
1000033,Gerengu II,Natural Gas,434,,,,3x144,,,,Nidel Power,https://web.archive.org/web/20131002035947/http:/www.nidelpower.com/main/geregu,,,,,,,,Nigeria,,,,,,,,,,,
1000034,Ibom Power,Natural Gas,190,,,,,,,,Nidel Power,https://web.archive.org/web/20131002035947/http:/www.nidelpower.com/main/geregu,,,,,,,,Nigeria,,,,,,,,,,,
1000029,Omoku,Natural Gas,150,,Open Cycle,,,Sahara Power,,,Sahara Power,http://www.sahara-group.com/sahara-power-acquires-additional-power-generation-assets.html,,,,,,,,Nigeria,,,,,,,,,,,
1000035,Shiroro,Hydro,600,,,,4x150,Government of Nigeria,,,Sarafinchin,http://www.sarafinchin.com/index.php/projects/africa/kainji-and-jebba-dams-niger-river-nigeria/,,,,,,,,Nigeria,,,,,,,,,,,
1000036,Kainji,Hydro,760,,,,,Government of Nigeria,,,Sarafinchin,http://www.sarafinchin.com/index.php/projects/africa/kainji-and-jebba-dams-niger-river-nigeria/,,,,,,,,Nigeria,,,,,,,,,,,
1000037,Jebba,Hydro,540,,,,,Government of Nigeria,,,Sarafinchin,http://www.sarafinchin.com/index.php/projects/africa/kainji-and-jebba-dams-niger-river-nigeria/,,,,,,,,Nigeria,,,,,,,,,,,
