PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1019820,Pukchang,Coal,1600,,Sub-critical Thermal,1968-1971,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,39.585829,126.304271,,,,,,,,,,
1019821,Pyongyang,Coal,500,,Sub-critical Thermal,1968,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,38.969476,125.688061,,,,,,,,,,
1019822,Hamhung,Coal,500,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,39.85314,127.578925,,,,,,,,,,
1019823,Chongjin,Coal,450,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,41.763308,129.75024,,,,,,,,,,
1019824,Sunchon,Coal,400,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,39.401408,125.968245,,,,,,,,,,
1019825,Rajin,Coal,400,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,41.778423,129.791541,,,,,,,,,,
1019826,Haeju Cement,Coal,200,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,38.028991,125.662793,,,,,,,,,,
1019827,Sariwon,Coal,200,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,38.463068,125.828934,,,,,,,,,,
1019828,Nampo,Coal,200,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,38.728453,125.416128,,,,,,,,,,
1019829,River Chongchon,Coal,200,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,40.070699,124.552386,,,,,,,,,,
1019830,The June 16th  Power Plant,Coal,200,,Sub-critical Thermal,1975,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,,,,,,,,,,,,
1019831,Hamunmo Spinning,Coal,200,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,,,,,,,,,,,,
1019832,December 12th Power plant,Coal,100,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,38.889271,125.559564,,,,,,,,,,
1019833,The Feburary 8th Vinylon,Coal,29,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,,,,,,,,,,,,
1019834,Hongnam Fertilizer,Coal,18,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,,,,,,,,,,,,
1019835,Kilju Pulp,Coal,9,,Sub-critical Thermal,,,,,,The People's Korea,http://www1.korea-np.co.jp/pk/112th_issue/99091601.htm,,,,,,,,North Korea,,,,,,,,,,,,,
