PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1001633,Habibullah Coastal Power ltd. Lahore,Natural Gas,140,,CCGT,1999,3(37)1(29),IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001634,Japan Power Company Lahore,Oil,120,,Diesel Engine,2000,24 engines,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001635,Kohinoor Energy Limited,Oil,131,,Diesel Engine,1997,8 (16 MW diesel) 1 (8 MW ST),IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001636,Liberty Power Project,Natural Gas,232,,CCGT,2001,3 units,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001637,Rouch Power Khanewal,Natural Gas,412,,CCGT,1999,3 units,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001638,Saba Power Company Sheikhupura,Oil,114,,Thermal (sub-critical),1999,1 units,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001639,Southern Electric Power Company,Oil,135,,Diesel Engine,1999,5 engines,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001640,Tapal Energy Limited Karachi,Oil,126,,Thermal (sub-critical),1977,12 units,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001641,Uch Power Limited,Natural Gas,586,,CCGT,2000,4 units,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001642,Attock gen limited,Oil,165,,Diesel Engine,2009,"9 engines, 1 ST",IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001658,Ghazi Barotha,Hydro,"1,450",,,2003,5 units,Water and Power Development Authority (WAPDA),,,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001643,Atlas Power Sheikhupura,Natural Gas,225,,CCGT,2009,11 (19) 1(17),IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001659,Mangla,Hydro,"1,000",,,1967-1994,10 units,Water and Power Development Authority (WAPDA),,,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001644,Engro Energy Ltd. Karachi,Natural Gas,217,,CCGT,2010,2 units,IPP,,,Private Power and Infrastructure Board,http://ppib.gov.pk/N_commissioned_ipps.htm,,,,,,,Operating,Pakistan,,,,,,,,,,,
1001660,Warsak,Hydro,243,,,1960-1980,4(40)2(42),Water and Power Development Authority (WAPDA),,,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,,,,,,,Operating,Pakistan,,,,,,,,,,,
