PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022429,Porgera,Diesel,13,Porgera Gold Mine,Diesel Generator,,,Barrick Mining,,,Barrick,http://www.barrick.com/operations/papua-new-guinea/porgera/,,,,,,,,,,-5.465531,143.10948,,,,,,,,,,
1022430,Hides,Natural Gas,72,Hides,OCGT,,,Barrick Mining,,,Barrick,http://www.barrick.com/operations/papua-new-guinea/porgera/,,,,,,,,,,-6.004758,142.809589,,,,,,,,,,
1022423,Lihir,Geothermal,30,,,2005,,Lihir Gold Ltd.,,,Think GEO Energy,https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2005/0136.pdf,,,,,,,,,,-3.124499,152.646394,,,,,,,,,,
1022435,Lae,Diesel,30,,Diesel Generator,,,Daewoo International,,,Lahmeyer India,http://www.lahmeyer.in/30-mw-lae-diesel-power-plant-papua-new-guinea/,,,,,,,,,,-6.738047,146.991249,,,,,,,,,,
1022427,Yonki Toe of Dam,Hydro,18,,Dam with Reservoir,,,PNG Power Limited,,,Nippon KOEI,https://www.n-koei.co.jp/english/international_operations/e-asia/png.html,,,,,,,,,,-6.248205,145.974385,,,,,,,,,,
1022431,Ok Menga,Hydro,57,,Dam with Reservoir,,,OK Tedi Mining,,,OK Tedi Mining,http://www.oktedi.com/our-operations,,,,,,,,,,-5.244821,141.136371,,,,,,,,,,
1022432,Ok Tedi,Diesel,45,,Diesel Generator,,,OK Tedi Mining,,,OK Tedi Mining,http://www.oktedi.com/our-operations,,,,,,,,,,-5.209472,141.182747,,,,,,,,,,
1022433,Tabubil,Diesel,16,,Diesel Generator,,,OK Tedi Mining,,,OK Tedi Mining,http://www.oktedi.com/our-operations,,,,,,,,,,-5.277331,141.232315,,,,,,,,,,
1022434,Yuk Creek,Hydro,3,,,,,OK Tedi Mining,,,OK Tedi Mining,http://www.oktedi.com/our-operations,,,,,,,,,,,,,,,,,,,,,
1023819,Tolkuma,Diesel,3.5,,Diesel Generator,,,Petromin Mining,,,Petromin,http://www.petrominpng.com.pg/assets.html,,,,,,,,,,-8.565893,147.138263,,,,,,,,,,
1022418,Kanudi,Diesel,24,,Diesel Generator,1999,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,-9.431778,147.142841,,,,,,,,,,
1022419,Ramu,Hydro,75,,,,5x15,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,-6.250456,145.980542,,,,,,,,,,
1022420,Pauanda,Hydro,12,,Run-of-river,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,-6.016095,144.057927,,,,,,,,,,
1022421,Lake Hargy,Hydro,1.5,,,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,-5.339165,151.134135,,,,,,,,,,
1022422,Ulagunan,Diesel,8.4,,Diesel Generator,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,-4.355694,152.245427,,,,,,,,,,
1022424,Vanimo,Diesel,1.18,,Diesel Generator,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,,,,,,,,,,,,
1022425,Moitaka,Diesel,30,,Diesel Generator,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,,,,,,,,,,,,
1022426,Sirinumu Dam,Hydro,1.5,,Dam with Reservoir,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,-9.47913,147.446549,,,,,,,,,,
1022428,Warangoi,Hydro,10,,,,,PNG Power Limited,,,PNG Power Limited,http://www.pngpower.com.pg/pdfs/PNG-Power-Info-Booklet-2016.pdf,,,,,,,,,,,,,,,,,,,,,
