PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022046,Reserva Fria Ilo,Natural Gas,569,,OCGT,2013,3 units,Energía del Sur S.A.,35,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,Osinergmin,https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.4.5.pdf,,,,,,,,Peru,,-17.777241,-71.1871153,,,,,,,,,,
1022048,San Gaban II,Hydro,114,,Dam with Run of River Generation,1999,,Empresa de Generación Eléctrica San Gabán S. A.,797,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-13.721872,-70.453244,,,,,,,,,,
1022049,Pisco,Natural Gas,75,,OCGT,2010,,Emp. de Generación Eléctrica de Arequipa S. A.,524,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-13.7159,-75.9695,,,,,,,,,,
1022050,Macchu Picchu,Hydro,189,Urubamba,,1964,,Emp. de Generación Eléctrica Machu Picchu S. A.,985,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,Central Hidroeléctrica,Peru,,-13.173923,-72.563993,,,,,,,,,,
1022051,Fenix,Natural Gas,578.8,,CCGT,,,Fénix Power Perú S.A.,"3,621",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-12.543972,-76.735671,,,,,,,,,,
1022052,Kallpa,Natural Gas,952.3,,CCGT,,,Kallpa Generación S.A,"5,057",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-12.497598,-76.72953,,,,,Dry Cooling,,,,,
1022053,Chilca 1,Natural Gas,734.1,,CCGT,2006-2012,,Energía del Sur S.A.,"5,838",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-12.497,-76.7292,,,,,Dry Cooling,,,,,
1022054,Antunez de Mayolo (Mantaro),Hydro,798,Mantaro,Dam with Reservoir,1978,,Electroperú S. A.,"5,441",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-12.464356,-74.786472,,,,,,,,,,
1022055,Restitucion,Hydro,210,Mantaro,Dam with Reservoir,1973,,Electroperú S. A.,"1,749",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-12.347734,-74.643146,,,,,,,,,,
1022056,Santa Rosa,Natural Gas,491,,OCGT,1982-2009,,Edegel S.A.A.,754,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-12.0401,-77.0119,,,,,,,,,,
1022057,Ventanilla,Natural Gas,524,,CCGT,,,Edegel S.A.A.,"2,890",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-11.9358,-77.118,,,,,,,,,,
1022058,Matucana,Hydro,120,,,,,Edegel S.A.A.,891,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-11.886543,-76.45562,,,,,,,,,,
1022059,Huinco,Hydro,258,,Dam with Reservoir,1964-1966,,Edegel S.A.A.,"1,307",,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-11.811254,-76.62483,,,,,,,,,,
1022060,Chimay,Hydro,143,,Dam with Run-of-River Generation,2000,,Chinango S.A.C,888,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-11.32484,-75.30056,,,,,,,,,,
1022061,YuncÁn,Hydro,130,,,,,Energía del Sur S.A.,901,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-10.723042,-75.645457,,,,,,,,,,
1022062,AguaytÍa,Natural Gas,203,,OCGT,,,Termoselva S.R.L.,441,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-9.028831,-75.49263,,,,,,,,,,
1022063,Poechos,Hydro,26.4,,,1975,,Sindicato Energético S.A.,74,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-4.679583,-80.520417,,,,,,,,,,
1022065,Agroaurora (Ex Maple),Biomass,37.5,,Sub-critical Thermal,,,Agroindustrial Aurora S.A,7,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022066,Paramonga,Biomass,23,,Sub-critical Thermal,,,Agro Industrial Paramonga S.A.A.,83,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022067,Cana Brava,Biomass,12,,Sub-critical Thermal,,,Bionergía del Chira S.A.,72,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022068,Huaycoloro,Biomass,5.1,,Sub-critical Thermal,,,Petramas S.A.C.,29,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022069,La Gringa V,Biomass,3.2,,Sub-critical Thermal,,,Empresa Concesionaria Energía Limpia S.A.C.,7,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022070,Eten,Diesel,181,,OCGT,2015,,Planta de Reserva Fría de Generación Éten S.A.,31,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,Osinergmin,https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.4.10.pdf,,,,,,,,Peru,,,,,,,,,,,,,
