PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1001910,GREEN FUTURE,Biomass,20,"San Mariano, Isabela",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001911,SJC Ipower,Biomass,12,"San Jose City, Nueva Ecija",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001916,MONTALBAN LFG,Biomass,9.3,"Rodriguez, Rizal",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001917,LAGUNA LFG,Biomass,4.2,"San Pedro , Laguna",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001918,LUCKY PPH,Biomass,4,"Alicia, Isabela",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001919,PANGEA,Biomass,1.2,"Payatas, Quezon City",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001945,SAN CARLOS,Biomass,8.3,"San Carlos, Negros Occidental",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Visayas Grid,,,,,,,,,,
1001946,FIRST FARMERS,Biomass,21,"Talisay City, Negros Occidental",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Visayas Grid,,,,,,,,,,
1001947,CASA,Biomass,15,"Passi, Iloilo, Panay",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Visayas Grid,,,,,,,,,,
1001963,CRYSTAL SUGAR,Biomass,63,"Maramag, Bukidnon",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Mindanao Grid,,,,,,,,,,
1001869,PAGBILAO,Coal,764,"Pagbilao, Quezon",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,,,
1001870,CALACA,Coal,600,"Calaca, Batangas",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001871,MASINLOC,Coal,630,"Masinloc, Zambales",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001872,SUAL,Coal,"1,294","Sual, Pangasinan",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
1001873,QUEZON POWER,Coal,511,"Mauban, Quezon",Sub-Critical Thermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,,,,,,,Operating,Philippines,Luzon Grid,,,,,,,,,,
