PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022112,Enel Agighiol,Wind,34,Tulcea,Onshore Wind,2011,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022114,Moldova Noua,Wind,48,Caraş-Severin,Onshore Wind,2011,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022116,Sălbatica I,Wind,70,Tulcea,Onshore Wind,2011,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,45.02515,28.85582,,,,,,,,,,
1022117,Sălbatica II,Wind,70,Tulcea,Onshore Wind,2012,,ENEL GreenPower,,,Enel Green power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022119,Valea Nucarilor,Wind,70,Tulcea,Onshore Wind,2011,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,47.0649,28.91904,,,,,,,,,,
1022120,Verbund Casimcea,Wind,225,Tulcea,Onshore Wind,2014,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022121,Elcomex EOL,Wind,120,,Onshore Wind,2012,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022122,Berceni,Solar,19,,PV,2013,,ENEL GreenPower,,,Enel Green power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022123,Targusor,Wind,60,,Onshore Wind,2015,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022124,Gebelsis,Wind,27,,Onshore Wind,2012,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022125,Colibaşi ,Solar,10,,PV,2013,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022126,Podari,Solar,10,,PV,2013,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1022113,Enel Corugea,Wind,70,Tulcea,Onshore Wind,2013,,ENEL GreenPower,,,Enel Green Power,https://www.enelgreenpower.com/en-GB/company/worldwide/romania/,,,,,,,,Romania,,,,,,,,,,,,,
1023225,Turceni Energetic Complex,Lignite,1896,,Sub-critical Thermal,1978-1987,,,"2,311",,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019093,NPP Cernavoda,Nuclear,1298,,PHWR,1996-2007,,,5832.432,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019094,TPP Rovinari,Lignite,1207,,Sub-critical Thermal,1976-1979,,,3221.235,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019095,HPP Portile de Fier I,Hydro,1161,,Run of the River,1972,,,2984.481,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019096,TPP Mintia,Coal,1000,,Sub-critical Thermal,1970-1980,,,514.387,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019097,TPP CCCC Petrom Brazi,Natural Gas,860,,CCGT,2012,,,1056.268,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019098,TPP Iernut,Natural Gas,751,,Sub-critical Thermal,1963-1967,,,922.402,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019099,TPP Isalnita,Lignite,595,,Sub-critical Thermal,1987,,,1264.729,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019100,HPP Lotru,Hydro,509,,Dam with Reservoir,,,,475.171,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019101,TPP  Braila,Natural Gas,413,,Sub-critical Thermal,,,,0,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019102,TPP Galati,Natural Gas,346,,Sub-critical Thermal,,,,12.435,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019103,Fântânele,Wind,339,,Onshore Wind,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019104,HPP Raul Mare,Hydro,335,,Dam with Reservoir,1986,,,271.915,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019105,TPP Drobeta,Lignite,313,,Sub-critical Thermal,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019106,TPP Bucuresti Vest,Natural Gas,298,,Sub-critical Thermal,,,,378.123,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019107,TPP Bucuresti Sud,Natural Gas,280,,Sub-critical Thermal,,,,288.257,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019108,TPP Craiova,Lignite,262,,Sub-critical Thermal,1988,,,558.295,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
1019109,WPP Cogealac,Wind,246,,Onshore Wind,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Romania,,,,,,,,,,,,,
