PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Data Year
1003653,ABAKAN CHP,Coal,270,,,1982,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003659,Argayash CHP,Coal,195,,,1954,,Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003663,BARNAUL THERMAL POWER STATION-2,Coal,275,,,1955,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003665,BELOVO TPP,Coal,1240,,,1964,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003669,Berezovskaya GRES,Coal,"2,300",,,,,e·on Russia,"6,920",CHP,e·on Russia,http://www.eon.com/content/dam/eon-com/en/downloads/a/Acquisition_of_OGK4_17092007.pdf,,,,,,,,Russia,,,,,,,,,,,,2007
1003683,Cherepetskaya,Coal,"1,735",,,1953-1999,4(15)3(300),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003684,Cherepovetskaya GRES,Coal,"1,051.60",,,,,OGK-2 (subsidiary of GazProm),3088,,OGK-2,http://www.ogk2.ru/eng/about/branch/cherepovetskaya/,,,,,53%,,,Russia,,,,,,,,,,,,2014
1003688,CHP-17,Coal,192,,,1950,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003691,CHP-22,Coal,"1,310",,,1966,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003706,"GTPP ""NOVOKUZNETSKAYA""",Coal,297.44,,,2014,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003708,Gusinoozyorskaya,Coal,"1,130",,,1976-2002,2(170)2(180)2(200),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,51.2984,106.484,,,,,,,,,2016
1003721,KANSK CHP,Coal,24,,,1955,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003725,KEMEROVO GRES,Coal,485,,,1934,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003728,Kharanorskaya,Coal,"1,910",,,1922,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003730,Kirov CHPP-3,Coal,385,,,1942,,t+group,,1,t+group,Kirov CHPP-3,,,,,,,,Russia,,,,,,,,,,,,
1003730,Kirov CHPP-4,Coal,353,,,1963,,t+group,,1,t+group,Kirov CHPP-4,,,,,,,,Russia,,,,,,,,,,,,
1003731,Kirov TPP-5,Coal,450,,,1980,,t+group,,1,t+group,Kirov TPP-5,,,,,,,,Russia,,,,,,,,,,,,
1003740,KRASNOYARSK CHP-1,Coal,481,,,1943,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003740,KRASNOYARSK CHP-2,Coal,465,,,1979,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003740,KRASNOYARSK CHP-3,Coal,208,,,1992,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003741,Krasnoyarskaya GRES-2,Coal,"1,250",,,,,OGK-2 (subsidiary of GazProm),4650,,OGK-2,http://www.ogk2.ru/eng/about/branch/krasnoyarskaya/,,,,,42%,,,Russia,,,,,,,,,,,,2014
1003742,Krostromskaya,Coal,"3,600",,,1969-1980,"8(300), 1200",Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,57.45963,41.17408,,,,,,,,,2016
