PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1008628,Ghalzan-1,Natural Gas,"1,600",,Sub-critical thermal,1980-1981,4(400),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,26.85454,49.89574,,,,,,,,
1008628,Ghalzan-2,Natural Gas,"2,528",,OCGT,2001-2003,4(632),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008629,Qurayyah,Natural Gas,"3,020",,Sub-critical thermal,"1988-1992, 2014 (last two units)",4(625)2(260),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008630,Shedgum,Natural Gas,"1,069",,OCGT,1979-1982,5(66)4(67)8(59),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008631,Faras,Natural Gas,803,,OCGT,1979-1985,"8(60), 5(65)",,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008632,Dammam,Natural Gas,615,,OCGT,1968-1978,4(18)4(32)4(34)5(56),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008633,Berri,Natural Gas,171,,OCGT,1977,3(57),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008634,Uthmaniyah,Natural Gas,284,,OCGT,1973-1975,4(24)4(56),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008635,Juaymah,Natural Gas,91,,OCGT,1974-1976,2(27)1(45),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008636,Quaisumah,Natural Gas,123,,OCGT,1980-1985,2(17)2(16)2(29),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008637,Safaniyah,Natural Gas,63,,OCGT,1974-1976,"19, 44",,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008638,SADAF,Natural Gas,250,,OCGT,2005,2,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008639,Rastannurah,Natural Gas,140,,"OCGT, cogeneration",2006,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008640,Othmaiyah,Natural Gas,305,,"OCGT, cogeneration",2006,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008641,Juymah,Natural Gas,305,,"OCGT, cogeneration",2006,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008642,Marafiq Jubail,Natural Gas,"2,745",,"CCGT, desalinzation",2010,4(226)4(459),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008643,Ras Azzour,Natural Gas,"2,500",,Sub-critical thermal,2011,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,27.53488,49.19639,,,,,,,,
1008644,Tihama Shedgum,Natural Gas,305,,"OCGT, cogeneration",2006,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008645,Riyadh PP9X,Natural Gas,480,,CCGT,2004,8(60),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008646,Riyadh PP9 (CDF ext.),Oil (crude),"1,835",,OCGT,2007-2008,32(58),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008647,Riyadh PP9,Natural Gas,"1,417",,OCGT,1999-2000,4(354),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008648,Riyadh PP8,Natural Gas,"2,068",,OCGT,"1985, 1996, 2009",20(50)10(59)4(120),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008649,Riyadh PP7,Natural Gas,"1,113",,OCGT,"1980-1981, 1994",16(48)6(57),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP5,Oil (crude),538,,OCGT,1972-1982,12(45),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP4X,Oil (diesel),210,,OCGT,1977-1978,2(13)5(38),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP4,Oil (diesel),90,,OCGT,1975,4(23),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP3,Oil (diesel),55,,OCGT,1969-1978,4(10)1(15),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
