PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1020275,TENT A,Lignite,1730,,,,,,36.54,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,44.67112,20.15928,,,,,,,,,,
1020276,TENT B,Lignite,1270,,,,,,27.36,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,44.65515,20.00535,,,,,,,,,,
1020277,HE DJERDAP I,Hydro,1086,,Run of the River and Poundage,,,,12.72,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,44.6684,22.5268,,,,,,,,,,
1020278,TE KOSTOLAC B,Lignite,697,,,,,,14.9,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020279,TE KOSOVO B,Lignite,618,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,42.69451,21.05902,,,,,,,,,,
1020280,TE KOSOVO A,Lignite,617,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,42.67732,21.08855,,,,,,,,,,
1020281,RHE BAJINA BASTA,Hydro,614,,Pumped Storage,,,,1.39,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020282,HE BAJINA BASTA,Hydro,420,,Run of the River and Poundage,,,,4.57,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020283,TE KOSTOLAC A,Lignite,281,,,,,,4.58,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020284,HE DJERDAP II,Hydro,270,,Run of the River and Poundage,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020285,TE KOLUBARA,Lignite,245,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020286,TETO NOVI SAD,Natural Gas,245,,CCGT,,,,"1,500",,Panonske Energy,http://www.panonske.rs/en/branches/tpp-hp-novi-sad/,,,,,,,,Serbia,,,,Oil,,,,,,,,,
1020287,TETO ZRENJANIN,Natural Gas,120,,OCGT,,,,750,,Panonske Energy,http://www.panonske.rs/en/branches/tpp-hp-zrenjanin/,,,,,,,,Serbia,,,,Oil,,,,,,,,,
1020288,TE MORAVA,Lignite,110,,,,,,0.98,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Serbia,,,,,,,,,,,,,
1020289,TPP Sremska Mitrovica,Natural Gas,35,,OCGT,,,,200,,Panonske Energy,http://www.panonske.rs/en/branches/tpp-hp-sremska-mitrovica/,,,,,,,,Serbia,,,,Oil,,,,,,,,,
