PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1026012,PetroSA Biogas Plant,Biogas,4.2,Mossel Bay,,,,The Petroleum Oil and Gas Corporation of South Africa,,,CDM,https://cdm.unfccc.int/filestorage/M/V/B/MVB35TXGKH9S86MMWF1WMYV9LHQJC6.2/PetroSA%20biogas%20to%20energy%20project%20-%20PDD%20final.doc?t=bjh8b2pkNXBrfDCJrEDoqVQN88AILH3Ohy5c,,,,,,,Operating,South Africa,,-34.145,22.10452,,,,,,,,
1026020,Dundee Biogas,Biogas,2.22,Dundee,,2016,,Dundee Biogas Power,,,CDM,https://cdm.unfccc.int/filestorage/7/u/KG1M94TCPARQIYH3ZWD6J2LXOF8E0S.pdf/8047-PDD-6%20Nov%2012.pdf?t=YlJ8b2pkN2E0fDBhziM8O2VZh573GujB0TQQ,,,,,,,Operating,South Africa,,-28.119,30.35841,,,,,,,,
1026025,Lomati,Biomass,10.1,Barberton,Sub-critical Thermal,,,Lomati Energy,,,CDM,https://cdm.unfccc.int/filestorage/t/3/9Y54XCFT6QEUHSP8G2LBKDNOVI0MR7.pdf/7476-PDD-%202012%2012%2020.pdf?t=cEV8b2pkOGJqfDAG2GqZOvOHHIj_8tAhv1oC,,,,,,,Operating,South Africa,,-25.772,31.04061,,,,,,,,
1026028,Grahamstown,Biomass,3.5,Grahamstown,Sub-critical Thermal,,,Nollen Group,,,CDM,https://cdm.unfccc.int/filestorage/i/s/C4OHDSABT93VGJLM1KEZ2NWF8RQIX0.pdf/Final%20PDD.pdf?t=RGt8b2pkOHJlfDCYswgKkKG5XKo4tA27UFPb,,,,,,,Operating,South Africa,,-33.315,26.49083,,,,,,,,
1000117,Arnot,Coal,2100,,Sub-critical Thermal,1975,6,Eskom,"9,675",,Eskom,Arnot Power Station,35.60%,,,,,92.07%,Operating,South Africa,Southern Africa Grid,-25.94444,29.79166,,,,,,,,
1000118,Camden,Coal,1580,,Sub-critical Thermal,1967-1969,8,Eskom,,,Eskom,Camden Power Station,,,,,,,Operating,South Africa,Southern Africa Grid,-26.62007,30.09113,,,,,,,,
1000119,Duvha,Coal,3600,,Sub-critical Thermal,1980-1989,6,Eskom,"22,498",,Eskom,Duvha Power Station,37.60%,,,,,89.85%,Operating,South Africa,Southern Africa Grid,-25.95954,29.34094,,,,,,,,
1000123,Grootvlei,Coal,1200,,Sub-critical Thermal,1969,6,Eskom,,,Eskom,Grootvlei Power Station,32.90%,,,,,,Operating,South Africa,Southern Africa Grid,-26.76955,28.49951,,,,,,,,
1000124,Hendrina,Coal,2000,,Sub-critical Thermal,1970-1976,10,Eskom,"11,718",,Eskom,Hendrina Power Station,34.20%,,,,,88.78%,Operating,South Africa,Southern Africa Grid,-26.03138,29.60138,,,,,,,,
1000125,Kendal,Coal,4116,,Sub-critical Thermal,1989-1993,6,Eskom,,,Eskom,Kendal Power Station,35.50%,,,,,,Operating,South Africa,Southern Africa Grid,-26.08805,28.96888,,,,,Indirect Dry Cooling,,,
