old_id,PowerWatch ID,change?,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Municipality,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1007725,1023660,,PARQUE EOLICO VILLANUEVA,Wind,19.8,,Wind,,,"EOLICA VILLANUEVA, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Puente la Reina/Gares,,,,,,,
1007682,1023659,,PARQUE EOLICO SIERRA DEL ORO,Wind,27.2,,Wind,,,"SINAE, ENERGIA Y MEDIO AMBIENTE, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2170,,,,,,,,Spain,,,,,,Benquerencia de la Serena,,,,,,,
1007659,1023658,,PARQUE EOLICO SIERRA DE LA MUELA,Wind,19.55,,Wind,,,"URBAENERGIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1007529,1023657,,PARQUE EOLICO LOMILLA I,Wind,33,,Wind,,,"EOLICA MONTANESA, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,39.468544,-2.246695,,,Santibanez de Ecla,,,,,,,
1007487,1023656,,PARQUE EOLICO LA NAVA,Wind,36,,Wind,,,"PARQUE EOLICO LA NAVA, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Villadiego,,,,,,,
1007106,1023655,,P.E. LOS BARDALES,Wind,34.5,,Wind,,,"NEG MICON IBERICA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4035,,,,,,,,Spain,,,,,,Anguita,,,,,,,
1007965,1023654,,TERUEL GR 3,Coal,351.41,,Sub-Critical Thermal,1980,,ENDESA GENERACION S.A.,1421.949,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5245,,,,,,,,Spain,,,,,,Andorra,,,,,,,
1007965,1023654,,TERUEL GR 1,Coal,352.24,,Sub-Critical Thermal,1979,,ENDESA GENERACION S.A.,1457.332,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5243,,,,,,,,Spain,,,,,,Andorra,,,,,,,
1007965,1023654,,TERUEL GR 2,Coal,352.12,,Sub-Critical Thermal,1979,,ENDESA GENERACION S.A.,1549.361,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5244,,,,,,,,Spain,,,,,,Andorra,,,,,,,
1006584,1023653,,LA MAGDALENA,Wind,21,,Wind,,,"ENERGIA Y RECURSOS AMBIENTALES, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Yecla,,,,,,,
