PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023167,Jebel Aulia Dam,Hydro,15.2,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,15.23964800000,32.46491400000,,,,,,,,,,
1023168,Atbara,Diesel,15.1,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,17.70000080000,34.00000000000,,,,,,,,,,
1023169,El Jaili,Natural Gas,319,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,16.12000000000,32.69200000000,,,,,,,,,,
1023170,El Obeid,Oil,14.3,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,13.18333330000,30.21666670000,,,,,,,,,,
1023171,Jebel Aulia Dam,Hydro,15.2,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,15.23806330120,32.48573541641,,,,,,,,,,
1023172,Kenana,Oil,50,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,14.03333330000,33.16666670000,,,,,,,,,,
1023173,Khartoum North,Oil,351,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,15.65000000000,32.56300000000,,,,,,,,,,
1023174,Khasm El Girba,Hydro,11.01,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,14.92220000000,35.90830000000,,,,,,,,,,
1023175,Kilo-X Dit,Heavy Fuel Oil,260,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,15.58805560000,32.53416670000,,,,,,,,,,
1023176,Kilo-X Nec,Oil,33.5,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,15.64822580120,32.56304740906,,,,,,,,,,
1023177,Kuku,Oil,23,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,5.88638890000,31.68555560000,,,,,,,,,,
1023178,Melut Sugar Factory,Biomass,26,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,10.43333330000,32.20000000000,,,,,,,,,,
1023179,Merowe,Hydro,1250,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,18.66666670000,32.05000000000,,,,,,,,,,
1023180,Nyala,Oil,15.5,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,12.05000000000,24.88333330000,,,,,,,,,,
1023181,Port Sudan,Oil,38.1,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,19.61583330000,37.21638890000,,,,,,,,,,
1023182,Rahad,Oil,12.6,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,12.71666670000,30.65000000000,,,,,,,,,,
1023183,Roseires,Hydro,233.6,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,11.79881000000,34.38822300000,,,,,,,,,,
1023184,Sennar,Hydro,15,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,13.56670000000,33.63330000000,,,,,,,,,,
1023185,White Nile State,Biomass,100,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Sudan,,14.07241100000,32.46724500000,,,,,,,,,,
,,,2798.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
