PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000362,Mailao,Coal,"4,200",,Supercritical,1999-2001,7x600,,,"Caustic soda injection removes 95% sulfur dioxide, Low Nox burners","Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,23.80331,120.1902,,,,,,,,
1000363,Talin,Natural Gas,550,,Sub-Critical,1995,1,,,Low Nox burners,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000364,Taizhong Taichung,Coal,"5,500",,Supercritical and Subcritical,1991-2006,10x550 (6 super critical,,,Low Nox burners,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,39.80%,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,台   中
1000365,Taichung,Natural Gas,288,,Sub-Critical,1991-1997,4x73,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000366,Hsinta (gas),Natural Gas,"2,410",,CCGT,1998-1999,"15x103 (gas turbines), 5x173 (thermal)",,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000367,Hsinta (coal),Coal,"2,200",,Sub-Critical,1985-1986,550x4,,,Particulate is removed by electrostatic precipitator,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000370,Dah-Tarn,Natural Gas,"4,380",,CCGT,2006-2008,"4x725, 2x740",,,"first two units are three gas turbines to one steam turbine, last four are two GT to one ST","Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000371,Star Buck,Natural Gas,490,,CCGT,2009,,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000372,Chiahui,Natural Gas,670,,CCGT,2004,,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000374,Tunghsiao,Natural Gas,"1,785",,CCGT,1983,6 units,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
