PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000349,Nurek,Hydro,3015,Vakhsh River,Reservoir,1972,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000350,Sangtuda 1,Hydro,670,Vakhsh River,run-of-river,2009,4,IPP,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000350,Sangtuda-2,Hydro,30,Vakhsh River,run-of-river,2012,,Sangob,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000351,Baipaza,Hydro,600,Vakhsh River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000352,Golovnaya,Hydro,210,Vakhsh River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000353,Kairakkum,Hydro,126,Syrdarya River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000354,Peredpadnaya,Hydro,24,Vakhsh River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000355,Tsentralnaya,Hydro,15,Vakhsh River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000356,Varzob 2,Hydro,14.4,Varzob River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000357,Pamir 1,Hydro,14,Gunt River,run-of-river,,,Pamir Energy (PPP set up by AKFED and IFC),,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000358,Khorog,Hydro,10,Gunt River,run-of-river,,,Pamir Energy (PPP set up by AKFED and IFC),,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000359,Varzob 1,Hydro,7.5,Varzob River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000359,Varzob 3,Hydro,3.5,Varzob River,run-of-river,,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000360,Dushanbe,Oil,230,Dushanbe,Sub-critical thermal,,,Barki Tojik,,CHP,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000360,Dushanbe-2,Coal,200,Dushanbe,Sub-critical thermal,2014,,Barki Tojik,,CHP,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
1000361,Yavan,Oil,180,Yavan,Sub-critical thermal,1969,,Barki Tojik,,,Energy Charter Secretaruat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Tajikistan_2013_en.pdf,,,,,,,Operating,Tajikistan,,,,,,,,,,,
