PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1019877,IPTL Tanzania,Diesel,100,,Diesel Engine,,,IPPs,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,Tanzania,,-6.6741,39.1873,,,,,,,,,,
1023515,TPC 17,Biogas,17,,,,,Tanzania Electric Supply Company,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,Tanzania,,,,,,,,,,,,,
1023575,Songas,Natural Gas,189,,,,,IPPs,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,,,,,,,,,,,,,,
1023576,TANWAT,Biogas,2.7,,,,,IPPs,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,,,,,,,,,,,,,,
1023577,Symbion,Natural Gas,60,,,,,IPPs,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,,,,,,,,,,,,,,
1023577,Symbion,Jet Fuel,165,,,,,IPPs,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,,,,,,,,,,,,,,
1023578,Mwenga,Hydro,4,,,,,IPPs,,,Ministry of Energy and Minerals,file:///C:/Users/aaron.kressig/Downloads/PSMP+2012+MAIN+REPORT+-+Final+Approved+15-05-2013.pdf,,,,,,,,,,,,,,,,,,,,,
1019866,Hale,Hydro,21,Pangani,Dam with Reservoir,,,Tanzania Electric Supply Company,,,Tanzania Electric Supply Company,http://www.tanesco.co.tz/index.php?option=com_content&view=article&id=82&Itemid=238,,,,,,,,Tanzania,,-5.298089,38.60415,,,,,,,,,,
1019867,Kidatu,Hydro,204,Great Ruaha,Dam with Reservoir,1975,,Tanzania Electric Supply Company,,,Tanzania Electric Supply Company,http://www.tanesco.co.tz/index.php?option=com_content&view=article&id=79&Itemid=235,,,,,,,,Tanzania,,-7.635417,36.88375,,,,,,,,,,
1019868,Kihansi,Hydro,180,Kihansi,Dam with Reservoir,1999,,Tanzania Electric Supply Company,1000,Generation is Annual Average,Tanzania Electric Supply Company,http://www.tanesco.co.tz/index.php?option=com_content&view=article&id=80&Itemid=236,,,,,,,,Tanzania,,-8.57505,35.851268,,,,,,,,,,
