PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1019444,"National Power Plant 6 Co., Ltd.",Biomass,25,,Sub-Critical Thermal,,,,,Black Liquor,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=207,,,,,,,Operating,Thailand,,,,,,,,,,,
1019445,"Mitr Phol Bio-Power (Dan Chang) Co., Ltd. (Project )",Biomass,27,,Sub-Critical Thermal,,,,,"Bagasse, Bark, Paddy Husk",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=208,,,,,,,Operating,Thailand,,,,,,,,,,,
1019446,"Mitr Phol Bio-Power Co., Ltd. (Project )",Biomass,29,,Sub-Critical Thermal,,,,,"Bagasse, Bark, Paddy Husk",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=209,,,,,,,Operating,Thailand,,,,,,,,,,,
1019447,"A.T. Biopower Co., Ltd.",Biomass,20,,Sub-Critical Thermal,,,,,Paddy Husk,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=210,,,,,,,Operating,Thailand,,,,,,,,,,,
1019448,"Sateuk Biomass Co., Ltd.",Biomass,6.5,,Sub-Critical Thermal,,,,,"Paddy Husk, Other biomass",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=211,,,,,,,Operating,Thailand,,,,,,,,,,,
1019449,"Gulf Yala Green Co., Ltd.",Biomass,20.2,,Sub-Critical Thermal,,,,,Rubber Wood Chips,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=212,,,,,,,Operating,Thailand,,,,,,,,,,,
1019450,"Khon Kaen Sugar Power Plant Co, Ltd. (Project )",Biomass,20,,Sub-Critical Thermal,,,,,"Bagasse, Other Biomass",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=213,,,,,,,Operating,Thailand,,,,,,,,,,,
1019451,"Mungcharoen Green Power Co., Ltd.",Biomass,8,,Sub-Critical Thermal,,,,,Paddy Husk,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=214,,,,,,,Operating,Thailand,,,,,,,,,,,
1019452,"Surat Thani Green Energy Co., Ltd.",Biomass,8.8,,Sub-Critical Thermal,,,,,Palm bunch,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=215,,,,,,,Operating,Thailand,,,,,,,,,,,
1019453,"Mitr Phol Bio-Power (Dan Chang) Co., Ltd. (Project )",Biomass,10.8,,Sub-Critical Thermal,,,,,Bagasse,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=216,,,,,,,Operating,Thailand,,,,,,,,,,,
1019454,"Mitr Phol Bio-Power Co., Ltd. (Project )",Biomass,10,,Sub-Critical Thermal,,,,,Bagasse,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=217,,,,,,,Operating,Thailand,,,,,,,,,,,
1019455,"Mungcharoen Biomass Co., Ltd.",Biomass,15.5,,Sub-Critical Thermal,,,,,"Paddy Husk, Wood chips, Raw Bark",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=218,,,,,,,Operating,Thailand,,,,,,,,,,,
1019456,Khonburi Sugar Public Company Limited,Biomass,22,,Sub-Critical Thermal,,,,,Bagasse,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=219,,,,,,,Operating,Thailand,,,,,,,,,,,
1019473,"National Power Plant 1 Co., Ltd.",Biomass,41,,Sub-critical thermal,,,,,"Paddy Husk, Wood Chips",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=202,,,,,,,Operating,Thailand,,,,,,,,,,,
1019474,"National Power Plant 2  Co., Ltd.",Biomass,8,,Sub-critical thermal,,,,,"Paddy Husk, Wood Chips",EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=203,,,,,,,Operating,Thailand,,,,,,,,,,,
1019475,"BMP Energy Co., Ltd.",Biomass,5,,Sub-critical thermal,,,,,Paddy Husk,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=204,,,,,,,Operating,Thailand,,,,,,,,,,,
1019476,"Roi-Et Green Col, Ltd.",Biomass,8.8,,Sub-critical thermal,,,,,Paddy Husk,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=319&Itemid=205,,,,,,,Operating,Thailand,,,,,,,,,,,
