PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1018701,Afşin Elbistan Termik Santrali,Lignite Coal,"2,795",,Sub-critical thermal,,,EÜAŞ,"7,459",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/afsin-elbistan-b-termik-santrali.html,,,,,,,,Turkey,,38.35366,36.980995,,,,,,,,,,
1018917,Atatürk Dam,Hydro,"2,400",Şanlıurfa,Dam with Reservoir,1983-1992,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,37.482512,38.318631,,,,,,,,,,
1018702,Zonguldak Eren (ZETES),Coal,"2,090",,Super-critical Thermal,,,Eren Enerji,"12,644",Imported Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/zonguldak-eren-zetes-termik-santrali.html,,,,,,,,Turkey,,41.50353,31.887529,,,,,,,,,,
1018937,Karakaya Dam,Hydro,"1,800",Diyarbakir,Dam with Reservoir,1976-1987,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,38.226423,39.135278,,,,,,,,,,
1018749,Enka Gebze Doğalgaz Santrali,Natural Gas,1595,Sakarya,CCGT,,,Enka Elektrik,"11,311",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/enka-gebze-dogalgaz-santrali.html,,,,,,,,Turkey,,,,,,,,,,,,,
1018750,Enka İzmir Doğalgaz Santrali,Natural Gas,1520,İzmir,CCGT,,,Enka Elektrik,"11,120",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/enka-izmir-dogalgaz-santrali.html,,,,,,,,Turkey,,38.746677,26.956325,,,,,,,,,,
1018751,Bursa Doğalgaz Santrali,Natural Gas,1432,Bursa,CCGT,,,EÜAŞ,"5,920",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/bursa-dogalgaz-santrali.html,,,,,,,,Turkey,,40.295227,29.0736,,,,,,,,,,
1018752,Ambarlı B Doğalgaz Santrali,Natural Gas,1351,İstanbul,CCGT,,,EÜAŞ,,,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1018939,Keban Dam,Hydro,"1,330",Elazığ,Dam with Reservoir,1965-1975,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,38.80555,38.759051,,,,,,,,,,
1018704,İSKEN Sugözü Termik Santrali,Coal,1320,Adana,Sub-critical thermal,,,OYAK,"9,183",Imported Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/isken-sugozu-termik-santrali.html,,,,,,,,Turkey,,36.83463,35.88008,,,,,,,,,,
1018706,İÇDAŞ Bekirli Termik Santrali,Coal,1200,,Sub-critical thermal,,,İÇDAŞ Elektrik,"8,640",Imported Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/icdas-bekirli-termik-santrali.html,,,,,,,,Turkey,,40.39953,27.04973,,,,,,,,,,
1018714,İÇDAŞ Biga Termik Santrali,Coal,1200,"Çanakkale , Biga",Sub-critical thermal,2011-2014,,İÇDAŞ Elektrik,"8,640",Fluidized Bed Combustion,Enerji Atlasi,http://www.icdasenerji.com/pages/1/1/f/tr-TR/icdas_Biga_Termik_Santrali.aspx,,,,,,,,Turkey,,40.022373,26.977688,Natural Gas,,,,,,,,,
1018705,İskenderun Atlas Termik Santrali,Coal,1200,,Super-critical Thermal,,,Diler Holding Enerji Grubu,"8,500",Imported Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/iskenderun-atlas-termik-santrali.html,,,,,,,,Turkey,,36.69028,36.20909,,,,,,,,,,
