PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1008724,"Aweer ""H"" - Ph l",Natural Gas,607,,,1998,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=280,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
1008725,"Aweer ""H"" - Ph ll",Natural Gas,421,,,2007,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=281,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
1008726,"Aweer ""H"" - Ph lll",Natural Gas,818,,,2008,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=282,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
1008727,Al Mirfa Power Company,Natural Gas,551,,,1998,,ADWEA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Oil,,,,Once Through,Sea Water,,,,
1008730,ESWPC (Fuj F1),Natural Gas,861,,,2004,,"Emirates SembCorp Water & Power Company, ADWEA & SembCorp Gulf Holding Co Ltd",,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Oil,,,,Once Through,Sea Water,,,,
1008731,FAPCO (Fuj F2),Natural Gas,2114,,,2011,,"Fujairah Asia Power Company, ADWEA &Fujairah F2 CV",,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Oil,,,,Once Through,Sea Water,,,,
1008732,"Jebel Ali ""D""",Natural Gas,1027,,,1979,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=284,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
1008733,"Jebel Ali ""E""",Natural Gas,616,,,1989,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=285,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
1008734,"Jebel Ali ""G""",Natural Gas,818,,,1993,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=286,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
1008735,"Jebel Ali ""K""",Natural Gas,918,,,2002,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=287,,,,,,,,,,,,Diesel,,,,Hybrid Cooling,,,,,
