PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1004886,Ironbridge,Biomass,360,West Midlands,,1970,,E.On UK,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004953,Markinch CHP,Biomass,65,Scotland,,2014,,RWE Innogy UK Ltd,390.679,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1005042,Steven's Croft,Biomass,50,Scotland,,2007,,E.On UK,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1005058,Thetford,Biomass,39,East,,1998,,EPR Thetford Ltd,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1005086,Wilton 10,Biomass,38,North East,,2007,,Sembcorp Utilities (UK) Ltd,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004703,Blackburn Meadows,Biomass,33,Yorkshire and the Humber,Sub-critical thermal,2015,,E.On UK,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004806,Eye Suffolk,Biomass,13,East,,1992,,EPR Ely Limited,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1005082,Westfield,Biomass,12,Scotland,,2000,,EPR Scotland Ltd,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004785,Drax,Coal,3870,Yorkshire and the Humber,,1974,,Drax Power Ltd,37146.49,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,Biomass,,,,,,,,,
1004937,Longannet,Coal,2260,Scotland,,1970,,,11134.35,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1005077,West Burton,coal,2012,East Midlands,,1967,,EDF Energy,9958.601,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004758,Cottam,Coal,2008,East Midlands,Sub-critical Thermal,1969,,EDF Energy,10682.11,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004991,Ratcliffe,Coal,2000,East Midlands,,1968,,E.On UK,6508.461,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,,,,,,,,,,,,,
1004818,Fiddler’s Ferry,Coal,1961,North West,,1971,,,7307.544,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,53.37234,-2.68691,Biomass,,,,,,,,,
1004800,Eggborough,Coal,1960,Yorkshire and the Humber,,1967,,Eggborough Power Ltd,3267.285,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004655,Aberthaw B,Coal,1586,Wales,Sub-critical Thermal,1971,,RWE Npower Plc,10019.95,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1005009,Rugeley,Coal,1006,West Midlands,,1972,,ENGIE,5670.929,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004814,Ferrybridge C,Coal,980,Yorkshire and the Humber,,1966,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,Biomass,,,,,,,,,
1004901,Kilroot,Coal,520,Northern Ireland,,1981,,AES,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,Oil,,,,,,,,,
1004945,Lynemouth,Coal,420,North East,,1972,,Lynemouth Power Ltd (14),,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1005031,Slough,Coal,35,South East,,1918,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,Biomass,,,,,,,,,
1004915,Lerwick,Diesel,67,Scotland,,1953,,Island Generation (continued),,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1005044,Stornoway,Diesel,24,Scotland,,1950,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004906,Kirkwall,Diesel,16,Scotland,,1953,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004668,Arnish,Diesel,10,Scotland,Diesel Engine,2001,,Island Generation,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004927,"Loch Carnan, South Uist",Diesel,9,Scotland,,1971,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004711,Bowmore,Diesel,6,Scotland,Diesel Engine,1946,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004683,Barra,Diesel,3,Scotland,Diesel Engine,1990,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1005061,Tiree,Diesel,3,Scotland,,1945,,,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1005072,VPI Immingham,Gas,1240,Yorkshire and the Humber,,2004,,VPI Immingham LLP,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
1004676,Ballylumford B,Gas,540,Northern Ireland,Sub-critical Thermal,1968,,AES,,,UK DUKES,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/446457/dukes5_10.xls,,,,,,,Operating,United Kingdom,National Grid,,,,,,,,,,,,
