PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1022145,Carape I (Fingano),Wind,50,,,2015,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,,,,,,,,,,
1022146,Lavadero de Lanas Blengio,Wind,1.8,,,2013,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,,,,,,,,,,
1022147,Weyerhaeuser,Natural Gas,12,,,,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,,,,,,,,,,
1022148,Generación Eólica Minas I - Minas I,Wind,42,,,2014,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,-34.462694,-55.327937,,,,,,,,
1022149,Kentilux - Magdalena,Wind,17.2,,,2009,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,-34.7373,-56.5687,,,,,,,,
1022150,Galofer,Natural Gas,14,,,,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,,,,,,,,,,
1022151,Melowind,Wind,50,,,2015,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,-32.6019,-54.234,,,,,,,,
1022154,C.T. Punta del Tigre,Natural Gas,500,,CCGT,2008-2016,"1x300, 2x100",,,2 100 MW units installed in 2016,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,-34.7501,-56.5426,,,,,,,,
1022155,CTR (La Tablada),Natural Gas,212,,OCGT,1992,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,-34.8266,-56.2364,,,,,,,,
1022156,Cadonal (Talas de Maciel II),Wind,50,,,2015,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,,,,,,,,,,
1022157,Upm (1),Biomass,161,,Sub-critical Thermal,2007,,,,,"Uruguay Ministry of Industry, Energy, and Mining",https://www.google.com/?ion=1&espv=2#q=Potencia+instalada+por+tipo+de+equipo+y+Potencia+Instalada+por+Fuente,,,,,,,Operating,Uruguay,,-33.116753,-58.258793,,,,,,,,
