PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1000147,Khodjikent,Hydro,165,Chirichik,Dam with reservoir,1976,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000148,Gazalkent,Hydro,120,Chirichik,Dam with reservoir,1980,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000149,Tavak,Hydro,70,Chirichik,Dam with reservoir,,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000150,Akkavak,Hydro,39,Chirichik,Dam with reservoir,,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000151,Tuyamuin,Hydro,150,Amuccudarya River Basin,Dam with reservoir,,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000152,Andijan,Hydro,140,Karadarya River Basin,Dam with reservoir,1985,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000153,Farkhad,Hydro,126,Sydarya River Basin,Dam with reservoir,1949,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000154,Mubarek,Natural Gas,60,,CHP,1985,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,77.20%,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000138,Syrdarya,Natural Gas,"3,000",,Sub-Critical Thermal,1972,10 units,Uzbekenergo,"16,000",,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,33.20%,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000139,Novo Angren,Coal,"2,100",,Sub-Critical Thermal,1985,5,Uzbekenergo,"7,020",,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000140,Tashkent,Natural Gas,"2,230",,CCGT,2008,,Uzbekenergo,,Renovations in 2008 changed it to a CCGT,Chibu Electric Provider,http://www.chuden.co.jp/english/corporate/press2004/0117_1.html,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000141,Navoi,Natural Gas,"1,758",,CCGT,1963-2012,,Uzbekenergo,,Renovations in 2012 changed it to a CCGT,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000142,Talimardjan,Natural Gas,800,440 km southwest of Tashkent,CCGT,2014,2,Uzbekenergo,"5,624",,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,55%,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000143,Takhiatash,Natural Gas,730,,Sub-Critical Thermal,1963,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,29.32%,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000144,Angren,Coal,600,,Sub-Critical Thermal,1957,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,30.20%,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000145,Fergana,Oil,300,,CHP,1956,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,59.60%,,,,,,,Uzbekistan,,,,,,,,,,,,,
1000146,Charvak,Hydro,620,Chirichik,Dam with reservoir,1972,,Uzbekenergo,,,Asian Development Bank,http://www.carecprogram.org/ru/uploads/docs/Projects/TA/TA4029-UZB-Volume-1-Sections-I-III.pdf,,,,,,,,Uzbekistan,,,,,,,,,,,,,
